destino_nombre,parada_cercana,tipo_transporte_codigo,distancia_parada_km,costo_traslado_local_q,tiempo_traslado_minutos
Centro Histórico de Quetzaltenango,Estación Central de Lancha colectiva cerca de Centro Histórico de Quetzaltenango - Ref 429,LANCHA,3.09,10.25,10
Volcán Tajumulco,Estación Central de Microbús / Fletero cerca de Volcán Tajumulco - Ref 430,FLETERO,12.41,13.99,61
Laguna Brava,Estación Central de Shuttle turístico cerca de Laguna Brava - Ref 431,SHUTTLE,0.96,10.06,2
Cenotes de Candelaria,Estación Central de Taxi local cerca de Cenotes de Candelaria - Ref 432,TAXI,7.63,14.9,22
Todos Santos Cuchumatán,Estación Central de Tuc-tuc cerca de Todos Santos Cuchumatán - Ref 433,TUC_TUC,9.94,6.79,29
Nebaj,Estación Central de Autobús extraurbano cerca de Nebaj - Ref 434,EXTRAURBANO,4.08,41.27,11
Museo Nacional de Arqueología y Etnología,Estación Central de Lancha colectiva cerca de Museo Nacional de Arqueología y Etnología - Ref 435,LANCHA,11.69,43.87,48
Kaminaljuyú,Estación Central de Microbús / Fletero cerca de Kaminaljuyú - Ref 436,FLETERO,14.57,20.47,66
Zoológico La Aurora,Estación Central de Shuttle turístico cerca de Zoológico La Aurora - Ref 437,SHUTTLE,5.49,36.87,19
Centro Histórico de la Ciudad de Guatemala,Estación Central de Taxi local cerca de Centro Histórico de la Ciudad de Guatemala - Ref 438,TAXI,4.23,9.36,16
Mixco Viejo,Estación Central de Tuc-tuc cerca de Mixco Viejo - Ref 439,TUC_TUC,5.22,14.12,15
Volcán Acatenango,Estación Central de Autobús extraurbano cerca de Volcán Acatenango - Ref 440,EXTRAURBANO,14.13,34.55,53
Volcán de Agua,Estación Central de Lancha colectiva cerca de Volcán de Agua - Ref 441,LANCHA,14.44,6.58,68
Hobbitenango,Estación Central de Microbús / Fletero cerca de Hobbitenango - Ref 442,FLETERO,10.01,49.03,30
Museo Miraflores,Estación Central de Shuttle turístico cerca de Museo Miraflores - Ref 443,SHUTTLE,3.73,13.4,13
Reserva de Biosfera Sierra de las Minas,Estación Central de Taxi local cerca de Reserva de Biosfera Sierra de las Minas - Ref 444,TAXI,2.7,15.11,7
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Tuc-tuc cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 445,TUC_TUC,10.22,7.79,46
Volcán y Laguna de Ipala,Estación Central de Autobús extraurbano cerca de Volcán y Laguna de Ipala - Ref 446,EXTRAURBANO,2.47,20.37,7
Lago de Güija,Estación Central de Lancha colectiva cerca de Lago de Güija - Ref 447,LANCHA,8.88,16.56,26
Volcán Suchitán,Estación Central de Microbús / Fletero cerca de Volcán Suchitán - Ref 448,FLETERO,14.75,19.99,69
Playa Blanca,Estación Central de Shuttle turístico cerca de Playa Blanca - Ref 449,SHUTTLE,8.26,9.4,39
Laguna Lachuá,Estación Central de Taxi local cerca de Laguna Lachuá - Ref 450,TAXI,8.95,16.35,25
Antigua Guatemala,Estación Central de Tuc-tuc cerca de Antigua Guatemala - Ref 451,TUC_TUC,7.48,41.76,32
Parque Nacional Tikal,Estación Central de Autobús extraurbano cerca de Parque Nacional Tikal - Ref 452,EXTRAURBANO,12.98,16.33,36
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 453,LANCHA,11.12,39.77,49
Sitio arqueológico El Mirador,Estación Central de Microbús / Fletero cerca de Sitio arqueológico El Mirador - Ref 454,FLETERO,5.45,22.09,17
Uaxactún,Estación Central de Shuttle turístico cerca de Uaxactún - Ref 455,SHUTTLE,4.59,23.0,22
Lago de Atitlán,Estación Central de Taxi local cerca de Lago de Atitlán - Ref 456,TAXI,3.85,5.05,15
Panajachel,Estación Central de Tuc-tuc cerca de Panajachel - Ref 457,TUC_TUC,9.75,40.97,34
San Juan La Laguna,Estación Central de Autobús extraurbano cerca de San Juan La Laguna - Ref 458,EXTRAURBANO,6.52,17.8,32
Chichicastenango,Estación Central de Lancha colectiva cerca de Chichicastenango - Ref 459,LANCHA,5.79,11.77,27
Iximché,Estación Central de Microbús / Fletero cerca de Iximché - Ref 460,FLETERO,6.31,32.62,16
Parque Arqueológico Quiriguá,Estación Central de Shuttle turístico cerca de Parque Arqueológico Quiriguá - Ref 461,SHUTTLE,1.34,39.21,6
Río Dulce,Estación Central de Taxi local cerca de Río Dulce - Ref 462,TAXI,5.12,33.77,20
Castillo de San Felipe de Lara,Estación Central de Tuc-tuc cerca de Castillo de San Felipe de Lara - Ref 463,TUC_TUC,3.05,31.3,12
Livingston,Estación Central de Autobús extraurbano cerca de Livingston - Ref 464,EXTRAURBANO,3.68,13.13,15
Semuc Champey,Estación Central de Lancha colectiva cerca de Semuc Champey - Ref 465,LANCHA,6.12,22.57,24
Cuevas de Candelaria,Estación Central de Microbús / Fletero cerca de Cuevas de Candelaria - Ref 466,FLETERO,4.29,13.53,12
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Shuttle turístico cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 467,SHUTTLE,6.02,36.17,28
Cobán,Estación Central de Taxi local cerca de Cobán - Ref 468,TAXI,13.83,12.2,57
Esquipulas,Estación Central de Tuc-tuc cerca de Esquipulas - Ref 469,TUC_TUC,0.58,10.31,2
Basílica del Cristo Negro de Esquipulas,Estación Central de Autobús extraurbano cerca de Basílica del Cristo Negro de Esquipulas - Ref 470,EXTRAURBANO,2.29,42.75,7
Volcán de Pacaya,Estación Central de Lancha colectiva cerca de Volcán de Pacaya - Ref 471,LANCHA,12.96,10.43,60
Monterrico,Estación Central de Microbús / Fletero cerca de Monterrico - Ref 472,FLETERO,6.22,10.85,23
Parque Nacional Sipacate-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Sipacate-Naranjo - Ref 473,SHUTTLE,2.22,18.23,6
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Taxi local cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 474,TAXI,11.96,16.36,35
Parques Xetulul y Xocomil,Estación Central de Tuc-tuc cerca de Parques Xetulul y Xocomil - Ref 475,TUC_TUC,9.13,47.77,28
Puerto San José,Estación Central de Autobús extraurbano cerca de Puerto San José - Ref 476,EXTRAURBANO,12.05,33.83,31
Playa Tilapa,Estación Central de Lancha colectiva cerca de Playa Tilapa - Ref 477,LANCHA,14.61,35.3,63
Fuentes Georginas,Estación Central de Microbús / Fletero cerca de Fuentes Georginas - Ref 478,FLETERO,11.14,7.58,48
Centro Histórico de Quetzaltenango,Estación Central de Shuttle turístico cerca de Centro Histórico de Quetzaltenango - Ref 479,SHUTTLE,0.87,28.3,2
Volcán Tajumulco,Estación Central de Taxi local cerca de Volcán Tajumulco - Ref 480,TAXI,12.22,25.18,46
Laguna Brava,Estación Central de Tuc-tuc cerca de Laguna Brava - Ref 481,TUC_TUC,10.89,35.5,45
Cenotes de Candelaria,Estación Central de Autobús extraurbano cerca de Cenotes de Candelaria - Ref 482,EXTRAURBANO,3.9,49.26,12
Todos Santos Cuchumatán,Estación Central de Lancha colectiva cerca de Todos Santos Cuchumatán - Ref 483,LANCHA,10.08,18.13,45
Nebaj,Estación Central de Microbús / Fletero cerca de Nebaj - Ref 484,FLETERO,2.43,6.42,8
Museo Nacional de Arqueología y Etnología,Estación Central de Shuttle turístico cerca de Museo Nacional de Arqueología y Etnología - Ref 485,SHUTTLE,11.93,41.39,36
Kaminaljuyú,Estación Central de Taxi local cerca de Kaminaljuyú - Ref 486,TAXI,10.43,41.01,28
Zoológico La Aurora,Estación Central de Tuc-tuc cerca de Zoológico La Aurora - Ref 487,TUC_TUC,4.39,47.73,13
Centro Histórico de la Ciudad de Guatemala,Estación Central de Autobús extraurbano cerca de Centro Histórico de la Ciudad de Guatemala - Ref 488,EXTRAURBANO,5.75,13.83,28
Mixco Viejo,Estación Central de Lancha colectiva cerca de Mixco Viejo - Ref 489,LANCHA,12.99,19.96,61
Volcán Acatenango,Estación Central de Microbús / Fletero cerca de Volcán Acatenango - Ref 490,FLETERO,14.33,16.5,53
Volcán de Agua,Estación Central de Shuttle turístico cerca de Volcán de Agua - Ref 491,SHUTTLE,8.13,27.3,34
Hobbitenango,Estación Central de Taxi local cerca de Hobbitenango - Ref 492,TAXI,3.07,32.77,11
Museo Miraflores,Estación Central de Tuc-tuc cerca de Museo Miraflores - Ref 493,TUC_TUC,1.3,20.59,5
Reserva de Biosfera Sierra de las Minas,Estación Central de Autobús extraurbano cerca de Reserva de Biosfera Sierra de las Minas - Ref 494,EXTRAURBANO,5.96,26.64,18
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Lancha colectiva cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 495,LANCHA,7.38,23.37,23
Volcán y Laguna de Ipala,Estación Central de Microbús / Fletero cerca de Volcán y Laguna de Ipala - Ref 496,FLETERO,3.03,9.69,7
Lago de Güija,Estación Central de Shuttle turístico cerca de Lago de Güija - Ref 497,SHUTTLE,7.43,25.11,34
Volcán Suchitán,Estación Central de Taxi local cerca de Volcán Suchitán - Ref 498,TAXI,3.34,33.95,9
Playa Blanca,Estación Central de Tuc-tuc cerca de Playa Blanca - Ref 499,TUC_TUC,3.05,33.54,12
Laguna Lachuá,Estación Central de Autobús extraurbano cerca de Laguna Lachuá - Ref 500,EXTRAURBANO,9.88,25.03,47
Antigua Guatemala,Estación Central de Lancha colectiva cerca de Antigua Guatemala - Ref 501,LANCHA,8.65,5.75,40
Parque Nacional Tikal,Estación Central de Microbús / Fletero cerca de Parque Nacional Tikal - Ref 502,FLETERO,6.92,44.14,21
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 503,SHUTTLE,12.98,46.16,50
Sitio arqueológico El Mirador,Estación Central de Taxi local cerca de Sitio arqueológico El Mirador - Ref 504,TAXI,6.64,5.11,21
Uaxactún,Estación Central de Tuc-tuc cerca de Uaxactún - Ref 505,TUC_TUC,6.9,39.04,33
Lago de Atitlán,Estación Central de Autobús extraurbano cerca de Lago de Atitlán - Ref 506,EXTRAURBANO,9.16,10.7,24
Panajachel,Estación Central de Lancha colectiva cerca de Panajachel - Ref 507,LANCHA,8.98,43.52,26
San Juan La Laguna,Estación Central de Microbús / Fletero cerca de San Juan La Laguna - Ref 508,FLETERO,14.48,32.45,38
Chichicastenango,Estación Central de Shuttle turístico cerca de Chichicastenango - Ref 509,SHUTTLE,1.88,44.96,7
Iximché,Estación Central de Taxi local cerca de Iximché - Ref 510,TAXI,4.78,18.64,17
Parque Arqueológico Quiriguá,Estación Central de Tuc-tuc cerca de Parque Arqueológico Quiriguá - Ref 511,TUC_TUC,3.22,11.27,10
Río Dulce,Estación Central de Autobús extraurbano cerca de Río Dulce - Ref 512,EXTRAURBANO,14.55,5.35,40
Castillo de San Felipe de Lara,Estación Central de Lancha colectiva cerca de Castillo de San Felipe de Lara - Ref 513,LANCHA,14.62,27.91,68
Livingston,Estación Central de Microbús / Fletero cerca de Livingston - Ref 514,FLETERO,2.86,6.4,11
Semuc Champey,Estación Central de Shuttle turístico cerca de Semuc Champey - Ref 515,SHUTTLE,5.62,23.58,21
Cuevas de Candelaria,Estación Central de Taxi local cerca de Cuevas de Candelaria - Ref 516,TAXI,10.75,30.88,34
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Tuc-tuc cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 517,TUC_TUC,12.09,34.61,35
Cobán,Estación Central de Autobús extraurbano cerca de Cobán - Ref 518,EXTRAURBANO,13.48,46.86,46
Esquipulas,Estación Central de Lancha colectiva cerca de Esquipulas - Ref 519,LANCHA,14.91,33.04,43
Basílica del Cristo Negro de Esquipulas,Estación Central de Microbús / Fletero cerca de Basílica del Cristo Negro de Esquipulas - Ref 520,FLETERO,7.53,24.21,24
Volcán de Pacaya,Estación Central de Shuttle turístico cerca de Volcán de Pacaya - Ref 521,SHUTTLE,8.38,46.54,39
Monterrico,Estación Central de Taxi local cerca de Monterrico - Ref 522,TAXI,1.27,41.51,6
Parque Nacional Sipacate-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Sipacate-Naranjo - Ref 523,TUC_TUC,4.33,12.27,18
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Autobús extraurbano cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 524,EXTRAURBANO,7.52,8.0,35
Parques Xetulul y Xocomil,Estación Central de Lancha colectiva cerca de Parques Xetulul y Xocomil - Ref 525,LANCHA,3.97,26.75,19
Puerto San José,Estación Central de Microbús / Fletero cerca de Puerto San José - Ref 526,FLETERO,7.97,24.18,28
Playa Tilapa,Estación Central de Shuttle turístico cerca de Playa Tilapa - Ref 527,SHUTTLE,7.75,34.43,33
Fuentes Georginas,Estación Central de Taxi local cerca de Fuentes Georginas - Ref 528,TAXI,5.68,37.75,15
Centro Histórico de Quetzaltenango,Estación Central de Tuc-tuc cerca de Centro Histórico de Quetzaltenango - Ref 529,TUC_TUC,12.51,7.51,37
Volcán Tajumulco,Estación Central de Autobús extraurbano cerca de Volcán Tajumulco - Ref 530,EXTRAURBANO,13.26,16.42,35
Laguna Brava,Estación Central de Lancha colectiva cerca de Laguna Brava - Ref 531,LANCHA,8.52,19.36,29
Cenotes de Candelaria,Estación Central de Microbús / Fletero cerca de Cenotes de Candelaria - Ref 532,FLETERO,1.01,45.61,3
Todos Santos Cuchumatán,Estación Central de Shuttle turístico cerca de Todos Santos Cuchumatán - Ref 533,SHUTTLE,12.26,10.63,48
Nebaj,Estación Central de Taxi local cerca de Nebaj - Ref 534,TAXI,8.34,43.47,33
Museo Nacional de Arqueología y Etnología,Estación Central de Tuc-tuc cerca de Museo Nacional de Arqueología y Etnología - Ref 535,TUC_TUC,12.62,47.33,33
Kaminaljuyú,Estación Central de Autobús extraurbano cerca de Kaminaljuyú - Ref 536,EXTRAURBANO,3.33,29.24,14
Zoológico La Aurora,Estación Central de Lancha colectiva cerca de Zoológico La Aurora - Ref 537,LANCHA,4.92,20.7,23
Centro Histórico de la Ciudad de Guatemala,Estación Central de Microbús / Fletero cerca de Centro Histórico de la Ciudad de Guatemala - Ref 538,FLETERO,2.94,15.95,11
Mixco Viejo,Estación Central de Shuttle turístico cerca de Mixco Viejo - Ref 539,SHUTTLE,4.16,9.82,18
Volcán Acatenango,Estación Central de Taxi local cerca de Volcán Acatenango - Ref 540,TAXI,13.32,42.34,47
Volcán de Agua,Estación Central de Tuc-tuc cerca de Volcán de Agua - Ref 541,TUC_TUC,3.41,38.5,14
Hobbitenango,Estación Central de Autobús extraurbano cerca de Hobbitenango - Ref 542,EXTRAURBANO,10.06,38.81,35
Museo Miraflores,Estación Central de Lancha colectiva cerca de Museo Miraflores - Ref 543,LANCHA,6.4,30.71,21
Reserva de Biosfera Sierra de las Minas,Estación Central de Microbús / Fletero cerca de Reserva de Biosfera Sierra de las Minas - Ref 544,FLETERO,5.51,12.71,23
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Shuttle turístico cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 545,SHUTTLE,6.47,47.81,22
Volcán y Laguna de Ipala,Estación Central de Taxi local cerca de Volcán y Laguna de Ipala - Ref 546,TAXI,5.08,44.64,17
Lago de Güija,Estación Central de Tuc-tuc cerca de Lago de Güija - Ref 547,TUC_TUC,9.22,44.46,27
Volcán Suchitán,Estación Central de Autobús extraurbano cerca de Volcán Suchitán - Ref 548,EXTRAURBANO,11.9,47.77,51
Playa Blanca,Estación Central de Lancha colectiva cerca de Playa Blanca - Ref 549,LANCHA,9.18,10.2,36
Laguna Lachuá,Estación Central de Microbús / Fletero cerca de Laguna Lachuá - Ref 550,FLETERO,14.76,7.73,65
Antigua Guatemala,Estación Central de Shuttle turístico cerca de Antigua Guatemala - Ref 551,SHUTTLE,6.18,27.85,24
Parque Nacional Tikal,Estación Central de Taxi local cerca de Parque Nacional Tikal - Ref 552,TAXI,0.94,42.05,4
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 553,TUC_TUC,6.82,23.69,33
Sitio arqueológico El Mirador,Estación Central de Autobús extraurbano cerca de Sitio arqueológico El Mirador - Ref 554,EXTRAURBANO,7.03,12.28,24
Uaxactún,Estación Central de Lancha colectiva cerca de Uaxactún - Ref 555,LANCHA,2.15,6.16,9
Lago de Atitlán,Estación Central de Microbús / Fletero cerca de Lago de Atitlán - Ref 556,FLETERO,9.64,16.26,36
Panajachel,Estación Central de Shuttle turístico cerca de Panajachel - Ref 557,SHUTTLE,11.45,11.86,46
San Juan La Laguna,Estación Central de Taxi local cerca de San Juan La Laguna - Ref 558,TAXI,13.59,49.44,42
Chichicastenango,Estación Central de Tuc-tuc cerca de Chichicastenango - Ref 559,TUC_TUC,4.29,5.19,17
Iximché,Estación Central de Autobús extraurbano cerca de Iximché - Ref 560,EXTRAURBANO,5.52,49.69,18
Parque Arqueológico Quiriguá,Estación Central de Lancha colectiva cerca de Parque Arqueológico Quiriguá - Ref 561,LANCHA,6.69,18.61,28
Río Dulce,Estación Central de Microbús / Fletero cerca de Río Dulce - Ref 562,FLETERO,7.2,27.49,30
Castillo de San Felipe de Lara,Estación Central de Shuttle turístico cerca de Castillo de San Felipe de Lara - Ref 563,SHUTTLE,13.76,23.25,35
Livingston,Estación Central de Taxi local cerca de Livingston - Ref 564,TAXI,1.37,46.19,6
Semuc Champey,Estación Central de Tuc-tuc cerca de Semuc Champey - Ref 565,TUC_TUC,11.54,15.55,48
Cuevas de Candelaria,Estación Central de Autobús extraurbano cerca de Cuevas de Candelaria - Ref 566,EXTRAURBANO,4.76,12.99,19
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Lancha colectiva cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 567,LANCHA,4.55,48.93,11
Cobán,Estación Central de Microbús / Fletero cerca de Cobán - Ref 568,FLETERO,3.55,14.58,14
Esquipulas,Estación Central de Shuttle turístico cerca de Esquipulas - Ref 569,SHUTTLE,4.68,21.2,12
Basílica del Cristo Negro de Esquipulas,Estación Central de Taxi local cerca de Basílica del Cristo Negro de Esquipulas - Ref 570,TAXI,12.03,22.41,31
Volcán de Pacaya,Estación Central de Tuc-tuc cerca de Volcán de Pacaya - Ref 571,TUC_TUC,3.2,26.0,15
Monterrico,Estación Central de Autobús extraurbano cerca de Monterrico - Ref 572,EXTRAURBANO,7.75,24.23,25
Parque Nacional Sipacate-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Sipacate-Naranjo - Ref 573,LANCHA,3.38,39.42,11
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Microbús / Fletero cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 574,FLETERO,11.88,16.34,44
Parques Xetulul y Xocomil,Estación Central de Shuttle turístico cerca de Parques Xetulul y Xocomil - Ref 575,SHUTTLE,13.48,43.25,38
Puerto San José,Estación Central de Taxi local cerca de Puerto San José - Ref 576,TAXI,9.28,39.8,32
Playa Tilapa,Estación Central de Tuc-tuc cerca de Playa Tilapa - Ref 577,TUC_TUC,12.45,27.72,31
Fuentes Georginas,Estación Central de Autobús extraurbano cerca de Fuentes Georginas - Ref 578,EXTRAURBANO,14.57,38.52,36
Centro Histórico de Quetzaltenango,Estación Central de Lancha colectiva cerca de Centro Histórico de Quetzaltenango - Ref 579,LANCHA,14.05,24.13,49
Volcán Tajumulco,Estación Central de Microbús / Fletero cerca de Volcán Tajumulco - Ref 580,FLETERO,6.21,18.66,28
Laguna Brava,Estación Central de Shuttle turístico cerca de Laguna Brava - Ref 581,SHUTTLE,3.05,33.38,8
Cenotes de Candelaria,Estación Central de Taxi local cerca de Cenotes de Candelaria - Ref 582,TAXI,13.3,27.29,49
Todos Santos Cuchumatán,Estación Central de Tuc-tuc cerca de Todos Santos Cuchumatán - Ref 583,TUC_TUC,10.36,48.34,30
Nebaj,Estación Central de Autobús extraurbano cerca de Nebaj - Ref 584,EXTRAURBANO,9.94,32.17,44
Museo Nacional de Arqueología y Etnología,Estación Central de Lancha colectiva cerca de Museo Nacional de Arqueología y Etnología - Ref 585,LANCHA,9.55,17.94,44
Kaminaljuyú,Estación Central de Microbús / Fletero cerca de Kaminaljuyú - Ref 586,FLETERO,8.3,14.18,37
Zoológico La Aurora,Estación Central de Shuttle turístico cerca de Zoológico La Aurora - Ref 587,SHUTTLE,5.48,7.62,21
Centro Histórico de la Ciudad de Guatemala,Estación Central de Taxi local cerca de Centro Histórico de la Ciudad de Guatemala - Ref 588,TAXI,11.87,47.02,45
Mixco Viejo,Estación Central de Tuc-tuc cerca de Mixco Viejo - Ref 589,TUC_TUC,11.75,22.37,46
Volcán Acatenango,Estación Central de Autobús extraurbano cerca de Volcán Acatenango - Ref 590,EXTRAURBANO,3.87,21.89,10
Volcán de Agua,Estación Central de Lancha colectiva cerca de Volcán de Agua - Ref 591,LANCHA,14.03,23.64,52
Hobbitenango,Estación Central de Microbús / Fletero cerca de Hobbitenango - Ref 592,FLETERO,11.13,45.92,28
Museo Miraflores,Estación Central de Shuttle turístico cerca de Museo Miraflores - Ref 593,SHUTTLE,9.15,39.58,32
Reserva de Biosfera Sierra de las Minas,Estación Central de Taxi local cerca de Reserva de Biosfera Sierra de las Minas - Ref 594,TAXI,3.9,30.09,11
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Tuc-tuc cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 595,TUC_TUC,12.39,24.4,41
Volcán y Laguna de Ipala,Estación Central de Autobús extraurbano cerca de Volcán y Laguna de Ipala - Ref 596,EXTRAURBANO,8.11,9.45,38
Lago de Güija,Estación Central de Lancha colectiva cerca de Lago de Güija - Ref 597,LANCHA,1.49,45.83,5
Volcán Suchitán,Estación Central de Microbús / Fletero cerca de Volcán Suchitán - Ref 598,FLETERO,12.44,31.93,32
Playa Blanca,Estación Central de Shuttle turístico cerca de Playa Blanca - Ref 599,SHUTTLE,6.98,16.21,22
Laguna Lachuá,Estación Central de Taxi local cerca de Laguna Lachuá - Ref 600,TAXI,4.69,29.34,20
Antigua Guatemala,Estación Central de Tuc-tuc cerca de Antigua Guatemala - Ref 601,TUC_TUC,5.57,17.05,17
Parque Nacional Tikal,Estación Central de Autobús extraurbano cerca de Parque Nacional Tikal - Ref 602,EXTRAURBANO,7.78,46.05,20
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 603,LANCHA,0.99,28.03,4
Sitio arqueológico El Mirador,Estación Central de Microbús / Fletero cerca de Sitio arqueológico El Mirador - Ref 604,FLETERO,4.06,48.28,15
Uaxactún,Estación Central de Shuttle turístico cerca de Uaxactún - Ref 605,SHUTTLE,9.3,33.76,32
Lago de Atitlán,Estación Central de Taxi local cerca de Lago de Atitlán - Ref 606,TAXI,13.24,15.18,58
Panajachel,Estación Central de Tuc-tuc cerca de Panajachel - Ref 607,TUC_TUC,4.1,7.14,11
San Juan La Laguna,Estación Central de Autobús extraurbano cerca de San Juan La Laguna - Ref 608,EXTRAURBANO,2.27,7.63,10
Chichicastenango,Estación Central de Lancha colectiva cerca de Chichicastenango - Ref 609,LANCHA,12.47,49.31,32
Iximché,Estación Central de Microbús / Fletero cerca de Iximché - Ref 610,FLETERO,8.58,35.98,24
Parque Arqueológico Quiriguá,Estación Central de Shuttle turístico cerca de Parque Arqueológico Quiriguá - Ref 611,SHUTTLE,6.49,36.7,29
Río Dulce,Estación Central de Taxi local cerca de Río Dulce - Ref 612,TAXI,1.88,44.26,7
Castillo de San Felipe de Lara,Estación Central de Tuc-tuc cerca de Castillo de San Felipe de Lara - Ref 613,TUC_TUC,13.11,27.44,53
Livingston,Estación Central de Autobús extraurbano cerca de Livingston - Ref 614,EXTRAURBANO,0.9,15.62,3
Semuc Champey,Estación Central de Lancha colectiva cerca de Semuc Champey - Ref 615,LANCHA,12.53,49.74,43
Cuevas de Candelaria,Estación Central de Microbús / Fletero cerca de Cuevas de Candelaria - Ref 616,FLETERO,13.98,13.49,40
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Shuttle turístico cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 617,SHUTTLE,10.92,6.92,37
Cobán,Estación Central de Taxi local cerca de Cobán - Ref 618,TAXI,10.05,15.96,37
Esquipulas,Estación Central de Tuc-tuc cerca de Esquipulas - Ref 619,TUC_TUC,2.32,21.87,10
Basílica del Cristo Negro de Esquipulas,Estación Central de Autobús extraurbano cerca de Basílica del Cristo Negro de Esquipulas - Ref 620,EXTRAURBANO,7.07,35.81,19
Volcán de Pacaya,Estación Central de Lancha colectiva cerca de Volcán de Pacaya - Ref 621,LANCHA,9.45,13.02,39
Monterrico,Estación Central de Microbús / Fletero cerca de Monterrico - Ref 622,FLETERO,5.73,24.5,20
Parque Nacional Sipacate-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Sipacate-Naranjo - Ref 623,SHUTTLE,14.6,6.42,67
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Taxi local cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 624,TAXI,10.74,7.7,53
Parques Xetulul y Xocomil,Estación Central de Tuc-tuc cerca de Parques Xetulul y Xocomil - Ref 625,TUC_TUC,5.2,25.82,24
Puerto San José,Estación Central de Autobús extraurbano cerca de Puerto San José - Ref 626,EXTRAURBANO,13.75,30.65,44
Playa Tilapa,Estación Central de Lancha colectiva cerca de Playa Tilapa - Ref 627,LANCHA,7.06,42.47,28
Fuentes Georginas,Estación Central de Microbús / Fletero cerca de Fuentes Georginas - Ref 628,FLETERO,5.34,39.36,15
Centro Histórico de Quetzaltenango,Estación Central de Shuttle turístico cerca de Centro Histórico de Quetzaltenango - Ref 629,SHUTTLE,1.36,45.38,3
Volcán Tajumulco,Estación Central de Taxi local cerca de Volcán Tajumulco - Ref 630,TAXI,1.03,19.48,4
Laguna Brava,Estación Central de Tuc-tuc cerca de Laguna Brava - Ref 631,TUC_TUC,8.55,23.51,35
Cenotes de Candelaria,Estación Central de Autobús extraurbano cerca de Cenotes de Candelaria - Ref 632,EXTRAURBANO,10.01,40.62,49
Todos Santos Cuchumatán,Estación Central de Lancha colectiva cerca de Todos Santos Cuchumatán - Ref 633,LANCHA,12.13,19.12,48
Nebaj,Estación Central de Microbús / Fletero cerca de Nebaj - Ref 634,FLETERO,1.47,45.81,6
Museo Nacional de Arqueología y Etnología,Estación Central de Shuttle turístico cerca de Museo Nacional de Arqueología y Etnología - Ref 635,SHUTTLE,2.94,38.61,13
Kaminaljuyú,Estación Central de Taxi local cerca de Kaminaljuyú - Ref 636,TAXI,4.95,42.02,14
Zoológico La Aurora,Estación Central de Tuc-tuc cerca de Zoológico La Aurora - Ref 637,TUC_TUC,4.36,41.58,14
Centro Histórico de la Ciudad de Guatemala,Estación Central de Autobús extraurbano cerca de Centro Histórico de la Ciudad de Guatemala - Ref 638,EXTRAURBANO,1.35,31.18,5
Mixco Viejo,Estación Central de Lancha colectiva cerca de Mixco Viejo - Ref 639,LANCHA,13.5,23.05,41
Volcán Acatenango,Estación Central de Microbús / Fletero cerca de Volcán Acatenango - Ref 640,FLETERO,13.97,19.57,49
Volcán de Agua,Estación Central de Shuttle turístico cerca de Volcán de Agua - Ref 641,SHUTTLE,9.53,44.68,34
Hobbitenango,Estación Central de Taxi local cerca de Hobbitenango - Ref 642,TAXI,10.9,12.3,44
Museo Miraflores,Estación Central de Tuc-tuc cerca de Museo Miraflores - Ref 643,TUC_TUC,4.99,15.03,15
