ruta_transporte_codigo,proveedor_codigo,hora_salida,frecuencia,tarifa_q,duracion_estimada_minutos
RUT_318_23_0659,PROV_GT22_0668,06:45:00,Cada 15 minutos,63.65,143
RUT_319_24_0660,PROV_GT22_0669,07:00:00,Diario,110.65,86
RUT_320_25_0661,PROV_GT22_0670,08:15:00,Cada 30 minutos,112.42,57
RUT_321_26_0662,PROV_GT22_0671,09:30:00,Cada hora,35.41,34
RUT_322_27_0663,PROV_GT22_0672,10:45:00,Lunes a Viernes,119.72,30
RUT_323_28_0664,PROV_GT22_0673,11:00:00,Solo fines de semana,16.67,126
RUT_324_29_0665,PROV_GT22_0674,12:15:00,Cada 15 minutos,99.54,129
RUT_325_30_0666,PROV_GT22_0675,13:30:00,Diario,60.31,162
RUT_326_31_0667,PROV_GT22_0676,14:45:00,Cada 30 minutos,59.37,187
RUT_327_32_0668,PROV_GT22_0677,15:00:00,Cada hora,107.06,233
RUT_328_33_0669,PROV_GT22_0678,16:15:00,Lunes a Viernes,124.88,181
RUT_329_34_0670,PROV_GT22_0679,17:30:00,Solo fines de semana,97.82,118
RUT_330_35_0671,PROV_GT22_0680,18:45:00,Cada 15 minutos,85.44,175
RUT_331_36_0672,PROV_GT22_0681,05:00:00,Diario,40.31,33
RUT_332_37_0673,PROV_GT22_0682,06:15:00,Cada 30 minutos,31.31,51
RUT_333_38_0674,PROV_GT22_0683,07:30:00,Cada hora,95.11,29
RUT_334_39_0675,PROV_GT01_0684,08:45:00,Lunes a Viernes,19.32,146
RUT_335_40_0676,PROV_GT01_0685,09:00:00,Solo fines de semana,128.54,148
RUT_336_41_0677,PROV_GT01_0686,10:15:00,Cada 15 minutos,107.3,179
RUT_337_42_0678,PROV_GT01_0687,11:30:00,Diario,136.01,201
RUT_338_43_0679,PROV_GT01_0688,12:45:00,Cada 30 minutos,134.92,44
RUT_339_44_0680,PROV_GT01_0689,13:00:00,Cada hora,126.01,60
RUT_340_45_0681,PROV_GT01_0690,14:15:00,Lunes a Viernes,15.99,219
RUT_341_46_0682,PROV_GT01_0691,15:30:00,Solo fines de semana,118.85,106
RUT_342_47_0683,PROV_GT01_0692,16:45:00,Cada 15 minutos,61.62,222
RUT_1_48_0684,PROV_GT01_0693,17:00:00,Diario,28.93,33
RUT_2_49_0685,PROV_GT01_0694,18:15:00,Cada 30 minutos,145.7,99
RUT_3_50_0686,PROV_GT01_0695,05:30:00,Cada hora,79.96,50
RUT_4_51_0687,PROV_GT01_0696,06:45:00,Lunes a Viernes,27.89,150
RUT_5_52_0688,PROV_GT01_0697,07:00:00,Solo fines de semana,59.14,138
RUT_6_53_0689,PROV_GT01_0698,08:15:00,Cada 15 minutos,74.7,138
RUT_7_54_0690,PROV_GT01_0699,09:30:00,Diario,139.56,77
RUT_8_55_0691,PROV_GT01_0700,10:45:00,Cada 30 minutos,105.5,238
RUT_9_56_0692,PROV_GT01_0701,11:00:00,Cada hora,89.66,233
RUT_10_57_0693,PROV_GT02_0702,12:15:00,Lunes a Viernes,26.47,152
RUT_11_58_0694,PROV_GT02_0703,13:30:00,Solo fines de semana,16.42,164
RUT_12_59_0695,PROV_GT02_0704,14:45:00,Cada 15 minutos,31.11,92
RUT_13_60_0696,PROV_GT02_0705,15:00:00,Diario,10.54,102
RUT_14_61_0697,PROV_GT02_0706,16:15:00,Cada 30 minutos,103.43,35
RUT_15_62_0698,PROV_GT02_0707,17:30:00,Cada hora,144.5,79
RUT_16_63_0699,PROV_GT02_0708,18:45:00,Lunes a Viernes,147.34,28
RUT_17_64_0700,PROV_GT02_0709,05:00:00,Solo fines de semana,50.45,64
RUT_18_65_0701,PROV_GT03_0710,06:15:00,Cada 15 minutos,57.16,62
RUT_19_66_0702,PROV_GT03_0711,07:30:00,Diario,8.17,26
RUT_20_67_0703,PROV_GT03_0712,08:45:00,Cada 30 minutos,72.24,170
RUT_21_68_0704,PROV_GT03_0713,09:00:00,Cada hora,119.78,120
RUT_22_69_0705,PROV_GT03_0714,10:15:00,Lunes a Viernes,20.78,151
RUT_23_70_0706,PROV_GT03_0715,11:30:00,Solo fines de semana,107.7,149
RUT_24_71_0707,PROV_GT03_0716,12:45:00,Cada 15 minutos,52.22,36
RUT_25_72_0708,PROV_GT03_0717,13:00:00,Diario,124.44,110
RUT_26_73_0709,PROV_GT03_0718,14:15:00,Cada 30 minutos,17.91,231
RUT_27_74_0710,PROV_GT03_0719,15:30:00,Cada hora,53.17,83
RUT_28_75_0711,PROV_GT03_0720,16:45:00,Lunes a Viernes,35.41,172
RUT_29_76_0712,PROV_GT03_0721,17:00:00,Solo fines de semana,68.42,20
RUT_30_77_0713,PROV_GT03_0722,18:15:00,Cada 15 minutos,21.34,84
RUT_31_78_0714,PROV_GT03_0723,05:30:00,Diario,111.47,154
RUT_32_79_0715,PROV_GT03_0724,06:45:00,Cada 30 minutos,77.07,143
RUT_33_80_0716,PROV_GT03_0725,07:00:00,Cada hora,19.43,167
RUT_34_81_0717,PROV_GT04_0726,08:15:00,Lunes a Viernes,136.61,44
RUT_35_82_0718,PROV_GT04_0727,09:30:00,Solo fines de semana,112.37,61
RUT_36_83_0719,PROV_GT04_0728,10:45:00,Cada 15 minutos,56.85,67
RUT_37_84_0720,PROV_GT04_0729,11:00:00,Diario,54.35,141
RUT_38_85_0721,PROV_GT04_0730,12:15:00,Cada 30 minutos,6.07,170
RUT_39_86_0722,PROV_GT04_0731,13:30:00,Cada hora,129.65,113
RUT_40_87_0723,PROV_GT04_0732,14:45:00,Lunes a Viernes,49.61,236
RUT_41_88_0724,PROV_GT04_0733,15:00:00,Solo fines de semana,30.24,129
RUT_42_89_0725,PROV_GT04_0734,16:15:00,Cada 15 minutos,66.63,86
RUT_43_90_0726,PROV_GT04_0735,17:30:00,Diario,115.42,161
RUT_44_91_0727,PROV_GT04_0736,18:45:00,Cada 30 minutos,102.55,101
RUT_45_92_0728,PROV_GT04_0737,05:00:00,Cada hora,51.32,51
RUT_46_93_0729,PROV_GT04_0738,06:15:00,Lunes a Viernes,133.63,175
RUT_47_94_0730,PROV_GT04_0739,07:30:00,Solo fines de semana,137.84,110
RUT_48_95_0731,PROV_GT04_0740,08:45:00,Cada 15 minutos,72.35,121
RUT_49_96_0732,PROV_GT04_0741,09:00:00,Diario,42.72,39
RUT_50_97_0733,PROV_GT05_0742,10:15:00,Cada 30 minutos,101.4,179
RUT_51_98_0734,PROV_GT05_0743,11:30:00,Cada hora,95.17,44
RUT_52_99_0735,PROV_GT05_0744,12:45:00,Lunes a Viernes,88.99,103
RUT_53_100_0736,PROV_GT05_0745,13:00:00,Solo fines de semana,6.6,180
RUT_54_101_0737,PROV_GT05_0746,14:15:00,Cada 15 minutos,134.71,131
RUT_55_102_0738,PROV_GT05_0747,15:30:00,Diario,35.27,62
RUT_56_103_0739,PROV_GT05_0748,16:45:00,Cada 30 minutos,7.35,60
RUT_57_104_0740,PROV_GT05_0749,17:00:00,Cada hora,136.55,21
RUT_58_105_0741,PROV_GT05_0750,18:15:00,Lunes a Viernes,110.14,147
RUT_59_106_0742,PROV_GT05_0751,05:30:00,Solo fines de semana,42.1,61
RUT_60_107_0743,PROV_GT05_0752,06:45:00,Cada 15 minutos,149.77,165
RUT_61_108_0744,PROV_GT05_0753,07:00:00,Diario,30.02,93
RUT_62_109_0745,PROV_GT05_0754,08:15:00,Cada 30 minutos,98.22,197
RUT_63_110_0746,PROV_GT05_0755,09:30:00,Cada hora,50.53,31
RUT_64_111_0747,PROV_GT06_0756,10:45:00,Lunes a Viernes,127.51,69
RUT_65_112_0748,PROV_GT06_0757,11:00:00,Solo fines de semana,32.57,54
RUT_66_113_0749,PROV_GT06_0758,12:15:00,Cada 15 minutos,30.23,38
RUT_67_114_0750,PROV_GT06_0759,13:30:00,Diario,111.06,40
RUT_68_115_0751,PROV_GT06_0760,14:45:00,Cada 30 minutos,100.91,132
RUT_69_116_0752,PROV_GT06_0761,15:00:00,Cada hora,9.21,48
RUT_70_117_0753,PROV_GT06_0762,16:15:00,Lunes a Viernes,30.11,110
RUT_71_118_0754,PROV_GT06_0763,17:30:00,Solo fines de semana,21.06,230
RUT_72_119_0755,PROV_GT06_0764,18:45:00,Cada 15 minutos,47.33,135
RUT_73_120_0756,PROV_GT06_0765,05:00:00,Diario,124.62,191
RUT_74_121_0757,PROV_GT06_0766,06:15:00,Cada 30 minutos,100.51,52
RUT_75_122_0758,PROV_GT06_0767,07:30:00,Cada hora,32.85,77
RUT_76_123_0759,PROV_GT06_0768,08:45:00,Lunes a Viernes,86.39,126
RUT_77_124_0760,PROV_GT06_0769,09:00:00,Solo fines de semana,148.95,69
RUT_78_125_0761,PROV_GT07_0770,10:15:00,Cada 15 minutos,14.3,162
RUT_79_126_0762,PROV_GT07_0771,11:30:00,Diario,147.08,181
RUT_80_127_0763,PROV_GT07_0772,12:45:00,Cada 30 minutos,92.05,225
RUT_81_128_0764,PROV_GT07_0773,13:00:00,Cada hora,57.65,233
RUT_82_129_0765,PROV_GT07_0774,14:15:00,Lunes a Viernes,90.61,100
RUT_83_130_0766,PROV_GT07_0775,15:30:00,Solo fines de semana,45.06,31
RUT_84_131_0767,PROV_GT07_0776,16:45:00,Cada 15 minutos,115.78,48
RUT_85_132_0768,PROV_GT07_0777,17:00:00,Diario,29.11,145
RUT_86_133_0769,PROV_GT07_0778,18:15:00,Cada 30 minutos,60.58,171
RUT_87_134_0770,PROV_GT07_0779,05:30:00,Cada hora,47.51,224
RUT_88_135_0771,PROV_GT07_0780,06:45:00,Lunes a Viernes,96.73,166
RUT_89_136_0772,PROV_GT07_0781,07:00:00,Solo fines de semana,22.32,226
RUT_90_137_0773,PROV_GT07_0782,08:15:00,Cada 15 minutos,101.88,213
RUT_91_138_0774,PROV_GT07_0783,09:30:00,Diario,116.5,43
RUT_92_139_0775,PROV_GT07_0784,10:45:00,Cada 30 minutos,122.31,186
RUT_93_140_0776,PROV_GT07_0785,11:00:00,Cada hora,125.25,232
RUT_94_141_0777,PROV_GT07_0786,12:15:00,Lunes a Viernes,33.97,129
RUT_95_142_0778,PROV_GT07_0787,13:30:00,Solo fines de semana,109.9,123
RUT_96_143_0779,PROV_GT07_0788,14:45:00,Cada 15 minutos,117.99,138
RUT_97_144_0780,PROV_GT07_0789,15:00:00,Diario,134.05,240
RUT_98_145_0781,PROV_GT08_0790,16:15:00,Cada 30 minutos,96.54,72
RUT_99_146_0782,PROV_GT08_0791,17:30:00,Cada hora,118.41,186
RUT_100_147_0783,PROV_GT08_0792,18:45:00,Lunes a Viernes,137.32,194
RUT_101_148_0784,PROV_GT08_0793,05:00:00,Solo fines de semana,107.66,121
RUT_102_149_0785,PROV_GT08_0794,06:15:00,Cada 15 minutos,131.36,201
RUT_103_150_0786,PROV_GT08_0795,07:30:00,Diario,109.04,136
RUT_104_151_0787,PROV_GT08_0796,08:45:00,Cada 30 minutos,147.69,186
RUT_105_152_0788,PROV_GT08_0797,09:00:00,Cada hora,95.19,167
RUT_106_153_0789,PROV_GT09_0798,10:15:00,Lunes a Viernes,57.1,167
RUT_107_154_0790,PROV_GT09_0799,11:30:00,Solo fines de semana,115.94,144
RUT_108_155_0791,PROV_GT09_0800,12:45:00,Cada 15 minutos,149.81,42
RUT_109_156_0792,PROV_GT09_0801,13:00:00,Diario,19.59,71
RUT_110_157_0793,PROV_GT09_0802,14:15:00,Cada 30 minutos,86.5,124
RUT_111_158_0794,PROV_GT09_0803,15:30:00,Cada hora,81.69,37
RUT_112_159_0795,PROV_GT09_0804,16:45:00,Lunes a Viernes,134.16,196
RUT_113_160_0796,PROV_GT09_0805,17:00:00,Solo fines de semana,41.87,60
RUT_114_161_0797,PROV_GT09_0806,18:15:00,Cada 15 minutos,36.34,206
RUT_115_162_0798,PROV_GT09_0807,05:30:00,Diario,7.34,111
RUT_116_163_0799,PROV_GT09_0808,06:45:00,Cada 30 minutos,5.86,229
RUT_117_164_0800,PROV_GT09_0809,07:00:00,Cada hora,141.97,68
RUT_118_165_0801,PROV_GT09_0810,08:15:00,Lunes a Viernes,43.41,204
RUT_119_166_0802,PROV_GT09_0811,09:30:00,Solo fines de semana,112.56,77
RUT_120_167_0803,PROV_GT09_0812,10:45:00,Cada 15 minutos,58.01,221
RUT_121_168_0804,PROV_GT09_0813,11:00:00,Diario,39.56,69
RUT_122_169_0805,PROV_GT09_0814,12:15:00,Cada 30 minutos,85.29,76
RUT_123_170_0806,PROV_GT09_0815,13:30:00,Cada hora,135.48,203
RUT_124_171_0807,PROV_GT09_0816,14:45:00,Lunes a Viernes,29.04,204
RUT_125_172_0808,PROV_GT09_0817,15:00:00,Solo fines de semana,25.45,63
RUT_126_173_0809,PROV_GT09_0818,16:15:00,Cada 15 minutos,113.14,220
RUT_127_174_0810,PROV_GT09_0819,17:30:00,Diario,123.87,193
RUT_128_175_0811,PROV_GT09_0820,18:45:00,Cada 30 minutos,50.78,174
RUT_129_176_0812,PROV_GT09_0821,05:00:00,Cada hora,41.37,204
RUT_130_177_0813,PROV_GT10_0822,06:15:00,Lunes a Viernes,6.02,33
RUT_131_178_0814,PROV_GT10_0823,07:30:00,Solo fines de semana,15.18,152
RUT_132_179_0815,PROV_GT10_0824,08:45:00,Cada 15 minutos,80.0,170
RUT_133_180_0816,PROV_GT10_0825,09:00:00,Diario,102.28,152
RUT_134_181_0817,PROV_GT10_0826,10:15:00,Cada 30 minutos,134.73,149
RUT_135_182_0818,PROV_GT10_0827,11:30:00,Cada hora,108.52,40
RUT_136_183_0819,PROV_GT10_0828,12:45:00,Lunes a Viernes,36.49,164
RUT_137_184_0820,PROV_GT10_0829,13:00:00,Solo fines de semana,18.63,120
RUT_138_185_0821,PROV_GT10_0830,14:15:00,Cada 15 minutos,66.67,67
RUT_139_186_0822,PROV_GT10_0831,15:30:00,Diario,98.97,30
RUT_140_187_0823,PROV_GT10_0832,16:45:00,Cada 30 minutos,52.31,146
RUT_141_188_0824,PROV_GT10_0833,17:00:00,Cada hora,137.66,189
RUT_142_189_0825,PROV_GT10_0834,18:15:00,Lunes a Viernes,98.07,24
RUT_143_190_0826,PROV_GT10_0835,05:30:00,Solo fines de semana,16.05,45
RUT_144_191_0827,PROV_GT10_0836,06:45:00,Cada 15 minutos,47.49,38
RUT_145_192_0828,PROV_GT10_0837,07:00:00,Diario,112.82,74
RUT_146_193_0829,PROV_GT10_0838,08:15:00,Cada 30 minutos,80.59,16
RUT_147_194_0830,PROV_GT10_0839,09:30:00,Cada hora,95.8,110
RUT_148_195_0831,PROV_GT10_0840,10:45:00,Lunes a Viernes,51.0,83
RUT_149_196_0832,PROV_GT10_0841,11:00:00,Solo fines de semana,76.55,106
RUT_150_197_0833,PROV_GT10_0842,12:15:00,Cada 15 minutos,101.35,147
RUT_151_198_0834,PROV_GT11_0843,13:30:00,Diario,118.99,72
RUT_152_199_0835,PROV_GT11_0844,14:45:00,Cada 30 minutos,111.76,130
RUT_153_200_0836,PROV_GT11_0845,15:00:00,Cada hora,35.55,75
RUT_154_201_0837,PROV_GT11_0846,16:15:00,Lunes a Viernes,136.13,190
RUT_155_202_0838,PROV_GT11_0847,17:30:00,Solo fines de semana,44.91,185
RUT_156_203_0839,PROV_GT11_0848,18:45:00,Cada 15 minutos,7.62,239
RUT_157_204_0840,PROV_GT11_0849,05:00:00,Diario,139.02,45
RUT_158_205_0841,PROV_GT11_0850,06:15:00,Cada 30 minutos,72.93,118
RUT_159_206_0842,PROV_GT11_0851,07:30:00,Cada hora,5.01,86
RUT_160_207_0843,PROV_GT12_0852,08:45:00,Lunes a Viernes,133.69,178
RUT_161_208_0844,PROV_GT12_0853,09:00:00,Solo fines de semana,140.4,238
RUT_162_209_0845,PROV_GT12_0854,10:15:00,Cada 15 minutos,144.81,144
RUT_163_210_0846,PROV_GT12_0855,11:30:00,Diario,97.54,154
RUT_164_211_0847,PROV_GT12_0856,12:45:00,Cada 30 minutos,70.95,113
RUT_165_212_0848,PROV_GT12_0857,13:00:00,Cada hora,97.25,87
RUT_166_213_0849,PROV_GT12_0858,14:15:00,Lunes a Viernes,45.04,28
RUT_167_214_0850,PROV_GT12_0859,15:30:00,Solo fines de semana,28.71,126
RUT_168_215_0851,PROV_GT12_0860,16:45:00,Cada 15 minutos,109.76,134
RUT_169_216_0852,PROV_GT12_0861,17:00:00,Diario,38.88,106
RUT_170_217_0853,PROV_GT12_0862,18:15:00,Cada 30 minutos,125.93,192
RUT_171_218_0854,PROV_GT12_0863,05:30:00,Cada hora,76.13,77
RUT_172_219_0855,PROV_GT12_0864,06:45:00,Lunes a Viernes,76.04,164
RUT_173_220_0856,PROV_GT12_0865,07:00:00,Solo fines de semana,78.76,149
RUT_174_221_0857,PROV_GT12_0866,08:15:00,Cada 15 minutos,137.27,134
RUT_175_222_0858,PROV_GT12_0867,09:30:00,Diario,98.65,56
RUT_176_223_0859,PROV_GT12_0868,10:45:00,Cada 30 minutos,64.38,139
RUT_177_224_0860,PROV_GT12_0869,11:00:00,Cada hora,81.14,139
RUT_178_225_0861,PROV_GT12_0870,12:15:00,Lunes a Viernes,96.53,138
RUT_179_226_0862,PROV_GT12_0871,13:30:00,Solo fines de semana,134.88,198
RUT_180_227_0863,PROV_GT12_0872,14:45:00,Cada 15 minutos,32.73,20
RUT_181_228_0864,PROV_GT12_0873,15:00:00,Diario,73.52,230
RUT_182_229_0865,PROV_GT12_0874,16:15:00,Cada 30 minutos,45.62,164
RUT_183_230_0866,PROV_GT12_0875,17:30:00,Cada hora,109.38,94
RUT_184_231_0867,PROV_GT12_0876,18:45:00,Lunes a Viernes,32.8,239
RUT_185_232_0868,PROV_GT12_0877,05:00:00,Solo fines de semana,58.43,225
RUT_186_233_0869,PROV_GT12_0878,06:15:00,Cada 15 minutos,10.24,108
RUT_187_234_0870,PROV_GT12_0879,07:30:00,Diario,97.22,190
RUT_188_235_0871,PROV_GT12_0880,08:45:00,Cada 30 minutos,10.32,94
RUT_189_236_0872,PROV_GT12_0881,09:00:00,Cada hora,61.61,201
RUT_190_237_0873,PROV_GT13_0882,10:15:00,Lunes a Viernes,118.57,122
RUT_191_238_0874,PROV_GT13_0883,11:30:00,Solo fines de semana,104.68,218
RUT_192_239_0875,PROV_GT13_0884,12:45:00,Cada 15 minutos,123.18,165
RUT_193_240_0876,PROV_GT13_0885,13:00:00,Diario,113.42,100
RUT_194_241_0877,PROV_GT13_0886,14:15:00,Cada 30 minutos,7.69,140
RUT_195_242_0878,PROV_GT13_0887,15:30:00,Cada hora,94.41,61
RUT_196_243_0879,PROV_GT13_0888,16:45:00,Lunes a Viernes,60.58,90
RUT_197_244_0880,PROV_GT13_0889,17:00:00,Solo fines de semana,147.98,172
RUT_198_245_0881,PROV_GT13_0890,18:15:00,Cada 15 minutos,54.37,105
RUT_199_246_0882,PROV_GT13_0891,05:30:00,Diario,116.67,32
RUT_200_247_0883,PROV_GT13_0892,06:45:00,Cada 30 minutos,124.31,138
RUT_201_248_0884,PROV_GT13_0893,07:00:00,Cada hora,114.27,239
RUT_202_249_0885,PROV_GT13_0894,08:15:00,Lunes a Viernes,62.43,21
RUT_203_250_0886,PROV_GT13_0895,09:30:00,Solo fines de semana,44.82,19
RUT_204_251_0887,PROV_GT13_0896,10:45:00,Cada 15 minutos,121.69,159
RUT_205_252_0888,PROV_GT13_0897,11:00:00,Diario,27.06,236
RUT_206_253_0889,PROV_GT13_0898,12:15:00,Cada 30 minutos,6.4,48
RUT_207_254_0890,PROV_GT13_0899,13:30:00,Cada hora,24.81,199
RUT_208_255_0891,PROV_GT13_0900,14:45:00,Lunes a Viernes,115.69,143
RUT_209_256_0892,PROV_GT13_0901,15:00:00,Solo fines de semana,70.76,60
RUT_210_257_0893,PROV_GT13_0902,16:15:00,Cada 15 minutos,126.07,133
RUT_211_258_0894,PROV_GT13_0903,17:30:00,Diario,121.79,231
RUT_212_259_0895,PROV_GT13_0904,18:45:00,Cada 30 minutos,118.9,171
RUT_213_260_0896,PROV_GT13_0905,05:00:00,Cada hora,36.34,20
RUT_214_261_0897,PROV_GT13_0906,06:15:00,Lunes a Viernes,120.52,38
RUT_215_262_0898,PROV_GT13_0907,07:30:00,Solo fines de semana,146.07,228
RUT_216_263_0899,PROV_GT13_0908,08:45:00,Cada 15 minutos,30.35,88
RUT_217_264_0900,PROV_GT13_0909,09:00:00,Diario,48.84,78
RUT_218_265_0901,PROV_GT13_0910,10:15:00,Cada 30 minutos,96.47,206
RUT_219_266_0902,PROV_GT13_0911,11:30:00,Cada hora,16.0,62
RUT_220_267_0903,PROV_GT13_0912,12:45:00,Lunes a Viernes,117.33,113
RUT_221_268_0904,PROV_GT13_0913,13:00:00,Solo fines de semana,108.55,160
RUT_222_269_0905,PROV_GT13_0914,14:15:00,Cada 15 minutos,85.59,101
RUT_223_270_0906,PROV_GT14_0915,15:30:00,Diario,9.14,128
RUT_224_271_0907,PROV_GT14_0916,16:45:00,Cada 30 minutos,16.7,170
RUT_225_272_0908,PROV_GT14_0917,17:00:00,Cada hora,83.1,131
RUT_226_273_0909,PROV_GT14_0918,18:15:00,Lunes a Viernes,65.41,79
RUT_227_274_0910,PROV_GT14_0919,05:30:00,Solo fines de semana,147.14,203
RUT_228_275_0911,PROV_GT14_0920,06:45:00,Cada 15 minutos,73.42,154
RUT_229_276_0912,PROV_GT14_0921,07:00:00,Diario,8.42,99
RUT_230_277_0913,PROV_GT14_0922,08:15:00,Cada 30 minutos,108.99,239
RUT_231_278_0914,PROV_GT14_0923,09:30:00,Cada hora,123.45,233
RUT_232_279_0915,PROV_GT14_0924,10:45:00,Lunes a Viernes,138.95,62
RUT_233_280_0916,PROV_GT14_0925,11:00:00,Solo fines de semana,56.73,224
RUT_234_281_0917,PROV_GT14_0926,12:15:00,Cada 15 minutos,121.07,31
RUT_235_282_0918,PROV_GT14_0927,13:30:00,Diario,80.49,76
RUT_236_283_0919,PROV_GT14_0928,14:45:00,Cada 30 minutos,48.09,160
RUT_237_284_0920,PROV_GT14_0929,15:00:00,Cada hora,12.35,201
RUT_238_285_0921,PROV_GT14_0930,16:15:00,Lunes a Viernes,72.86,210
RUT_239_286_0922,PROV_GT14_0931,17:30:00,Solo fines de semana,85.85,136
RUT_240_287_0923,PROV_GT14_0932,18:45:00,Cada 15 minutos,21.01,148
RUT_241_288_0924,PROV_GT14_0933,05:00:00,Diario,98.66,130
RUT_242_289_0925,PROV_GT14_0934,06:15:00,Cada 30 minutos,112.48,59
RUT_243_290_0926,PROV_GT14_0935,07:30:00,Cada hora,111.29,29
RUT_244_291_0927,PROV_GT15_0936,08:45:00,Lunes a Viernes,58.58,36
RUT_245_292_0928,PROV_GT15_0937,09:00:00,Solo fines de semana,142.3,227
RUT_246_293_0929,PROV_GT15_0938,10:15:00,Cada 15 minutos,64.04,130
RUT_247_294_0930,PROV_GT15_0939,11:30:00,Diario,43.35,183
RUT_248_295_0931,PROV_GT15_0940,12:45:00,Cada 30 minutos,106.71,215
RUT_249_296_0932,PROV_GT15_0941,13:00:00,Cada hora,73.41,194
RUT_250_297_0933,PROV_GT15_0942,14:15:00,Lunes a Viernes,102.12,107
RUT_251_298_0934,PROV_GT15_0943,15:30:00,Solo fines de semana,92.14,73
RUT_252_299_0935,PROV_GT16_0944,16:45:00,Cada 15 minutos,98.06,88
RUT_253_300_0936,PROV_GT16_0945,17:00:00,Diario,44.27,19
RUT_254_301_0937,PROV_GT16_0946,18:15:00,Cada 30 minutos,37.6,198
RUT_255_302_0938,PROV_GT16_0947,05:30:00,Cada hora,14.45,201
RUT_256_303_0939,PROV_GT16_0948,06:45:00,Lunes a Viernes,68.84,199
RUT_257_304_0940,PROV_GT16_0949,07:00:00,Solo fines de semana,112.64,158
RUT_258_305_0941,PROV_GT16_0950,08:15:00,Cada 15 minutos,130.76,89
RUT_259_306_0942,PROV_GT16_0951,09:30:00,Diario,35.33,181
RUT_260_307_0943,PROV_GT16_0952,10:45:00,Cada 30 minutos,131.83,18
RUT_261_308_0944,PROV_GT16_0953,11:00:00,Cada hora,31.51,161
RUT_262_309_0945,PROV_GT16_0954,12:15:00,Lunes a Viernes,83.55,112
RUT_263_310_0946,PROV_GT16_0955,13:30:00,Solo fines de semana,44.04,128
RUT_264_311_0947,PROV_GT16_0956,14:45:00,Cada 15 minutos,132.04,191
RUT_265_312_0948,PROV_GT16_0957,15:00:00,Diario,25.59,235
RUT_266_313_0949,PROV_GT16_0958,16:15:00,Cada 30 minutos,138.79,22
RUT_267_314_0950,PROV_GT16_0959,17:30:00,Cada hora,9.26,77
RUT_268_315_0951,PROV_GT16_0960,18:45:00,Lunes a Viernes,81.59,215
RUT_269_316_0952,PROV_GT17_0961,05:00:00,Solo fines de semana,9.96,222
RUT_270_317_0953,PROV_GT17_0962,06:15:00,Cada 15 minutos,98.53,33
RUT_271_318_0954,PROV_GT17_0963,07:30:00,Diario,76.25,134
RUT_272_319_0955,PROV_GT17_0964,08:45:00,Cada 30 minutos,92.15,162
RUT_273_320_0956,PROV_GT17_0965,09:00:00,Cada hora,120.5,220
RUT_274_321_0957,PROV_GT17_0966,10:15:00,Lunes a Viernes,32.57,112
RUT_275_322_0958,PROV_GT17_0967,11:30:00,Solo fines de semana,124.14,104
RUT_276_323_0959,PROV_GT17_0968,12:45:00,Cada 15 minutos,90.55,78
RUT_277_324_0960,PROV_GT17_0969,13:00:00,Diario,93.6,191
RUT_278_325_0961,PROV_GT17_0970,14:15:00,Cada 30 minutos,100.53,51
RUT_279_326_0962,PROV_GT17_0971,15:30:00,Cada hora,73.12,118
RUT_280_327_0963,PROV_GT17_0972,16:45:00,Lunes a Viernes,79.32,138
RUT_281_328_0964,PROV_GT17_0973,17:00:00,Solo fines de semana,88.04,181
RUT_282_329_0965,PROV_GT17_0974,18:15:00,Cada 15 minutos,140.4,61
RUT_283_330_0966,PROV_GT18_0975,05:30:00,Diario,40.42,149
RUT_284_331_0967,PROV_GT18_0976,06:45:00,Cada 30 minutos,48.35,81
RUT_285_332_0968,PROV_GT18_0977,07:00:00,Cada hora,11.16,223
RUT_286_333_0969,PROV_GT18_0978,08:15:00,Lunes a Viernes,42.02,181
RUT_287_334_0970,PROV_GT18_0979,09:30:00,Solo fines de semana,17.17,209
RUT_288_335_0971,PROV_GT19_0980,10:45:00,Cada 15 minutos,125.75,83
RUT_289_336_0972,PROV_GT19_0981,11:00:00,Diario,29.58,101
RUT_290_337_0973,PROV_GT19_0982,12:15:00,Cada 30 minutos,13.9,204
RUT_291_338_0974,PROV_GT19_0983,13:30:00,Cada hora,85.36,34
RUT_292_339_0975,PROV_GT19_0984,14:45:00,Lunes a Viernes,112.08,217
RUT_293_340_0976,PROV_GT19_0985,15:00:00,Solo fines de semana,125.32,39
RUT_294_341_0977,PROV_GT19_0986,16:15:00,Cada 15 minutos,14.34,210
RUT_295_342_0978,PROV_GT19_0987,17:30:00,Diario,131.37,102
RUT_296_1_0979,PROV_GT19_0988,18:45:00,Cada 30 minutos,138.0,64
RUT_297_2_0980,PROV_GT19_0989,05:00:00,Cada hora,6.15,110
RUT_298_3_0981,PROV_GT19_0990,06:15:00,Lunes a Viernes,98.21,182
RUT_299_4_0982,PROV_GT20_0991,07:30:00,Solo fines de semana,110.17,70
RUT_300_5_0983,PROV_GT20_0992,08:45:00,Cada 15 minutos,132.7,18
RUT_301_6_0984,PROV_GT20_0993,09:00:00,Diario,94.72,210
RUT_302_7_0985,PROV_GT20_0994,10:15:00,Cada 30 minutos,59.33,16
RUT_303_8_0986,PROV_GT20_0995,11:30:00,Cada hora,62.74,177
RUT_304_9_0987,PROV_GT20_0996,12:45:00,Lunes a Viernes,20.96,219
RUT_305_10_0988,PROV_GT20_0997,13:00:00,Solo fines de semana,111.74,178
