núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,área_geo_ocu,depto_ocu,mupio_ocu,sexo_per,zona_ocu,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
13851,2023,Abril,6,Jueves,18,18:00 a 23:59,18:00 a 23:59,Rural,Sololá,Santa Catarina Ixtahuacán,Hombre,Ignorada,27,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13852,2023,Abril,7,Viernes,1,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,3,28,25-29,25-29,25 - 29,Homicidio por arma blanca,Homicidios
13853,2023,Abril,7,Viernes,16,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Hombre,18,27,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13854,2023,Abril,7,Viernes,2,00:00 a 05:59,00:00 a 11:59,Rural,Guatemala,San Pedro Ayampuc,Hombre,Ignorada,29,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13855,2023,Abril,7,Viernes,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,7,26,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13856,2023,Abril,7,Viernes,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,34,30-34,30-34,30 - 34,Homicidio por arma de fuego,Homicidios
13857,2023,Abril,7,Viernes,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,23,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13858,2023,Abril,7,Viernes,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,49,45-49,45-49,45 - 49,Homicidio por arma de fuego,Homicidios
13859,2023,Abril,7,Viernes,23,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,19,15-19,15-19,15 - 19,Homicidio por arma blanca,Homicidios
13860,2023,Abril,7,Viernes,22,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Masagua,Hombre,Ignorada,32,30-34,30-34,30 - 34,Homicidio por arma blanca,Homicidios
13861,2023,Abril,7,Viernes,12,12:00 a 17:59,12:00 a 17:59,Urbano,Retalhuleu,Retalhuleu,Hombre,Ignorada,28,25-29,25-29,25 - 29,Homicidio por arma blanca,Homicidios
13862,2023,Abril,7,Viernes,15,12:00 a 17:59,12:00 a 17:59,Rural,Petén,Poptún,Hombre,Ignorada,30,30-34,30-34,30 - 34,Homicidio por arma de fuego,Homicidios
13863,2023,Abril,7,Viernes,11,06:00 a 11:59,00:00 a 11:59,Rural,Sacatepéquez,Santiago Sacatepéquez,Hombre,Ignorada,45,45-49,45-49,45 - 49,Homicidio por arma de fuego,Homicidios
13864,2023,Abril,7,Viernes,23,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Mujer,1,15,15-19,15-19,15 - 19,Lesiones por arma contundente,Lesiones
13865,2023,Abril,7,Viernes,16,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Hombre,18,27,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13866,2023,Abril,7,Viernes,23,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Chinautla,Hombre,Ignorada,19,15-19,15-19,15 - 19,Lesiones por arma blanca,Lesiones
13867,2023,Abril,7,Viernes,21,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,San José Pinula,Hombre,Ignorada,20,20-24,20-24,20 - 24,Lesiones por arma blanca,Lesiones
13868,2023,Abril,7,Viernes,21,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,San José Pinula,Hombre,Ignorada,34,30-34,30-34,30 - 34,Lesiones por arma blanca,Lesiones
13869,2023,Abril,7,Viernes,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Villa Canales,Hombre,Ignorada,53,50-54,50-54,50 - 54,Lesiones por vapuleo,Lesiones
13870,2023,Abril,7,Viernes,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,29,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13871,2023,Abril,7,Viernes,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,22,20-24,20-24,20 - 24,Lesiones por arma blanca,Lesiones
13872,2023,Abril,7,Viernes,0,00:00 a 05:59,00:00 a 11:59,Rural,Jutiapa,El Progreso,Mujer,Ignorada,24,20-24,20-24,20 - 24,Lesiones por arma contundente,Lesiones
13873,2023,Abril,7,Viernes,7,06:00 a 11:59,00:00 a 11:59,Rural,Escuintla,Escuintla,Hombre,Ignorada,25,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13874,2023,Abril,7,Viernes,22,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Masagua,Hombre,Ignorada,53,50-54,50-54,50 - 54,Lesiones por arma blanca,Lesiones
13875,2023,Abril,7,Viernes,22,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Escuintla,Hombre,Ignorada,23,20-24,20-24,20 - 24,Lesiones por arma blanca,Lesiones
13876,2023,Abril,7,Viernes,22,18:00 a 23:59,18:00 a 23:59,Rural,Chimaltenango,San Miguel Pochuta,Hombre,Ignorada,26,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13877,2023,Abril,8,Sábado,10,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,24,23,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13878,2023,Abril,8,Sábado,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,7,40,40-44,40-44,40 - 44,Homicidio por arma de fuego,Homicidios
13879,2023,Abril,8,Sábado,1,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Villa Canales,Hombre,Ignorada,40,40-44,40-44,40 - 44,Homicidio por arma de fuego,Homicidios
13880,2023,Abril,8,Sábado,12,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Villa Canales,Hombre,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Homicidio por arma contundente,Homicidios
13881,2023,Abril,8,Sábado,12,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Villa Canales,Hombre,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Homicidio por arma contundente,Homicidios
13882,2023,Abril,8,Sábado,3,00:00 a 05:59,00:00 a 11:59,Rural,Chiquimula,Quezaltepeque,Hombre,Ignorada,38,35-39,35-39,35 - 39,Homicidio por arma blanca,Homicidios
13883,2023,Abril,8,Sábado,23,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,La Gomera,Mujer,Ignorada,34,30-34,30-34,30 - 34,Homicidio por arma blanca,Homicidios
13884,2023,Abril,8,Sábado,7,06:00 a 11:59,00:00 a 11:59,Rural,Santa Rosa,Chiquimulilla,Hombre,Ignorada,39,35-39,35-39,35 - 39,Homicidio por arma contundente,Homicidios
13885,2023,Abril,8,Sábado,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Hombre,Ignorada,37,35-39,35-39,35 - 39,Lesiones por arma de fuego,Lesiones
13886,2023,Abril,8,Sábado,6,06:00 a 11:59,00:00 a 11:59,Rural,Santa Rosa,Barberena,Hombre,Ignorada,29,25-29,25-29,25 - 29,Lesiones por arma blanca,Lesiones
13887,2023,Abril,9,Domingo,13,12:00 a 17:59,12:00 a 17:59,Rural,Escuintla,Santa Lucía Cotzumalguapa,Hombre,Ignorada,37,35-39,35-39,35 - 39,Homicidio por arma de fuego,Homicidios
13888,2023,Abril,9,Domingo,1,00:00 a 05:59,00:00 a 11:59,Rural,Petén,Dolores,Hombre,Ignorada,29,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13889,2023,Abril,9,Domingo,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,1,36,35-39,35-39,35 - 39,Lesiones por arma contundente,Lesiones
13890,2023,Abril,9,Domingo,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,1,22,20-24,20-24,20 - 24,Lesiones por arma contundente,Lesiones
13891,2023,Abril,9,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Jutiapa,Jutiapa,Mujer,Ignorada,31,30-34,30-34,30 - 34,Lesiones por arma contundente,Lesiones
13892,2023,Abril,9,Domingo,0,00:00 a 05:59,00:00 a 11:59,Urbano,Escuintla,Escuintla,Hombre,Ignorada,50,50-54,50-54,50 - 54,Lesiones por arma contundente,Lesiones
13893,2023,Abril,9,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,Escuintla,San José,Hombre,Ignorada,35,35-39,35-39,35 - 39,Lesiones por arma de fuego,Lesiones
13894,2023,Abril,9,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,El Progreso,Guastatoya,Hombre,Ignorada,17,15-19,15-19,15 - 19,Lesiones por arma de fuego,Lesiones
13895,2023,Abril,9,Domingo,19,18:00 a 23:59,18:00 a 23:59,Rural,Petén,San Francisco,Mujer,Ignorada,29,25-29,25-29,25 - 29,Lesiones por arma contundente,Lesiones
13896,2023,Abril,10,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,Jalapa,Jalapa,Hombre,Ignorada,4,Menor de 15,Menor de 15,0 - 4,Homicidio por arma blanca,Homicidios
13897,2023,Abril,10,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,Jalapa,Jalapa,Hombre,Ignorada,3,Menor de 15,Menor de 15,0 - 4,Homicidio por arma blanca,Homicidios
13898,2023,Abril,10,Lunes,17,12:00 a 17:59,12:00 a 17:59,Rural,Jalapa,Jalapa,Hombre,Ignorada,1,Menor de 15,Menor de 15,0 - 4,Homicidio por arma blanca,Homicidios
13899,2023,Abril,10,Lunes,13,12:00 a 17:59,12:00 a 17:59,Rural,Chiquimula,Esquipulas,Hombre,Ignorada,30,30-34,30-34,30 - 34,Homicidio por arma de fuego,Homicidios
13900,2023,Abril,10,Lunes,9,06:00 a 11:59,00:00 a 11:59,Urbano,Escuintla,San José,Hombre,Ignorada,34,30-34,30-34,30 - 34,Homicidio por arma de fuego,Homicidios
13901,2023,Abril,10,Lunes,17,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Hombre,11,32,30-34,30-34,30 - 34,Lesiones por arma de fuego,Lesiones
13902,2023,Abril,10,Lunes,22,18:00 a 23:59,18:00 a 23:59,Rural,Chiquimula,Camotán,Hombre,Ignorada,28,25-29,25-29,25 - 29,Lesiones por arma blanca,Lesiones
13903,2023,Abril,10,Lunes,19,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,San Cristóbal Verapaz,Hombre,Ignorada,9,Menor de 15,Menor de 15,5 - 9,Lesiones por arma de fuego,Lesiones
13904,2023,Abril,10,Lunes,20,18:00 a 23:59,18:00 a 23:59,Rural,Baja Verapaz,San Jerónimo,Hombre,Ignorada,20,20-24,20-24,20 - 24,Lesiones por arma contundente,Lesiones
13905,2023,Abril,10,Lunes,5,00:00 a 05:59,00:00 a 11:59,Rural,Petén,Melchor de Mencos,Hombre,Ignorada,20,20-24,20-24,20 - 24,Lesiones por arma de fuego,Lesiones
13906,2023,Abril,10,Lunes,14,12:00 a 17:59,12:00 a 17:59,Rural,Sacatepéquez,Santa Lucía Milpas Altas,Mujer,Ignorada,37,35-39,35-39,35 - 39,Lesiones por arma de fuego,Lesiones
13907,2023,Abril,10,Lunes,10,06:00 a 11:59,00:00 a 11:59,Rural,Jutiapa,El Progreso,Hombre,Ignorada,56,55-59,55-59,55 - 59,Homicidio por arma blanca,Homicidios
13908,2023,Abril,10,Lunes,10,06:00 a 11:59,00:00 a 11:59,Rural,Chiquimula,Camotán,Hombre,Ignorada,25,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13909,2023,Abril,11,Martes,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,18,40,40-44,40-44,40 - 44,Homicidio por arma contundente,Homicidios
13910,2023,Abril,11,Martes,5,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,24,18,15-19,15-19,15 - 19,Homicidio por arma de fuego,Homicidios
13911,2023,Abril,11,Martes,5,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,24,22,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13912,2023,Abril,11,Martes,14,12:00 a 17:59,12:00 a 17:59,Rural,Zacapa,Zacapa,Mujer,Ignorada,48,45-49,45-49,45 - 49,Homicidio por arma de fuego,Homicidios
13913,2023,Abril,11,Martes,11,06:00 a 11:59,00:00 a 11:59,Rural,Izabal,Livingston,Hombre,Ignorada,49,45-49,45-49,45 - 49,Homicidio por arma de fuego,Homicidios
13914,2023,Abril,11,Martes,20,18:00 a 23:59,18:00 a 23:59,Rural,Quiché,Santa Cruz del Quiché,Hombre,Ignorada,56,55-59,55-59,55 - 59,Homicidio por arma de fuego,Homicidios
13915,2023,Abril,11,Martes,6,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,9,22,20-24,20-24,20 - 24,Lesiones por arma contundente,Lesiones
13916,2023,Abril,11,Martes,21,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Mujer,11,23,20-24,20-24,20 - 24,Lesiones por arma de fuego,Lesiones
13917,2023,Abril,11,Martes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,12,28,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13918,2023,Abril,11,Martes,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,7,40,40-44,40-44,40 - 44,Lesiones por arma blanca,Lesiones
13919,2023,Abril,11,Martes,7,06:00 a 11:59,00:00 a 11:59,Rural,Izabal,Los Amates,Hombre,Ignorada,23,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13920,2023,Abril,12,Miércoles,14,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Hombre,18,40,40-44,40-44,40 - 44,Homicidio por arma de fuego,Homicidios
13921,2023,Abril,12,Miércoles,20,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Mujer,11,28,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13922,2023,Abril,12,Miércoles,21,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,12,28,25-29,25-29,25 - 29,Homicidio por arma blanca,Homicidios
13923,2023,Abril,12,Miércoles,9,06:00 a 11:59,00:00 a 11:59,Urbano,Chiquimula,Chiquimula,Hombre,Ignorada,28,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13924,2023,Abril,12,Miércoles,8,06:00 a 11:59,00:00 a 11:59,Rural,Escuintla,Escuintla,Mujer,Ignorada,30,30-34,30-34,30 - 34,Homicidio por arma contundente,Homicidios
13925,2023,Abril,12,Miércoles,15,12:00 a 17:59,12:00 a 17:59,Urbano,Huehuetenango,Huehuetenango,Hombre,Ignorada,28,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13926,2023,Abril,12,Miércoles,15,12:00 a 17:59,12:00 a 17:59,Urbano,Huehuetenango,Huehuetenango,Hombre,Ignorada,24,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13927,2023,Abril,12,Miércoles,18,18:00 a 23:59,18:00 a 23:59,Rural,El Progreso,San Cristóbal Acasaguastlán,Hombre,Ignorada,33,30-34,30-34,30 - 34,Homicidio por arma de fuego,Homicidios
13928,2023,Abril,12,Miércoles,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,1,50,50-54,50-54,50 - 54,Lesiones por arma contundente,Lesiones
13929,2023,Abril,12,Miércoles,21,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,20,20-24,20-24,20 - 24,Lesiones por arma de fuego,Lesiones
13930,2023,Abril,12,Miércoles,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,27,25-29,25-29,25 - 29,Lesiones por arma blanca,Lesiones
13931,2023,Abril,12,Miércoles,23,18:00 a 23:59,18:00 a 23:59,Urbano,Suchitepéquez,Mazatenango,Mujer,Ignorada,23,20-24,20-24,20 - 24,Lesiones por arma de fuego,Lesiones
13932,2023,Abril,13,Jueves,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,27,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13933,2023,Abril,13,Jueves,21,18:00 a 23:59,18:00 a 23:59,Rural,Chimaltenango,Tecpán Guatemala,Hombre,Ignorada,22,20-24,20-24,20 - 24,Homicidio por arma contundente,Homicidios
13934,2023,Abril,13,Jueves,7,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,8,29,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13935,2023,Abril,13,Jueves,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,1,21,20-24,20-24,20 - 24,Lesiones por arma contundente,Lesiones
13936,2023,Abril,13,Jueves,23,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Santa Lucía Cotzumalguapa,Hombre,Ignorada,36,35-39,35-39,35 - 39,Lesiones por arma de fuego,Lesiones
13937,2023,Abril,13,Jueves,5,00:00 a 05:59,00:00 a 11:59,Rural,Santa Rosa,Barberena,Hombre,Ignorada,28,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13938,2023,Abril,13,Jueves,20,18:00 a 23:59,18:00 a 23:59,Rural,Petén,San Benito,Mujer,Ignorada,30,30-34,30-34,30 - 34,Lesiones por arma de fuego,Lesiones
13939,2023,Abril,13,Jueves,10,06:00 a 11:59,00:00 a 11:59,Rural,Sololá,San Pedro la Laguna,Hombre,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Lesiones por arma blanca,Lesiones
13940,2023,Abril,13,Jueves,21,18:00 a 23:59,18:00 a 23:59,Rural,Chimaltenango,Tecpán Guatemala,Hombre,Ignorada,34,30-34,30-34,30 - 34,Lesiones por vapuleo,Lesiones
13941,2023,Abril,13,Jueves,21,18:00 a 23:59,18:00 a 23:59,Rural,Chimaltenango,Tecpán Guatemala,Hombre,Ignorada,18,15-19,15-19,15 - 19,Lesiones por vapuleo,Lesiones
13942,2023,Abril,13,Jueves,6,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,12,Ignorada,Ignorado,Ignorado,Ignorado,Homicidio por estrangulamiento,Homicidios
13943,2023,Abril,13,Jueves,20,18:00 a 23:59,18:00 a 23:59,Rural,Izabal,Morales,Hombre,Ignorada,22,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13944,2023,Abril,14,Viernes,19,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Villa Canales,Hombre,Ignorada,27,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13945,2023,Abril,14,Viernes,19,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Villa Canales,Mujer,Ignorada,24,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13946,2023,Abril,14,Viernes,5,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,Tiquisate,Mujer,Ignorada,53,50-54,50-54,50 - 54,Homicidio por arma de fuego,Homicidios
13947,2023,Abril,14,Viernes,20,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,San José,Hombre,Ignorada,23,20-24,20-24,20 - 24,Homicidio por arma blanca,Homicidios
13948,2023,Abril,14,Viernes,18,18:00 a 23:59,18:00 a 23:59,Rural,Santa Rosa,Barberena,Hombre,Ignorada,16,15-19,15-19,15 - 19,Homicidio por arma de fuego,Homicidios
13949,2023,Abril,14,Viernes,10,06:00 a 11:59,00:00 a 11:59,Urbano,Sacatepéquez,Ciudad Vieja,Hombre,Ignorada,46,45-49,45-49,45 - 49,Homicidio por arma de fuego,Homicidios
13950,2023,Abril,14,Viernes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,1,21,20-24,20-24,20 - 24,Lesiones por arma de fuego,Lesiones
13951,2023,Abril,14,Viernes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,1,33,30-34,30-34,30 - 34,Lesiones por arma de fuego,Lesiones
13952,2023,Abril,14,Viernes,1,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,1,16,15-19,15-19,15 - 19,Lesiones por arma blanca,Lesiones
13953,2023,Abril,14,Viernes,10,06:00 a 11:59,00:00 a 11:59,Rural,Guatemala,Santa Catarina Pinula,Hombre,Ignorada,26,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13954,2023,Abril,14,Viernes,10,06:00 a 11:59,00:00 a 11:59,Rural,Guatemala,Santa Catarina Pinula,Hombre,Ignorada,36,35-39,35-39,35 - 39,Lesiones por arma de fuego,Lesiones
13955,2023,Abril,14,Viernes,10,06:00 a 11:59,00:00 a 11:59,Rural,Guatemala,Santa Catarina Pinula,Hombre,Ignorada,39,35-39,35-39,35 - 39,Lesiones por vapuleo,Lesiones
13956,2023,Abril,14,Viernes,6,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,15,19,15-19,15-19,15 - 19,Lesiones por arma blanca,Lesiones
13957,2023,Abril,14,Viernes,0,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,7,54,50-54,50-54,50 - 54,Lesiones por arma de fuego,Lesiones
13958,2023,Abril,14,Viernes,17,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Mujer,11,1,Menor de 15,Menor de 15,0 - 4,Lesiones por arma contundente,Lesiones
13959,2023,Abril,14,Viernes,20,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,35,35-39,35-39,35 - 39,Lesiones por arma de fuego,Lesiones
13960,2023,Abril,14,Viernes,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,38,35-39,35-39,35 - 39,Lesiones por arma blanca,Lesiones
13961,2023,Abril,14,Viernes,18,18:00 a 23:59,18:00 a 23:59,Urbano,Jutiapa,Jutiapa,Hombre,Ignorada,27,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13962,2023,Abril,14,Viernes,14,12:00 a 17:59,12:00 a 17:59,Urbano,Escuintla,Escuintla,Mujer,Ignorada,26,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13963,2023,Abril,14,Viernes,21,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Escuintla,Hombre,Ignorada,26,25-29,25-29,25 - 29,Lesiones por arma de fuego,Lesiones
13964,2023,Abril,14,Viernes,22,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Unión Cantinil,Mujer,Ignorada,39,35-39,35-39,35 - 39,Lesiones por arma de fuego,Lesiones
13965,2023,Abril,14,Viernes,20,18:00 a 23:59,18:00 a 23:59,Rural,Baja Verapaz,Purulhá,Hombre,Ignorada,74,60 y más,70-74,70 - 74,Lesiones por arma blanca,Lesiones
13966,2023,Abril,14,Viernes,17,12:00 a 17:59,12:00 a 17:59,Rural,Santa Rosa,Cuilapa,Hombre,Ignorada,28,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13967,2023,Abril,15,Sábado,17,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Hombre,1,23,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13968,2023,Abril,15,Sábado,16,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Hombre,7,21,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13969,2023,Abril,15,Sábado,15,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Villa Canales,Hombre,Ignorada,25,25-29,25-29,25 - 29,Homicidio por arma contundente,Homicidios
13970,2023,Abril,15,Sábado,1,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,Escuintla,Hombre,Ignorada,39,35-39,35-39,35 - 39,Homicidio por arma de fuego,Homicidios
13971,2023,Abril,15,Sábado,6,06:00 a 11:59,00:00 a 11:59,Rural,Escuintla,Palín,Hombre,Ignorada,53,50-54,50-54,50 - 54,Homicidio por arma contundente,Homicidios
13972,2023,Abril,15,Sábado,23,18:00 a 23:59,18:00 a 23:59,Rural,Santa Rosa,Chiquimulilla,Hombre,Ignorada,20,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13973,2023,Abril,15,Sábado,21,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,18,22,20-24,20-24,20 - 24,Lesiones por arma de fuego,Lesiones
13974,2023,Abril,15,Sábado,23,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Chinautla,Hombre,Ignorada,34,30-34,30-34,30 - 34,Lesiones por arma blanca,Lesiones
13975,2023,Abril,15,Sábado,23,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Chinautla,Hombre,Ignorada,26,25-29,25-29,25 - 29,Lesiones por arma blanca,Lesiones
13976,2023,Abril,15,Sábado,23,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Chinautla,Hombre,Ignorada,16,15-19,15-19,15 - 19,Lesiones por arma blanca,Lesiones
13977,2023,Abril,15,Sábado,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,30,30-34,30-34,30 - 34,Lesiones por arma de fuego,Lesiones
13978,2023,Abril,15,Sábado,15,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,28,25-29,25-29,25 - 29,Lesiones por arma blanca,Lesiones
13979,2023,Abril,15,Sábado,1,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,San José,Hombre,Ignorada,41,40-44,40-44,40 - 44,Lesiones por arma de fuego,Lesiones
13980,2023,Abril,15,Sábado,1,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,San José,Hombre,Ignorada,60,60 y más,60-64,60 - 64,Lesiones por arma de fuego,Lesiones
13981,2023,Abril,16,Domingo,0,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,25,20,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13982,2023,Abril,16,Domingo,2,00:00 a 05:59,00:00 a 11:59,Rural,Guatemala,Chinautla,Hombre,Ignorada,28,25-29,25-29,25 - 29,Homicidio por arma contundente,Homicidios
13983,2023,Abril,16,Domingo,8,06:00 a 11:59,00:00 a 11:59,Rural,Izabal,Morales,Hombre,Ignorada,21,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13984,2023,Abril,16,Domingo,8,06:00 a 11:59,00:00 a 11:59,Rural,Izabal,Morales,Mujer,Ignorada,25,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
13985,2023,Abril,16,Domingo,19,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,Hombre,6,22,20-24,20-24,20 - 24,Homicidio por arma de fuego,Homicidios
13986,2023,Abril,16,Domingo,20,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Villa Canales,Hombre,Ignorada,28,25-29,25-29,25 - 29,Homicidio por arma de fuego,Homicidios
