nombre,siglas,municipio_pcode,cobertura,descripcion
Asociación de Productores y Comercializadores de San Antonio Sacatepéquez,ASO-GT1203-C,GT1203,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Antonio Sacatepéquez.
Cooperativa Integral de Producción Agrícola de Comitancillo R.L.,COOP-GT1204-A,GT1204,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Comitancillo.
Cooperativa Integral de Ahorro y Crédito de Comitancillo R.L.,COOP-GT1204-B,GT1204,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Comitancillo.
Asociación de Productores y Comercializadores de Comitancillo,ASO-GT1204-C,GT1204,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Comitancillo.
Cooperativa Integral de Producción Agrícola de San Miguel Ixtahuacán R.L.,COOP-GT1205-A,GT1205,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Miguel Ixtahuacán.
Cooperativa Integral de Ahorro y Crédito de San Miguel Ixtahuacán R.L.,COOP-GT1205-B,GT1205,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Miguel Ixtahuacán.
Asociación de Productores y Comercializadores de San Miguel Ixtahuacán,ASO-GT1205-C,GT1205,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Miguel Ixtahuacán.
Cooperativa Integral de Producción Agrícola de Concepción Tutuapa R.L.,COOP-GT1206-A,GT1206,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Concepción Tutuapa.
Cooperativa Integral de Ahorro y Crédito de Concepción Tutuapa R.L.,COOP-GT1206-B,GT1206,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Concepción Tutuapa.
Asociación de Productores y Comercializadores de Concepción Tutuapa,ASO-GT1206-C,GT1206,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Concepción Tutuapa.
Cooperativa Integral de Producción Agrícola de Tacaná R.L.,COOP-GT1207-A,GT1207,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Tacaná.
Cooperativa Integral de Ahorro y Crédito de Tacaná R.L.,COOP-GT1207-B,GT1207,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Tacaná.
Asociación de Productores y Comercializadores de Tacaná,ASO-GT1207-C,GT1207,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Tacaná.
Cooperativa Integral de Producción Agrícola de Sibinal R.L.,COOP-GT1208-A,GT1208,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Sibinal.
Cooperativa Integral de Ahorro y Crédito de Sibinal R.L.,COOP-GT1208-B,GT1208,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Sibinal.
Asociación de Productores y Comercializadores de Sibinal,ASO-GT1208-C,GT1208,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Sibinal.
Cooperativa Integral de Producción Agrícola de Tajumulco R.L.,COOP-GT1209-A,GT1209,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Tajumulco.
Cooperativa Integral de Ahorro y Crédito de Tajumulco R.L.,COOP-GT1209-B,GT1209,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Tajumulco.
Asociación de Productores y Comercializadores de Tajumulco,ASO-GT1209-C,GT1209,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Tajumulco.
Cooperativa Integral de Producción Agrícola de Tejutla R.L.,COOP-GT1210-A,GT1210,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Tejutla.
Cooperativa Integral de Ahorro y Crédito de Tejutla R.L.,COOP-GT1210-B,GT1210,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Tejutla.
Asociación de Productores y Comercializadores de Tejutla,ASO-GT1210-C,GT1210,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Tejutla.
Cooperativa Integral de Producción Agrícola de San Rafael Pie de la Cuesta R.L.,COOP-GT1211-A,GT1211,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Rafael Pie de la Cuesta.
Cooperativa Integral de Ahorro y Crédito de San Rafael Pie de la Cuesta R.L.,COOP-GT1211-B,GT1211,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Rafael Pie de la Cuesta.
Asociación de Productores y Comercializadores de San Rafael Pie de la Cuesta,ASO-GT1211-C,GT1211,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Rafael Pie de la Cuesta.
Cooperativa Integral de Producción Agrícola de Nuevo Progreso R.L.,COOP-GT1212-A,GT1212,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Nuevo Progreso.
Cooperativa Integral de Ahorro y Crédito de Nuevo Progreso R.L.,COOP-GT1212-B,GT1212,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Nuevo Progreso.
Asociación de Productores y Comercializadores de Nuevo Progreso,ASO-GT1212-C,GT1212,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Nuevo Progreso.
Cooperativa Integral de Producción Agrícola de El Tumbador R.L.,COOP-GT1213-A,GT1213,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de El Tumbador.
Cooperativa Integral de Ahorro y Crédito de El Tumbador R.L.,COOP-GT1213-B,GT1213,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de El Tumbador.
Asociación de Productores y Comercializadores de El Tumbador,ASO-GT1213-C,GT1213,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de El Tumbador.
Cooperativa Integral de Producción Agrícola de El Rodeo R.L.,COOP-GT1214-A,GT1214,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de El Rodeo.
Cooperativa Integral de Ahorro y Crédito de El Rodeo R.L.,COOP-GT1214-B,GT1214,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de El Rodeo.
Asociación de Productores y Comercializadores de El Rodeo,ASO-GT1214-C,GT1214,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de El Rodeo.
Cooperativa Integral de Producción Agrícola de Malacatán R.L.,COOP-GT1215-A,GT1215,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Malacatán.
Cooperativa Integral de Ahorro y Crédito de Malacatán R.L.,COOP-GT1215-B,GT1215,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Malacatán.
Asociación de Productores y Comercializadores de Malacatán,ASO-GT1215-C,GT1215,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Malacatán.
Cooperativa Integral de Producción Agrícola de Catarina R.L.,COOP-GT1216-A,GT1216,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Catarina.
Cooperativa Integral de Ahorro y Crédito de Catarina R.L.,COOP-GT1216-B,GT1216,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Catarina.
Asociación de Productores y Comercializadores de Catarina,ASO-GT1216-C,GT1216,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Catarina.
Cooperativa Integral de Producción Agrícola de Ayutla R.L.,COOP-GT1217-A,GT1217,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Ayutla.
Cooperativa Integral de Ahorro y Crédito de Ayutla R.L.,COOP-GT1217-B,GT1217,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Ayutla.
Asociación de Productores y Comercializadores de Ayutla,ASO-GT1217-C,GT1217,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Ayutla.
Cooperativa Integral de Producción Agrícola de Ocós R.L.,COOP-GT1218-A,GT1218,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Ocós.
Cooperativa Integral de Ahorro y Crédito de Ocós R.L.,COOP-GT1218-B,GT1218,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Ocós.
Asociación de Productores y Comercializadores de Ocós,ASO-GT1218-C,GT1218,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Ocós.
Cooperativa Integral de Producción Agrícola de San Pablo R.L.,COOP-GT1219-A,GT1219,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Pablo.
Cooperativa Integral de Ahorro y Crédito de San Pablo R.L.,COOP-GT1219-B,GT1219,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Pablo.
Asociación de Productores y Comercializadores de San Pablo,ASO-GT1219-C,GT1219,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Pablo.
Cooperativa Integral de Producción Agrícola de El Quetzal R.L.,COOP-GT1220-A,GT1220,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de El Quetzal.
Cooperativa Integral de Ahorro y Crédito de El Quetzal R.L.,COOP-GT1220-B,GT1220,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de El Quetzal.
Asociación de Productores y Comercializadores de El Quetzal,ASO-GT1220-C,GT1220,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de El Quetzal.
Cooperativa Integral de Producción Agrícola de La Reforma R.L.,COOP-GT1221-A,GT1221,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de La Reforma.
Cooperativa Integral de Ahorro y Crédito de La Reforma R.L.,COOP-GT1221-B,GT1221,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de La Reforma.
Asociación de Productores y Comercializadores de La Reforma,ASO-GT1221-C,GT1221,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de La Reforma.
Cooperativa Integral de Producción Agrícola de Pajapita R.L.,COOP-GT1222-A,GT1222,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Pajapita.
Cooperativa Integral de Ahorro y Crédito de Pajapita R.L.,COOP-GT1222-B,GT1222,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Pajapita.
Asociación de Productores y Comercializadores de Pajapita,ASO-GT1222-C,GT1222,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Pajapita.
Cooperativa Integral de Producción Agrícola de Ixchiguán R.L.,COOP-GT1223-A,GT1223,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Ixchiguán.
Cooperativa Integral de Ahorro y Crédito de Ixchiguán R.L.,COOP-GT1223-B,GT1223,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Ixchiguán.
Asociación de Productores y Comercializadores de Ixchiguán,ASO-GT1223-C,GT1223,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Ixchiguán.
Cooperativa Integral de Producción Agrícola de San José Ojetenam R.L.,COOP-GT1224-A,GT1224,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San José Ojetenam.
Cooperativa Integral de Ahorro y Crédito de San José Ojetenam R.L.,COOP-GT1224-B,GT1224,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San José Ojetenam.
Asociación de Productores y Comercializadores de San José Ojetenam,ASO-GT1224-C,GT1224,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San José Ojetenam.
Cooperativa Integral de Producción Agrícola de San Cristóbal Cucho R.L.,COOP-GT1225-A,GT1225,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Cristóbal Cucho.
Cooperativa Integral de Ahorro y Crédito de San Cristóbal Cucho R.L.,COOP-GT1225-B,GT1225,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Cristóbal Cucho.
Asociación de Productores y Comercializadores de San Cristóbal Cucho,ASO-GT1225-C,GT1225,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Cristóbal Cucho.
Cooperativa Integral de Producción Agrícola de Sipacapa R.L.,COOP-GT1226-A,GT1226,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Sipacapa.
Cooperativa Integral de Ahorro y Crédito de Sipacapa R.L.,COOP-GT1226-B,GT1226,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Sipacapa.
Asociación de Productores y Comercializadores de Sipacapa,ASO-GT1226-C,GT1226,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Sipacapa.
Cooperativa Integral de Producción Agrícola de Esquipulas Palo Gordo R.L.,COOP-GT1227-A,GT1227,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Esquipulas Palo Gordo.
Cooperativa Integral de Ahorro y Crédito de Esquipulas Palo Gordo R.L.,COOP-GT1227-B,GT1227,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Esquipulas Palo Gordo.
Asociación de Productores y Comercializadores de Esquipulas Palo Gordo,ASO-GT1227-C,GT1227,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Esquipulas Palo Gordo.
Cooperativa Integral de Producción Agrícola de Río Blanco R.L.,COOP-GT1228-A,GT1228,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Río Blanco.
Cooperativa Integral de Ahorro y Crédito de Río Blanco R.L.,COOP-GT1228-B,GT1228,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Río Blanco.
Asociación de Productores y Comercializadores de Río Blanco,ASO-GT1228-C,GT1228,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Río Blanco.
Cooperativa Integral de Producción Agrícola de San Lorenzo R.L.,COOP-GT1229-A,GT1229,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Lorenzo.
Cooperativa Integral de Ahorro y Crédito de San Lorenzo R.L.,COOP-GT1229-B,GT1229,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Lorenzo.
Asociación de Productores y Comercializadores de San Lorenzo,ASO-GT1229-C,GT1229,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Lorenzo.
Cooperativa Integral de Producción Agrícola de La Blanca R.L.,COOP-GT1230-A,GT1230,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de La Blanca.
Cooperativa Integral de Ahorro y Crédito de La Blanca R.L.,COOP-GT1230-B,GT1230,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de La Blanca.
Asociación de Productores y Comercializadores de La Blanca,ASO-GT1230-C,GT1230,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de La Blanca.
Cooperativa Integral de Producción Agrícola de Huehuetenango R.L.,COOP-GT1301-A,GT1301,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Huehuetenango.
Cooperativa Integral de Ahorro y Crédito de Huehuetenango R.L.,COOP-GT1301-B,GT1301,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Huehuetenango.
Asociación de Productores y Comercializadores de Huehuetenango,ASO-GT1301-C,GT1301,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Huehuetenango.
Cooperativa Integral de Producción Agrícola de Chiantla R.L.,COOP-GT1302-A,GT1302,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Chiantla.
Cooperativa Integral de Ahorro y Crédito de Chiantla R.L.,COOP-GT1302-B,GT1302,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Chiantla.
Asociación de Productores y Comercializadores de Chiantla,ASO-GT1302-C,GT1302,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Chiantla.
Cooperativa Integral de Producción Agrícola de Malacatancito R.L.,COOP-GT1303-A,GT1303,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Malacatancito.
Cooperativa Integral de Ahorro y Crédito de Malacatancito R.L.,COOP-GT1303-B,GT1303,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Malacatancito.
Asociación de Productores y Comercializadores de Malacatancito,ASO-GT1303-C,GT1303,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Malacatancito.
Cooperativa Integral de Producción Agrícola de Cuilco R.L.,COOP-GT1304-A,GT1304,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Cuilco.
Cooperativa Integral de Ahorro y Crédito de Cuilco R.L.,COOP-GT1304-B,GT1304,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Cuilco.
Asociación de Productores y Comercializadores de Cuilco,ASO-GT1304-C,GT1304,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Cuilco.
Cooperativa Integral de Producción Agrícola de Nentón R.L.,COOP-GT1305-A,GT1305,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Nentón.
Cooperativa Integral de Ahorro y Crédito de Nentón R.L.,COOP-GT1305-B,GT1305,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Nentón.
Asociación de Productores y Comercializadores de Nentón,ASO-GT1305-C,GT1305,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Nentón.
Cooperativa Integral de Producción Agrícola de San Pedro Necta R.L.,COOP-GT1306-A,GT1306,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Pedro Necta.
Cooperativa Integral de Ahorro y Crédito de San Pedro Necta R.L.,COOP-GT1306-B,GT1306,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Pedro Necta.
Asociación de Productores y Comercializadores de San Pedro Necta,ASO-GT1306-C,GT1306,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Pedro Necta.
Cooperativa Integral de Producción Agrícola de Jacaltenango R.L.,COOP-GT1307-A,GT1307,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Jacaltenango.
Cooperativa Integral de Ahorro y Crédito de Jacaltenango R.L.,COOP-GT1307-B,GT1307,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Jacaltenango.
Asociación de Productores y Comercializadores de Jacaltenango,ASO-GT1307-C,GT1307,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Jacaltenango.
Cooperativa Integral de Producción Agrícola de Soloma R.L.,COOP-GT1308-A,GT1308,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Soloma.
Cooperativa Integral de Ahorro y Crédito de Soloma R.L.,COOP-GT1308-B,GT1308,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Soloma.
Asociación de Productores y Comercializadores de Soloma,ASO-GT1308-C,GT1308,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Soloma.
Cooperativa Integral de Producción Agrícola de Ixtahuacán R.L.,COOP-GT1309-A,GT1309,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Ixtahuacán.
Cooperativa Integral de Ahorro y Crédito de Ixtahuacán R.L.,COOP-GT1309-B,GT1309,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Ixtahuacán.
Asociación de Productores y Comercializadores de Ixtahuacán,ASO-GT1309-C,GT1309,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Ixtahuacán.
Cooperativa Integral de Producción Agrícola de Santa Bárbara R.L.,COOP-GT1310-A,GT1310,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Bárbara.
Cooperativa Integral de Ahorro y Crédito de Santa Bárbara R.L.,COOP-GT1310-B,GT1310,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Bárbara.
Asociación de Productores y Comercializadores de Santa Bárbara,ASO-GT1310-C,GT1310,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Bárbara.
Cooperativa Integral de Producción Agrícola de La Libertad R.L.,COOP-GT1311-A,GT1311,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de La Libertad.
Cooperativa Integral de Ahorro y Crédito de La Libertad R.L.,COOP-GT1311-B,GT1311,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de La Libertad.
Asociación de Productores y Comercializadores de La Libertad,ASO-GT1311-C,GT1311,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de La Libertad.
Cooperativa Integral de Producción Agrícola de La Democracia R.L.,COOP-GT1312-A,GT1312,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de La Democracia.
Cooperativa Integral de Ahorro y Crédito de La Democracia R.L.,COOP-GT1312-B,GT1312,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de La Democracia.
Asociación de Productores y Comercializadores de La Democracia,ASO-GT1312-C,GT1312,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de La Democracia.
Cooperativa Integral de Producción Agrícola de San Miguel Acatán R.L.,COOP-GT1313-A,GT1313,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Miguel Acatán.
Cooperativa Integral de Ahorro y Crédito de San Miguel Acatán R.L.,COOP-GT1313-B,GT1313,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Miguel Acatán.
Asociación de Productores y Comercializadores de San Miguel Acatán,ASO-GT1313-C,GT1313,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Miguel Acatán.
Cooperativa Integral de Producción Agrícola de San Rafael La Independencia R.L.,COOP-GT1314-A,GT1314,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Rafael La Independencia.
Cooperativa Integral de Ahorro y Crédito de San Rafael La Independencia R.L.,COOP-GT1314-B,GT1314,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Rafael La Independencia.
Asociación de Productores y Comercializadores de San Rafael La Independencia,ASO-GT1314-C,GT1314,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Rafael La Independencia.
Cooperativa Integral de Producción Agrícola de Todos Santos Cuchumatán R.L.,COOP-GT1315-A,GT1315,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Todos Santos Cuchumatán.
Cooperativa Integral de Ahorro y Crédito de Todos Santos Cuchumatán R.L.,COOP-GT1315-B,GT1315,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Todos Santos Cuchumatán.
Asociación de Productores y Comercializadores de Todos Santos Cuchumatán,ASO-GT1315-C,GT1315,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Todos Santos Cuchumatán.
Cooperativa Integral de Producción Agrícola de San Juan Atitán R.L.,COOP-GT1316-A,GT1316,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Juan Atitán.
Cooperativa Integral de Ahorro y Crédito de San Juan Atitán R.L.,COOP-GT1316-B,GT1316,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Juan Atitán.
Asociación de Productores y Comercializadores de San Juan Atitán,ASO-GT1316-C,GT1316,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Juan Atitán.
Cooperativa Integral de Producción Agrícola de Santa Eulalia R.L.,COOP-GT1317-A,GT1317,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Eulalia.
Cooperativa Integral de Ahorro y Crédito de Santa Eulalia R.L.,COOP-GT1317-B,GT1317,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Eulalia.
Asociación de Productores y Comercializadores de Santa Eulalia,ASO-GT1317-C,GT1317,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Eulalia.
Cooperativa Integral de Producción Agrícola de San Mateo Ixtatán R.L.,COOP-GT1318-A,GT1318,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Mateo Ixtatán.
Cooperativa Integral de Ahorro y Crédito de San Mateo Ixtatán R.L.,COOP-GT1318-B,GT1318,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Mateo Ixtatán.
Asociación de Productores y Comercializadores de San Mateo Ixtatán,ASO-GT1318-C,GT1318,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Mateo Ixtatán.
Cooperativa Integral de Producción Agrícola de Colotenango R.L.,COOP-GT1319-A,GT1319,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Colotenango.
Cooperativa Integral de Ahorro y Crédito de Colotenango R.L.,COOP-GT1319-B,GT1319,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Colotenango.
Asociación de Productores y Comercializadores de Colotenango,ASO-GT1319-C,GT1319,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Colotenango.
Cooperativa Integral de Producción Agrícola de San Sebastián Huehuetenango R.L.,COOP-GT1320-A,GT1320,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Sebastián Huehuetenango.
Cooperativa Integral de Ahorro y Crédito de San Sebastián Huehuetenango R.L.,COOP-GT1320-B,GT1320,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Sebastián Huehuetenango.
Asociación de Productores y Comercializadores de San Sebastián Huehuetenango,ASO-GT1320-C,GT1320,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Sebastián Huehuetenango.
Cooperativa Integral de Producción Agrícola de Tectitán R.L.,COOP-GT1321-A,GT1321,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Tectitán.
Cooperativa Integral de Ahorro y Crédito de Tectitán R.L.,COOP-GT1321-B,GT1321,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Tectitán.
Asociación de Productores y Comercializadores de Tectitán,ASO-GT1321-C,GT1321,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Tectitán.
Cooperativa Integral de Producción Agrícola de Concepción Huista R.L.,COOP-GT1322-A,GT1322,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Concepción Huista.
Cooperativa Integral de Ahorro y Crédito de Concepción Huista R.L.,COOP-GT1322-B,GT1322,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Concepción Huista.
Asociación de Productores y Comercializadores de Concepción Huista,ASO-GT1322-C,GT1322,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Concepción Huista.
Cooperativa Integral de Producción Agrícola de San Juan Ixcoy R.L.,COOP-GT1323-A,GT1323,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Juan Ixcoy.
Cooperativa Integral de Ahorro y Crédito de San Juan Ixcoy R.L.,COOP-GT1323-B,GT1323,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Juan Ixcoy.
Asociación de Productores y Comercializadores de San Juan Ixcoy,ASO-GT1323-C,GT1323,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Juan Ixcoy.
Cooperativa Integral de Producción Agrícola de San Antonio Huista R.L.,COOP-GT1324-A,GT1324,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Antonio Huista.
Cooperativa Integral de Ahorro y Crédito de San Antonio Huista R.L.,COOP-GT1324-B,GT1324,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Antonio Huista.
Asociación de Productores y Comercializadores de San Antonio Huista,ASO-GT1324-C,GT1324,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Antonio Huista.
