cooperativa_siglas,tipo_servicio,tasa_interes_anual,monto_maximo_quetzales,requisito_principal
ASO-GT1208-C,Crédito Artesanal,16.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1209-A,Microcrédito Agrícola,12.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1209-B,Remesas Familiares,17.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1209-C,Crédito Artesanal,11.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1210-A,Financiamiento de Equipo,11.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1210-B,Ahorro Plazo Fijo,10.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1210-C,Crédito Artesanal,11.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1211-A,Microcrédito Agrícola,13.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1211-B,Remesas Familiares,9.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1211-C,Crédito Artesanal,17.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1212-A,Financiamiento de Equipo,18.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1212-B,Ahorro Plazo Fijo,10.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1212-C,Crédito Artesanal,18.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1213-A,Microcrédito Agrícola,17.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1213-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1213-C,Crédito Artesanal,8.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1214-A,Financiamiento de Equipo,10.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1214-B,Ahorro Plazo Fijo,14.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1214-C,Crédito Artesanal,7.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1215-A,Microcrédito Agrícola,7.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1215-B,Remesas Familiares,12.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1215-C,Crédito Artesanal,12.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1216-A,Financiamiento de Equipo,14.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1216-B,Ahorro Plazo Fijo,17.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1216-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1217-A,Microcrédito Agrícola,12.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1217-B,Remesas Familiares,14.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1217-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1218-A,Financiamiento de Equipo,15.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1218-B,Ahorro Plazo Fijo,13.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1218-C,Crédito Artesanal,9.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1219-A,Microcrédito Agrícola,18.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1219-B,Remesas Familiares,8.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1219-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1220-A,Financiamiento de Equipo,7.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1220-B,Ahorro Plazo Fijo,12.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1220-C,Crédito Artesanal,13.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1221-A,Microcrédito Agrícola,6.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1221-B,Remesas Familiares,18.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1221-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1222-A,Financiamiento de Equipo,15.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1222-B,Ahorro Plazo Fijo,15.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1222-C,Crédito Artesanal,15.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1223-A,Microcrédito Agrícola,10.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1223-B,Remesas Familiares,17.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1223-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1224-A,Financiamiento de Equipo,10.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1224-B,Ahorro Plazo Fijo,15.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1224-C,Crédito Artesanal,8.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1225-A,Microcrédito Agrícola,13.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1225-B,Remesas Familiares,11.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1225-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1226-A,Financiamiento de Equipo,11.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1226-B,Ahorro Plazo Fijo,16.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1226-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1227-A,Microcrédito Agrícola,10.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1227-B,Remesas Familiares,14.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1227-C,Crédito Artesanal,18.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1228-A,Financiamiento de Equipo,18.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1228-B,Ahorro Plazo Fijo,15.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1228-C,Crédito Artesanal,14.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1229-A,Microcrédito Agrícola,11.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1229-B,Remesas Familiares,10.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1229-C,Crédito Artesanal,7.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1230-A,Financiamiento de Equipo,8.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1230-B,Ahorro Plazo Fijo,8.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1230-C,Crédito Artesanal,11.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1301-A,Microcrédito Agrícola,12.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1301-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1301-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1302-A,Financiamiento de Equipo,14.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1302-B,Ahorro Plazo Fijo,9.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1302-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1303-A,Microcrédito Agrícola,7.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1303-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1303-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1304-A,Financiamiento de Equipo,10.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1304-B,Ahorro Plazo Fijo,8.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1304-C,Crédito Artesanal,15.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1305-A,Microcrédito Agrícola,8.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1305-B,Remesas Familiares,6.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1305-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1306-A,Financiamiento de Equipo,17.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1306-B,Ahorro Plazo Fijo,17.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1306-C,Crédito Artesanal,10.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1307-A,Microcrédito Agrícola,9.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1307-B,Remesas Familiares,7.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1307-C,Crédito Artesanal,17.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1308-A,Financiamiento de Equipo,7.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1308-B,Ahorro Plazo Fijo,18.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1308-C,Crédito Artesanal,18.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1309-A,Microcrédito Agrícola,6.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1309-B,Remesas Familiares,7.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1309-C,Crédito Artesanal,18.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1310-A,Financiamiento de Equipo,13.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1310-B,Ahorro Plazo Fijo,10.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1310-C,Crédito Artesanal,7.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1311-A,Microcrédito Agrícola,16.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1311-B,Remesas Familiares,18.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1311-C,Crédito Artesanal,18.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1312-A,Financiamiento de Equipo,15.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1312-B,Ahorro Plazo Fijo,15.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1312-C,Crédito Artesanal,8.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1313-A,Microcrédito Agrícola,6.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1313-B,Remesas Familiares,8.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1313-C,Crédito Artesanal,15.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1314-A,Financiamiento de Equipo,11.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1314-B,Ahorro Plazo Fijo,14.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1314-C,Crédito Artesanal,14.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1315-A,Microcrédito Agrícola,7.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1315-B,Remesas Familiares,14.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1315-C,Crédito Artesanal,17.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1316-A,Financiamiento de Equipo,10.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1316-B,Ahorro Plazo Fijo,18.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1316-C,Crédito Artesanal,17.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1317-A,Microcrédito Agrícola,9.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1317-B,Remesas Familiares,11.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1317-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1318-A,Financiamiento de Equipo,8.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1318-B,Ahorro Plazo Fijo,12.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1318-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1319-A,Microcrédito Agrícola,12.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1319-B,Remesas Familiares,18.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1319-C,Crédito Artesanal,7.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1320-A,Financiamiento de Equipo,7.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1320-B,Ahorro Plazo Fijo,13.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1320-C,Crédito Artesanal,17.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1321-A,Microcrédito Agrícola,14.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1321-B,Remesas Familiares,7.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1321-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1322-A,Financiamiento de Equipo,12.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1322-B,Ahorro Plazo Fijo,13.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1322-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1323-A,Microcrédito Agrícola,9.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1323-B,Remesas Familiares,10.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1323-C,Crédito Artesanal,9.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1324-A,Financiamiento de Equipo,18.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1324-B,Ahorro Plazo Fijo,16.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1324-C,Crédito Artesanal,8.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1325-A,Microcrédito Agrícola,16.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1325-B,Remesas Familiares,16.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1325-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1326-A,Financiamiento de Equipo,14.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1326-B,Ahorro Plazo Fijo,7.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1326-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1327-A,Microcrédito Agrícola,17.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1327-B,Remesas Familiares,17.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1327-C,Crédito Artesanal,7.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1328-A,Financiamiento de Equipo,9.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1328-B,Ahorro Plazo Fijo,9.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1328-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1329-A,Microcrédito Agrícola,12.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1329-B,Remesas Familiares,10.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1329-C,Crédito Artesanal,18.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1330-A,Financiamiento de Equipo,11.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1330-B,Ahorro Plazo Fijo,16.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1330-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1331-A,Microcrédito Agrícola,8.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1331-B,Remesas Familiares,7.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1331-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1332-A,Financiamiento de Equipo,13.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1332-B,Ahorro Plazo Fijo,16.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1332-C,Crédito Artesanal,6.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1333-A,Microcrédito Agrícola,17.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1333-B,Remesas Familiares,7.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1333-C,Crédito Artesanal,16.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1401-A,Financiamiento de Equipo,8.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1401-B,Ahorro Plazo Fijo,15.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1401-C,Crédito Artesanal,8.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1402-A,Microcrédito Agrícola,15.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1402-B,Remesas Familiares,18.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1402-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1403-A,Financiamiento de Equipo,18.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1403-B,Ahorro Plazo Fijo,9.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1403-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1404-A,Microcrédito Agrícola,13.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1404-B,Remesas Familiares,14.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1404-C,Crédito Artesanal,18.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1405-A,Financiamiento de Equipo,18.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1405-B,Ahorro Plazo Fijo,12.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1405-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1406-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1406-B,Remesas Familiares,13.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1406-C,Crédito Artesanal,6.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1407-A,Financiamiento de Equipo,8.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1407-B,Ahorro Plazo Fijo,17.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1407-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1408-A,Microcrédito Agrícola,8.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1408-B,Remesas Familiares,17.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1408-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1409-A,Financiamiento de Equipo,15.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1409-B,Ahorro Plazo Fijo,16.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1409-C,Crédito Artesanal,13.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1410-A,Microcrédito Agrícola,14.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1410-B,Remesas Familiares,12.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1410-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1411-A,Financiamiento de Equipo,15.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1411-B,Ahorro Plazo Fijo,18.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1411-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1412-A,Microcrédito Agrícola,6.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1412-B,Remesas Familiares,8.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1412-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1413-A,Financiamiento de Equipo,18.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1413-B,Ahorro Plazo Fijo,12.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT1413-C,Crédito Artesanal,12.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1414-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1414-B,Remesas Familiares,11.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1414-C,Crédito Artesanal,16.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1415-A,Financiamiento de Equipo,9.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1415-B,Ahorro Plazo Fijo,16.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1415-C,Crédito Artesanal,15.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1416-A,Microcrédito Agrícola,17.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1416-B,Remesas Familiares,10.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1416-C,Crédito Artesanal,11.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1417-A,Financiamiento de Equipo,6.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1417-B,Ahorro Plazo Fijo,6.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1417-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1418-A,Microcrédito Agrícola,15.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1418-B,Remesas Familiares,10.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1418-C,Crédito Artesanal,17.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1419-A,Financiamiento de Equipo,15.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1419-B,Ahorro Plazo Fijo,11.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1419-C,Crédito Artesanal,15.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1420-A,Microcrédito Agrícola,11.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1420-B,Remesas Familiares,18.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1420-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1421-A,Financiamiento de Equipo,11.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1421-B,Ahorro Plazo Fijo,14.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1421-C,Crédito Artesanal,8.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1501-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1501-B,Remesas Familiares,9.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1501-C,Crédito Artesanal,16.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1502-A,Financiamiento de Equipo,14.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1502-B,Ahorro Plazo Fijo,10.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1502-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1503-A,Microcrédito Agrícola,15.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1503-B,Remesas Familiares,18.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1503-C,Crédito Artesanal,15.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1504-A,Financiamiento de Equipo,17.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1504-B,Ahorro Plazo Fijo,15.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1504-C,Crédito Artesanal,10.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1505-A,Microcrédito Agrícola,15.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1505-B,Remesas Familiares,12.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1505-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1506-A,Financiamiento de Equipo,16.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1506-B,Ahorro Plazo Fijo,14.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT1506-C,Crédito Artesanal,12.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1507-A,Microcrédito Agrícola,9.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1507-B,Remesas Familiares,12.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1507-C,Crédito Artesanal,15.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1508-A,Financiamiento de Equipo,16.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1508-B,Ahorro Plazo Fijo,6.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT1508-C,Crédito Artesanal,15.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1601-A,Microcrédito Agrícola,9.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1601-B,Remesas Familiares,10.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1601-C,Crédito Artesanal,15.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1602-A,Financiamiento de Equipo,14.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1602-B,Ahorro Plazo Fijo,11.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT1602-C,Crédito Artesanal,8.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1603-A,Microcrédito Agrícola,8.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT1603-B,Remesas Familiares,12.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT1603-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT1604-A,Financiamiento de Equipo,16.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT1604-B,Ahorro Plazo Fijo,12.00,50000.00,Monto de apertura mínimo de Q500.
