nombre,origen,descripcion
Abono Orgánico de Río Bravo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Río Bravo.
Semilla de Maíz de San José La Máquina,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San José La Máquina.
Semilla de Frijol de San José La Máquina,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San José La Máquina.
Abono Orgánico de San José La Máquina,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San José La Máquina.
Semilla de Maíz de Retalhuleu,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Retalhuleu.
Semilla de Frijol de Retalhuleu,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Retalhuleu.
Abono Orgánico de Retalhuleu,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Retalhuleu.
Semilla de Maíz de San Sebastián,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Sebastián.
Semilla de Frijol de San Sebastián,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Sebastián.
Abono Orgánico de San Sebastián,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Sebastián.
Semilla de Maíz de Santa Cruz Muluá,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Cruz Muluá.
Semilla de Frijol de Santa Cruz Muluá,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Cruz Muluá.
Abono Orgánico de Santa Cruz Muluá,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Cruz Muluá.
Semilla de Maíz de San Martín Zapotitlán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Martín Zapotitlán.
Semilla de Frijol de San Martín Zapotitlán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Martín Zapotitlán.
Abono Orgánico de San Martín Zapotitlán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Martín Zapotitlán.
Semilla de Maíz de San Felipe,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Felipe.
Semilla de Frijol de San Felipe,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Felipe.
Abono Orgánico de San Felipe,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Felipe.
Semilla de Maíz de San Andrés Villa Seca,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Andrés Villa Seca.
Semilla de Frijol de San Andrés Villa Seca,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Andrés Villa Seca.
Abono Orgánico de San Andrés Villa Seca,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Andrés Villa Seca.
Semilla de Maíz de Champerico,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Champerico.
Semilla de Frijol de Champerico,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Champerico.
Abono Orgánico de Champerico,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Champerico.
Semilla de Maíz de Nuevo San Carlos,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Nuevo San Carlos.
Semilla de Frijol de Nuevo San Carlos,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Nuevo San Carlos.
Abono Orgánico de Nuevo San Carlos,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Nuevo San Carlos.
Semilla de Maíz de El Asintal,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de El Asintal.
Semilla de Frijol de El Asintal,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en El Asintal.
Abono Orgánico de El Asintal,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en El Asintal.
Semilla de Maíz de San Marcos,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Marcos.
Semilla de Frijol de San Marcos,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Marcos.
Abono Orgánico de San Marcos,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Marcos.
Semilla de Maíz de San Pedro Sacatepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Pedro Sacatepéquez.
Semilla de Frijol de San Pedro Sacatepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Pedro Sacatepéquez.
Abono Orgánico de San Pedro Sacatepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Pedro Sacatepéquez.
Semilla de Maíz de San Antonio Sacatepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Antonio Sacatepéquez.
Semilla de Frijol de San Antonio Sacatepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Antonio Sacatepéquez.
Abono Orgánico de San Antonio Sacatepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Antonio Sacatepéquez.
Semilla de Maíz de Comitancillo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Comitancillo.
Semilla de Frijol de Comitancillo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Comitancillo.
Abono Orgánico de Comitancillo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Comitancillo.
Semilla de Maíz de San Miguel Ixtahuacán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Miguel Ixtahuacán.
Semilla de Frijol de San Miguel Ixtahuacán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Miguel Ixtahuacán.
Abono Orgánico de San Miguel Ixtahuacán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Miguel Ixtahuacán.
Semilla de Maíz de Concepción Tutuapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Concepción Tutuapa.
Semilla de Frijol de Concepción Tutuapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Concepción Tutuapa.
Abono Orgánico de Concepción Tutuapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Concepción Tutuapa.
Semilla de Maíz de Tacaná,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Tacaná.
Semilla de Frijol de Tacaná,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Tacaná.
Abono Orgánico de Tacaná,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Tacaná.
Semilla de Maíz de Sibinal,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Sibinal.
Semilla de Frijol de Sibinal,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Sibinal.
Abono Orgánico de Sibinal,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Sibinal.
Semilla de Maíz de Tajumulco,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Tajumulco.
Semilla de Frijol de Tajumulco,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Tajumulco.
Abono Orgánico de Tajumulco,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Tajumulco.
Semilla de Maíz de Tejutla,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Tejutla.
Semilla de Frijol de Tejutla,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Tejutla.
Abono Orgánico de Tejutla,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Tejutla.
Semilla de Maíz de San Rafael Pie de la Cuesta,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Rafael Pie de la Cuesta.
Semilla de Frijol de San Rafael Pie de la Cuesta,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Rafael Pie de la Cuesta.
Abono Orgánico de San Rafael Pie de la Cuesta,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Rafael Pie de la Cuesta.
Semilla de Maíz de Nuevo Progreso,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Nuevo Progreso.
Semilla de Frijol de Nuevo Progreso,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Nuevo Progreso.
Abono Orgánico de Nuevo Progreso,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Nuevo Progreso.
Semilla de Maíz de El Tumbador,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de El Tumbador.
Semilla de Frijol de El Tumbador,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en El Tumbador.
Abono Orgánico de El Tumbador,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en El Tumbador.
Semilla de Maíz de El Rodeo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de El Rodeo.
Semilla de Frijol de El Rodeo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en El Rodeo.
Abono Orgánico de El Rodeo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en El Rodeo.
Semilla de Maíz de Malacatán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Malacatán.
Semilla de Frijol de Malacatán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Malacatán.
Abono Orgánico de Malacatán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Malacatán.
Semilla de Maíz de Catarina,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Catarina.
Semilla de Frijol de Catarina,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Catarina.
Abono Orgánico de Catarina,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Catarina.
Semilla de Maíz de Ayutla,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Ayutla.
Semilla de Frijol de Ayutla,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Ayutla.
Abono Orgánico de Ayutla,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Ayutla.
Semilla de Maíz de Ocós,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Ocós.
Semilla de Frijol de Ocós,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Ocós.
Abono Orgánico de Ocós,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Ocós.
Semilla de Maíz de San Pablo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Pablo.
Semilla de Frijol de San Pablo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Pablo.
Abono Orgánico de San Pablo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Pablo.
Semilla de Maíz de El Quetzal,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de El Quetzal.
Semilla de Frijol de El Quetzal,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en El Quetzal.
Abono Orgánico de El Quetzal,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en El Quetzal.
Semilla de Maíz de La Reforma,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de La Reforma.
Semilla de Frijol de La Reforma,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en La Reforma.
Abono Orgánico de La Reforma,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en La Reforma.
Semilla de Maíz de Pajapita,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Pajapita.
Semilla de Frijol de Pajapita,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Pajapita.
Abono Orgánico de Pajapita,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Pajapita.
Semilla de Maíz de Ixchiguán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Ixchiguán.
Semilla de Frijol de Ixchiguán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Ixchiguán.
Abono Orgánico de Ixchiguán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Ixchiguán.
Semilla de Maíz de San José Ojetenam,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San José Ojetenam.
Semilla de Frijol de San José Ojetenam,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San José Ojetenam.
Abono Orgánico de San José Ojetenam,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San José Ojetenam.
Semilla de Maíz de San Cristóbal Cucho,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Cristóbal Cucho.
Semilla de Frijol de San Cristóbal Cucho,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Cristóbal Cucho.
Abono Orgánico de San Cristóbal Cucho,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Cristóbal Cucho.
Semilla de Maíz de Sipacapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Sipacapa.
Semilla de Frijol de Sipacapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Sipacapa.
Abono Orgánico de Sipacapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Sipacapa.
Semilla de Maíz de Esquipulas Palo Gordo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Esquipulas Palo Gordo.
Semilla de Frijol de Esquipulas Palo Gordo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Esquipulas Palo Gordo.
Abono Orgánico de Esquipulas Palo Gordo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Esquipulas Palo Gordo.
Semilla de Maíz de Río Blanco,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Río Blanco.
Semilla de Frijol de Río Blanco,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Río Blanco.
Abono Orgánico de Río Blanco,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Río Blanco.
Semilla de Maíz de San Lorenzo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Lorenzo.
Semilla de Frijol de San Lorenzo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Lorenzo.
Abono Orgánico de San Lorenzo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Lorenzo.
Semilla de Maíz de La Blanca,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de La Blanca.
Semilla de Frijol de La Blanca,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en La Blanca.
Abono Orgánico de La Blanca,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en La Blanca.
Semilla de Maíz de Huehuetenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Huehuetenango.
Semilla de Frijol de Huehuetenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Huehuetenango.
Abono Orgánico de Huehuetenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Huehuetenango.
Semilla de Maíz de Chiantla,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chiantla.
Semilla de Frijol de Chiantla,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chiantla.
Abono Orgánico de Chiantla,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chiantla.
Semilla de Maíz de Malacatancito,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Malacatancito.
Semilla de Frijol de Malacatancito,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Malacatancito.
Abono Orgánico de Malacatancito,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Malacatancito.
Semilla de Maíz de Cuilco,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Cuilco.
Semilla de Frijol de Cuilco,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Cuilco.
Abono Orgánico de Cuilco,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Cuilco.
Semilla de Maíz de Nentón,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Nentón.
Semilla de Frijol de Nentón,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Nentón.
Abono Orgánico de Nentón,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Nentón.
Semilla de Maíz de San Pedro Necta,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Pedro Necta.
Semilla de Frijol de San Pedro Necta,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Pedro Necta.
Abono Orgánico de San Pedro Necta,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Pedro Necta.
Semilla de Maíz de Jacaltenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Jacaltenango.
Semilla de Frijol de Jacaltenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Jacaltenango.
Abono Orgánico de Jacaltenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Jacaltenango.
Semilla de Maíz de Soloma,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Soloma.
Semilla de Frijol de Soloma,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Soloma.
Abono Orgánico de Soloma,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Soloma.
Semilla de Maíz de Ixtahuacán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Ixtahuacán.
Semilla de Frijol de Ixtahuacán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Ixtahuacán.
Abono Orgánico de Ixtahuacán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Ixtahuacán.
Semilla de Maíz de Santa Bárbara,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Bárbara.
Semilla de Frijol de Santa Bárbara,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Bárbara.
Abono Orgánico de Santa Bárbara,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Bárbara.
Semilla de Maíz de La Libertad,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de La Libertad.
Semilla de Frijol de La Libertad,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en La Libertad.
Abono Orgánico de La Libertad,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en La Libertad.
Semilla de Maíz de La Democracia,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de La Democracia.
Semilla de Frijol de La Democracia,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en La Democracia.
Abono Orgánico de La Democracia,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en La Democracia.
Semilla de Maíz de San Miguel Acatán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Miguel Acatán.
Semilla de Frijol de San Miguel Acatán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Miguel Acatán.
Abono Orgánico de San Miguel Acatán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Miguel Acatán.
Semilla de Maíz de San Rafael La Independencia,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Rafael La Independencia.
Semilla de Frijol de San Rafael La Independencia,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Rafael La Independencia.
Abono Orgánico de San Rafael La Independencia,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Rafael La Independencia.
Semilla de Maíz de Todos Santos Cuchumatán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Todos Santos Cuchumatán.
Semilla de Frijol de Todos Santos Cuchumatán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Todos Santos Cuchumatán.
Abono Orgánico de Todos Santos Cuchumatán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Todos Santos Cuchumatán.
Semilla de Maíz de San Juan Atitán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Juan Atitán.
Semilla de Frijol de San Juan Atitán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Juan Atitán.
Abono Orgánico de San Juan Atitán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Juan Atitán.
Semilla de Maíz de Santa Eulalia,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Eulalia.
Semilla de Frijol de Santa Eulalia,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Eulalia.
Abono Orgánico de Santa Eulalia,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Eulalia.
Semilla de Maíz de San Mateo Ixtatán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Mateo Ixtatán.
Semilla de Frijol de San Mateo Ixtatán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Mateo Ixtatán.
Abono Orgánico de San Mateo Ixtatán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Mateo Ixtatán.
Semilla de Maíz de Colotenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Colotenango.
Semilla de Frijol de Colotenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Colotenango.
Abono Orgánico de Colotenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Colotenango.
Semilla de Maíz de San Sebastián Huehuetenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Sebastián Huehuetenango.
Semilla de Frijol de San Sebastián Huehuetenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Sebastián Huehuetenango.
Abono Orgánico de San Sebastián Huehuetenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Sebastián Huehuetenango.
Semilla de Maíz de Tectitán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Tectitán.
Semilla de Frijol de Tectitán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Tectitán.
Abono Orgánico de Tectitán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Tectitán.
Semilla de Maíz de Concepción Huista,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Concepción Huista.
Semilla de Frijol de Concepción Huista,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Concepción Huista.
Abono Orgánico de Concepción Huista,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Concepción Huista.
Semilla de Maíz de San Juan Ixcoy,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Juan Ixcoy.
Semilla de Frijol de San Juan Ixcoy,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Juan Ixcoy.
Abono Orgánico de San Juan Ixcoy,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Juan Ixcoy.
Semilla de Maíz de San Antonio Huista,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Antonio Huista.
Semilla de Frijol de San Antonio Huista,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Antonio Huista.
Abono Orgánico de San Antonio Huista,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Antonio Huista.
Semilla de Maíz de San Sebastián Coatán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Sebastián Coatán.
Semilla de Frijol de San Sebastián Coatán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Sebastián Coatán.
Abono Orgánico de San Sebastián Coatán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Sebastián Coatán.
Semilla de Maíz de Barillas,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Barillas.
Semilla de Frijol de Barillas,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Barillas.
Abono Orgánico de Barillas,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Barillas.
Semilla de Maíz de Aguacatán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Aguacatán.
Semilla de Frijol de Aguacatán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Aguacatán.
Abono Orgánico de Aguacatán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Aguacatán.
Semilla de Maíz de San Rafael Petzal,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Rafael Petzal.
Semilla de Frijol de San Rafael Petzal,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Rafael Petzal.
Abono Orgánico de San Rafael Petzal,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Rafael Petzal.
Semilla de Maíz de San Gaspar Ixchil,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Gaspar Ixchil.
Semilla de Frijol de San Gaspar Ixchil,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Gaspar Ixchil.
Abono Orgánico de San Gaspar Ixchil,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Gaspar Ixchil.
Semilla de Maíz de Santiago Chimaltenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santiago Chimaltenango.
Semilla de Frijol de Santiago Chimaltenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santiago Chimaltenango.
Abono Orgánico de Santiago Chimaltenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santiago Chimaltenango.
Semilla de Maíz de Santa Ana Huista,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Ana Huista.
Semilla de Frijol de Santa Ana Huista,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Ana Huista.
Abono Orgánico de Santa Ana Huista,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Ana Huista.
Semilla de Maíz de Unión Cantinil,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Unión Cantinil.
Semilla de Frijol de Unión Cantinil,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Unión Cantinil.
Abono Orgánico de Unión Cantinil,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Unión Cantinil.
Semilla de Maíz de Petatán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Petatán.
Semilla de Frijol de Petatán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Petatán.
Abono Orgánico de Petatán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Petatán.
Semilla de Maíz de Santa Cruz del Quiché,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Cruz del Quiché.
Semilla de Frijol de Santa Cruz del Quiché,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Cruz del Quiché.
Abono Orgánico de Santa Cruz del Quiché,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Cruz del Quiché.
Semilla de Maíz de Chiché,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chiché.
Semilla de Frijol de Chiché,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chiché.
Abono Orgánico de Chiché,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chiché.
Semilla de Maíz de Chinique,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chinique.
Semilla de Frijol de Chinique,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chinique.
Abono Orgánico de Chinique,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chinique.
Semilla de Maíz de Zacualpa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Zacualpa.
Semilla de Frijol de Zacualpa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Zacualpa.
Abono Orgánico de Zacualpa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Zacualpa.
Semilla de Maíz de Chajul,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chajul.
Semilla de Frijol de Chajul,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chajul.
Abono Orgánico de Chajul,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chajul.
Semilla de Maíz de Chichicastenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chichicastenango.
Semilla de Frijol de Chichicastenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chichicastenango.
Abono Orgánico de Chichicastenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chichicastenango.
Semilla de Maíz de Patzité,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Patzité.
Semilla de Frijol de Patzité,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Patzité.
Abono Orgánico de Patzité,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Patzité.
