nombre,ente_certificador,descripcion
Certificación Orgánica y de Origen - Reg COOP-GT1020-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Río Bravo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1020-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Río Bravo.
Certificación Orgánica y de Origen - Reg COOP-GT1021-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San José La Máquina R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1021-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San José La Máquina R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1021-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San José La Máquina.
Certificación Orgánica y de Origen - Reg COOP-GT1101-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Retalhuleu R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1101-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Retalhuleu R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1101-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Retalhuleu.
Certificación Orgánica y de Origen - Reg COOP-GT1102-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Sebastián R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1102-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Sebastián R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1102-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Sebastián.
Certificación Orgánica y de Origen - Reg COOP-GT1103-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Cruz Muluá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1103-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Cruz Muluá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1103-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Cruz Muluá.
Certificación Orgánica y de Origen - Reg COOP-GT1104-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Martín Zapotitlán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1104-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Martín Zapotitlán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1104-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Martín Zapotitlán.
Certificación Orgánica y de Origen - Reg COOP-GT1105-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Felipe R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1105-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Felipe R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1105-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Felipe.
Certificación Orgánica y de Origen - Reg COOP-GT1106-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Andrés Villa Seca R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1106-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Andrés Villa Seca R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1106-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Andrés Villa Seca.
Certificación Orgánica y de Origen - Reg COOP-GT1107-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Champerico R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1107-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Champerico R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1107-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Champerico.
Certificación Orgánica y de Origen - Reg COOP-GT1108-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Nuevo San Carlos R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1108-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Nuevo San Carlos R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1108-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Nuevo San Carlos.
Certificación Orgánica y de Origen - Reg COOP-GT1109-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de El Asintal R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1109-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de El Asintal R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1109-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de El Asintal.
Certificación Orgánica y de Origen - Reg COOP-GT1201-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Marcos R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1201-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Marcos R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1201-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Marcos.
Certificación Orgánica y de Origen - Reg COOP-GT1202-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Pedro Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1202-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Pedro Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1202-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Pedro Sacatepéquez.
Certificación Orgánica y de Origen - Reg COOP-GT1203-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Antonio Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1203-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Antonio Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1203-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Antonio Sacatepéquez.
Certificación Orgánica y de Origen - Reg COOP-GT1204-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Comitancillo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1204-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Comitancillo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1204-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Comitancillo.
Certificación Orgánica y de Origen - Reg COOP-GT1205-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Miguel Ixtahuacán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1205-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Miguel Ixtahuacán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1205-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Miguel Ixtahuacán.
Certificación Orgánica y de Origen - Reg COOP-GT1206-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Concepción Tutuapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1206-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Concepción Tutuapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1206-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Concepción Tutuapa.
Certificación Orgánica y de Origen - Reg COOP-GT1207-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Tacaná R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1207-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Tacaná R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1207-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Tacaná.
Certificación Orgánica y de Origen - Reg COOP-GT1208-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Sibinal R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1208-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Sibinal R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1208-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Sibinal.
Certificación Orgánica y de Origen - Reg COOP-GT1209-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Tajumulco R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1209-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Tajumulco R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1209-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Tajumulco.
Certificación Orgánica y de Origen - Reg COOP-GT1210-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Tejutla R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1210-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Tejutla R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1210-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Tejutla.
Certificación Orgánica y de Origen - Reg COOP-GT1211-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Rafael Pie de la Cuesta R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1211-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Rafael Pie de la Cuesta R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1211-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Rafael Pie de la Cuesta.
Certificación Orgánica y de Origen - Reg COOP-GT1212-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Nuevo Progreso R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1212-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Nuevo Progreso R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1212-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Nuevo Progreso.
Certificación Orgánica y de Origen - Reg COOP-GT1213-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de El Tumbador R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1213-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de El Tumbador R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1213-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de El Tumbador.
Certificación Orgánica y de Origen - Reg COOP-GT1214-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de El Rodeo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1214-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de El Rodeo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1214-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de El Rodeo.
Certificación Orgánica y de Origen - Reg COOP-GT1215-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Malacatán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1215-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Malacatán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1215-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Malacatán.
Certificación Orgánica y de Origen - Reg COOP-GT1216-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Catarina R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1216-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Catarina R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1216-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Catarina.
Certificación Orgánica y de Origen - Reg COOP-GT1217-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Ayutla R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1217-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Ayutla R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1217-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Ayutla.
Certificación Orgánica y de Origen - Reg COOP-GT1218-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Ocós R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1218-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Ocós R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1218-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Ocós.
Certificación Orgánica y de Origen - Reg COOP-GT1219-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Pablo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1219-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Pablo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1219-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Pablo.
Certificación Orgánica y de Origen - Reg COOP-GT1220-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de El Quetzal R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1220-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de El Quetzal R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1220-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de El Quetzal.
Certificación Orgánica y de Origen - Reg COOP-GT1221-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de La Reforma R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1221-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de La Reforma R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1221-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de La Reforma.
Certificación Orgánica y de Origen - Reg COOP-GT1222-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Pajapita R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1222-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Pajapita R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1222-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Pajapita.
Certificación Orgánica y de Origen - Reg COOP-GT1223-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Ixchiguán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1223-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Ixchiguán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1223-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Ixchiguán.
Certificación Orgánica y de Origen - Reg COOP-GT1224-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San José Ojetenam R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1224-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San José Ojetenam R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1224-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San José Ojetenam.
Certificación Orgánica y de Origen - Reg COOP-GT1225-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Cristóbal Cucho R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1225-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Cristóbal Cucho R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1225-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Cristóbal Cucho.
Certificación Orgánica y de Origen - Reg COOP-GT1226-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Sipacapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1226-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Sipacapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1226-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Sipacapa.
Certificación Orgánica y de Origen - Reg COOP-GT1227-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Esquipulas Palo Gordo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1227-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Esquipulas Palo Gordo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1227-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Esquipulas Palo Gordo.
Certificación Orgánica y de Origen - Reg COOP-GT1228-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Río Blanco R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1228-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Río Blanco R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1228-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Río Blanco.
Certificación Orgánica y de Origen - Reg COOP-GT1229-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Lorenzo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1229-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Lorenzo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1229-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Lorenzo.
Certificación Orgánica y de Origen - Reg COOP-GT1230-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de La Blanca R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1230-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de La Blanca R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1230-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de La Blanca.
Certificación Orgánica y de Origen - Reg COOP-GT1301-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Huehuetenango R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1301-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Huehuetenango R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1301-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Huehuetenango.
Certificación Orgánica y de Origen - Reg COOP-GT1302-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Chiantla R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1302-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Chiantla R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1302-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Chiantla.
Certificación Orgánica y de Origen - Reg COOP-GT1303-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Malacatancito R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1303-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Malacatancito R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1303-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Malacatancito.
Certificación Orgánica y de Origen - Reg COOP-GT1304-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Cuilco R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1304-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Cuilco R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1304-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Cuilco.
Certificación Orgánica y de Origen - Reg COOP-GT1305-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Nentón R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1305-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Nentón R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1305-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Nentón.
Certificación Orgánica y de Origen - Reg COOP-GT1306-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Pedro Necta R.L..
Certificación Orgánica y de Origen - Reg COOP-GT1306-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Pedro Necta R.L..
Certificación Orgánica y de Origen - Reg ASO-GT1306-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Pedro Necta.
