municipio_pcode,actividad_nombre,cooperativa_nombre,es_principal,volumen_estimado,cantidad_productores_est,empleo_generado_est,ciclo_cosecha_meses,destino_principal
GT1101,Cultivo de Frijol en Retalhuleu,,false,Bajo,368,145,Mayo-Septiembre,Autoconsumo
GT1101,Cultivo de Caña de Azúcar en Retalhuleu,Asociación de Productores y Comercializadores de Retalhuleu,true,Medio,1286,4962,Noviembre-Marzo,Mixto
GT1101,Cultivo de Banano en Retalhuleu,Asociación de Productores y Comercializadores de Retalhuleu,true,Medio,904,4057,Diario,Mixto
GT1101,Producción Ganadera en Retalhuleu,Asociación de Productores y Comercializadores de Retalhuleu,true,Medio,993,4294,Diario,Mixto
GT1102,Cultivo de Maíz en San Sebastián,Cooperativa Integral de Producción Agrícola de San Sebastián R.L.,false,Medio,635,389,Mayo-Noviembre,Autoconsumo
GT1102,Cultivo de Frijol en San Sebastián,,false,Bajo,277,116,Mayo-Septiembre,Autoconsumo
GT1102,Cultivo de Caña de Azúcar en San Sebastián,Asociación de Productores y Comercializadores de San Sebastián,true,Alto,762,4523,Noviembre-Marzo,Exportación
GT1102,Cultivo de Banano en San Sebastián,Asociación de Productores y Comercializadores de San Sebastián,true,Alto,1113,4961,Diario,Exportación
GT1102,Producción Ganadera en San Sebastián,Asociación de Productores y Comercializadores de San Sebastián,true,Alto,1441,2498,Diario,Exportación
GT1103,Cultivo de Maíz en Santa Cruz Muluá,Cooperativa Integral de Producción Agrícola de Santa Cruz Muluá R.L.,false,Medio,584,554,Mayo-Noviembre,Autoconsumo
GT1103,Cultivo de Frijol en Santa Cruz Muluá,,false,Bajo,604,83,Mayo-Septiembre,Autoconsumo
GT1103,Cultivo de Caña de Azúcar en Santa Cruz Muluá,Asociación de Productores y Comercializadores de Santa Cruz Muluá,true,Medio,841,3197,Noviembre-Marzo,Mercado Nacional
GT1103,Cultivo de Banano en Santa Cruz Muluá,Asociación de Productores y Comercializadores de Santa Cruz Muluá,true,Medio,553,2862,Diario,Mercado Nacional
GT1103,Producción Ganadera en Santa Cruz Muluá,Asociación de Productores y Comercializadores de Santa Cruz Muluá,true,Medio,1054,3755,Diario,Mercado Nacional
GT1104,Cultivo de Maíz en San Martín Zapotitlán,Cooperativa Integral de Producción Agrícola de San Martín Zapotitlán R.L.,false,Medio,936,449,Mayo-Noviembre,Autoconsumo
GT1104,Cultivo de Frijol en San Martín Zapotitlán,,false,Bajo,590,290,Mayo-Septiembre,Autoconsumo
GT1104,Cultivo de Caña de Azúcar en San Martín Zapotitlán,Asociación de Productores y Comercializadores de San Martín Zapotitlán,true,Alto,1060,1443,Noviembre-Marzo,Autoconsumo
GT1104,Cultivo de Banano en San Martín Zapotitlán,Asociación de Productores y Comercializadores de San Martín Zapotitlán,true,Alto,778,2931,Diario,Autoconsumo
GT1104,Producción Ganadera en San Martín Zapotitlán,Asociación de Productores y Comercializadores de San Martín Zapotitlán,true,Alto,351,3537,Diario,Autoconsumo
GT1105,Cultivo de Maíz en San Felipe,Cooperativa Integral de Producción Agrícola de San Felipe R.L.,false,Medio,1071,462,Mayo-Noviembre,Autoconsumo
GT1105,Cultivo de Frijol en San Felipe,,false,Bajo,426,245,Mayo-Septiembre,Autoconsumo
GT1105,Cultivo de Caña de Azúcar en San Felipe,Asociación de Productores y Comercializadores de San Felipe,true,Medio,429,3602,Noviembre-Marzo,Mixto
GT1105,Cultivo de Banano en San Felipe,Asociación de Productores y Comercializadores de San Felipe,true,Medio,1250,4724,Diario,Mixto
GT1105,Producción Ganadera en San Felipe,Asociación de Productores y Comercializadores de San Felipe,true,Medio,918,3659,Diario,Mixto
GT1106,Cultivo de Maíz en San Andrés Villa Seca,Cooperativa Integral de Producción Agrícola de San Andrés Villa Seca R.L.,false,Medio,1236,209,Mayo-Noviembre,Autoconsumo
GT1106,Cultivo de Frijol en San Andrés Villa Seca,,false,Bajo,343,91,Mayo-Septiembre,Autoconsumo
GT1106,Cultivo de Caña de Azúcar en San Andrés Villa Seca,Asociación de Productores y Comercializadores de San Andrés Villa Seca,true,Alto,376,2246,Noviembre-Marzo,Exportación
GT1106,Cultivo de Banano en San Andrés Villa Seca,Asociación de Productores y Comercializadores de San Andrés Villa Seca,true,Alto,1308,1475,Diario,Exportación
GT1106,Producción Ganadera en San Andrés Villa Seca,Asociación de Productores y Comercializadores de San Andrés Villa Seca,true,Alto,499,1961,Diario,Exportación
GT1107,Cultivo de Maíz en Champerico,Cooperativa Integral de Producción Agrícola de Champerico R.L.,false,Medio,1500,219,Mayo-Noviembre,Autoconsumo
GT1107,Cultivo de Frijol en Champerico,,false,Bajo,597,196,Mayo-Septiembre,Autoconsumo
GT1107,Cultivo de Caña de Azúcar en Champerico,Asociación de Productores y Comercializadores de Champerico,true,Medio,1059,3746,Noviembre-Marzo,Mercado Nacional
GT1107,Cultivo de Banano en Champerico,Asociación de Productores y Comercializadores de Champerico,true,Medio,1406,2716,Diario,Mercado Nacional
GT1107,Producción Ganadera en Champerico,Asociación de Productores y Comercializadores de Champerico,true,Medio,616,4626,Diario,Mercado Nacional
GT1108,Cultivo de Maíz en Nuevo San Carlos,Cooperativa Integral de Producción Agrícola de Nuevo San Carlos R.L.,false,Medio,1249,485,Mayo-Noviembre,Autoconsumo
GT1108,Cultivo de Frijol en Nuevo San Carlos,,false,Bajo,301,293,Mayo-Septiembre,Autoconsumo
GT1108,Cultivo de Caña de Azúcar en Nuevo San Carlos,Asociación de Productores y Comercializadores de Nuevo San Carlos,true,Alto,1302,3521,Noviembre-Marzo,Autoconsumo
GT1108,Cultivo de Banano en Nuevo San Carlos,Asociación de Productores y Comercializadores de Nuevo San Carlos,true,Alto,1135,4846,Diario,Autoconsumo
GT1108,Producción Ganadera en Nuevo San Carlos,Asociación de Productores y Comercializadores de Nuevo San Carlos,true,Alto,872,1134,Diario,Autoconsumo
GT1109,Cultivo de Maíz en El Asintal,Cooperativa Integral de Producción Agrícola de El Asintal R.L.,false,Medio,1158,261,Mayo-Noviembre,Autoconsumo
GT1109,Cultivo de Frijol en El Asintal,,false,Bajo,654,193,Mayo-Septiembre,Autoconsumo
GT1109,Cultivo de Caña de Azúcar en El Asintal,Asociación de Productores y Comercializadores de El Asintal,true,Medio,783,4503,Noviembre-Marzo,Mixto
GT1109,Cultivo de Banano en El Asintal,Asociación de Productores y Comercializadores de El Asintal,true,Medio,1042,1406,Diario,Mixto
GT1109,Producción Ganadera en El Asintal,Asociación de Productores y Comercializadores de El Asintal,true,Medio,1052,3230,Diario,Mixto
GT1201,Cultivo de Maíz en San Marcos,Cooperativa Integral de Producción Agrícola de San Marcos R.L.,false,Medio,1134,181,Mayo-Noviembre,Autoconsumo
GT1201,Cultivo de Frijol en San Marcos,,false,Bajo,607,150,Mayo-Septiembre,Autoconsumo
GT1201,Cultivo de Café en San Marcos,Cooperativa Integral de Producción Agrícola de San Marcos R.L.,true,Alto,688,4965,Noviembre-Marzo,Exportación
GT1201,Apicultura en San Marcos,Asociación de Productores y Comercializadores de San Marcos,true,Alto,550,4887,Diario,Exportación
GT1202,Cultivo de Maíz en San Pedro Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Pedro Sacatepéquez R.L.,false,Medio,1331,196,Mayo-Noviembre,Autoconsumo
GT1202,Cultivo de Frijol en San Pedro Sacatepéquez,,false,Bajo,417,244,Mayo-Septiembre,Autoconsumo
GT1202,Cultivo de Café en San Pedro Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Pedro Sacatepéquez R.L.,true,Medio,343,1207,Noviembre-Marzo,Mercado Nacional
GT1202,Apicultura en San Pedro Sacatepéquez,Asociación de Productores y Comercializadores de San Pedro Sacatepéquez,true,Medio,983,1997,Diario,Mercado Nacional
GT1203,Cultivo de Maíz en San Antonio Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Antonio Sacatepéquez R.L.,false,Medio,657,552,Mayo-Noviembre,Autoconsumo
GT1203,Cultivo de Frijol en San Antonio Sacatepéquez,,false,Bajo,778,132,Mayo-Septiembre,Autoconsumo
GT1203,Cultivo de Café en San Antonio Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Antonio Sacatepéquez R.L.,true,Alto,440,4398,Noviembre-Marzo,Autoconsumo
GT1203,Apicultura en San Antonio Sacatepéquez,Asociación de Productores y Comercializadores de San Antonio Sacatepéquez,true,Alto,1435,1848,Diario,Autoconsumo
GT1204,Cultivo de Maíz en Comitancillo,Cooperativa Integral de Producción Agrícola de Comitancillo R.L.,false,Medio,842,566,Mayo-Noviembre,Autoconsumo
GT1204,Cultivo de Frijol en Comitancillo,,false,Bajo,438,164,Mayo-Septiembre,Autoconsumo
GT1204,Cultivo de Café en Comitancillo,Cooperativa Integral de Producción Agrícola de Comitancillo R.L.,true,Medio,602,4230,Noviembre-Marzo,Mixto
GT1204,Apicultura en Comitancillo,Asociación de Productores y Comercializadores de Comitancillo,true,Medio,305,2135,Diario,Mixto
GT1205,Cultivo de Maíz en San Miguel Ixtahuacán,Cooperativa Integral de Producción Agrícola de San Miguel Ixtahuacán R.L.,false,Medio,696,216,Mayo-Noviembre,Autoconsumo
GT1205,Cultivo de Frijol en San Miguel Ixtahuacán,,false,Bajo,753,144,Mayo-Septiembre,Autoconsumo
GT1205,Cultivo de Café en San Miguel Ixtahuacán,Cooperativa Integral de Producción Agrícola de San Miguel Ixtahuacán R.L.,true,Alto,657,1450,Noviembre-Marzo,Exportación
GT1205,Apicultura en San Miguel Ixtahuacán,Asociación de Productores y Comercializadores de San Miguel Ixtahuacán,true,Alto,352,1539,Diario,Exportación
GT1206,Cultivo de Maíz en Concepción Tutuapa,Cooperativa Integral de Producción Agrícola de Concepción Tutuapa R.L.,false,Medio,430,333,Mayo-Noviembre,Autoconsumo
GT1206,Cultivo de Frijol en Concepción Tutuapa,,false,Bajo,443,230,Mayo-Septiembre,Autoconsumo
GT1206,Cultivo de Café en Concepción Tutuapa,Cooperativa Integral de Producción Agrícola de Concepción Tutuapa R.L.,true,Medio,963,1064,Noviembre-Marzo,Mercado Nacional
GT1206,Apicultura en Concepción Tutuapa,Asociación de Productores y Comercializadores de Concepción Tutuapa,true,Medio,656,2086,Diario,Mercado Nacional
GT1207,Cultivo de Maíz en Tacaná,Cooperativa Integral de Producción Agrícola de Tacaná R.L.,false,Medio,507,214,Mayo-Noviembre,Autoconsumo
GT1207,Cultivo de Frijol en Tacaná,,false,Bajo,631,214,Mayo-Septiembre,Autoconsumo
GT1207,Cultivo de Café en Tacaná,Cooperativa Integral de Producción Agrícola de Tacaná R.L.,true,Alto,532,4054,Noviembre-Marzo,Autoconsumo
GT1207,Apicultura en Tacaná,Asociación de Productores y Comercializadores de Tacaná,true,Alto,430,2950,Diario,Autoconsumo
GT1208,Cultivo de Maíz en Sibinal,Cooperativa Integral de Producción Agrícola de Sibinal R.L.,false,Medio,1318,548,Mayo-Noviembre,Autoconsumo
GT1208,Cultivo de Frijol en Sibinal,,false,Bajo,570,211,Mayo-Septiembre,Autoconsumo
GT1208,Cultivo de Café en Sibinal,Cooperativa Integral de Producción Agrícola de Sibinal R.L.,true,Medio,523,2851,Noviembre-Marzo,Mixto
GT1208,Apicultura en Sibinal,Asociación de Productores y Comercializadores de Sibinal,true,Medio,1331,1907,Diario,Mixto
GT1209,Cultivo de Maíz en Tajumulco,Cooperativa Integral de Producción Agrícola de Tajumulco R.L.,false,Medio,488,522,Mayo-Noviembre,Autoconsumo
GT1209,Cultivo de Frijol en Tajumulco,,false,Bajo,733,157,Mayo-Septiembre,Autoconsumo
GT1209,Cultivo de Café en Tajumulco,Cooperativa Integral de Producción Agrícola de Tajumulco R.L.,true,Alto,1238,3635,Noviembre-Marzo,Exportación
GT1209,Apicultura en Tajumulco,Asociación de Productores y Comercializadores de Tajumulco,true,Alto,363,1249,Diario,Exportación
GT1210,Cultivo de Maíz en Tejutla,Cooperativa Integral de Producción Agrícola de Tejutla R.L.,false,Medio,1380,583,Mayo-Noviembre,Autoconsumo
GT1210,Cultivo de Frijol en Tejutla,,false,Bajo,611,189,Mayo-Septiembre,Autoconsumo
GT1210,Cultivo de Café en Tejutla,Cooperativa Integral de Producción Agrícola de Tejutla R.L.,true,Medio,521,3008,Noviembre-Marzo,Mercado Nacional
GT1210,Apicultura en Tejutla,Asociación de Productores y Comercializadores de Tejutla,true,Medio,1208,1301,Diario,Mercado Nacional
GT1211,Cultivo de Maíz en San Rafael Pie de la Cuesta,Cooperativa Integral de Producción Agrícola de San Rafael Pie de la Cuesta R.L.,false,Medio,565,314,Mayo-Noviembre,Autoconsumo
GT1211,Cultivo de Frijol en San Rafael Pie de la Cuesta,,false,Bajo,351,96,Mayo-Septiembre,Autoconsumo
GT1211,Cultivo de Café en San Rafael Pie de la Cuesta,Cooperativa Integral de Producción Agrícola de San Rafael Pie de la Cuesta R.L.,true,Alto,558,2126,Noviembre-Marzo,Autoconsumo
GT1211,Apicultura en San Rafael Pie de la Cuesta,Asociación de Productores y Comercializadores de San Rafael Pie de la Cuesta,true,Alto,1498,3246,Diario,Autoconsumo
GT1212,Cultivo de Maíz en Nuevo Progreso,Cooperativa Integral de Producción Agrícola de Nuevo Progreso R.L.,false,Medio,1065,345,Mayo-Noviembre,Autoconsumo
GT1212,Cultivo de Frijol en Nuevo Progreso,,false,Bajo,743,155,Mayo-Septiembre,Autoconsumo
GT1212,Cultivo de Café en Nuevo Progreso,Cooperativa Integral de Producción Agrícola de Nuevo Progreso R.L.,true,Medio,1229,3070,Noviembre-Marzo,Mixto
GT1212,Apicultura en Nuevo Progreso,Asociación de Productores y Comercializadores de Nuevo Progreso,true,Medio,1181,1406,Diario,Mixto
GT1213,Cultivo de Maíz en El Tumbador,Cooperativa Integral de Producción Agrícola de El Tumbador R.L.,false,Medio,634,586,Mayo-Noviembre,Autoconsumo
GT1213,Cultivo de Frijol en El Tumbador,,false,Bajo,764,264,Mayo-Septiembre,Autoconsumo
GT1213,Cultivo de Café en El Tumbador,Cooperativa Integral de Producción Agrícola de El Tumbador R.L.,true,Alto,740,2761,Noviembre-Marzo,Exportación
GT1213,Apicultura en El Tumbador,Asociación de Productores y Comercializadores de El Tumbador,true,Alto,1224,4637,Diario,Exportación
GT1214,Cultivo de Maíz en El Rodeo,Cooperativa Integral de Producción Agrícola de El Rodeo R.L.,false,Medio,867,361,Mayo-Noviembre,Autoconsumo
GT1214,Cultivo de Frijol en El Rodeo,,false,Bajo,547,291,Mayo-Septiembre,Autoconsumo
GT1214,Cultivo de Café en El Rodeo,Cooperativa Integral de Producción Agrícola de El Rodeo R.L.,true,Medio,1228,2633,Noviembre-Marzo,Mercado Nacional
GT1214,Apicultura en El Rodeo,Asociación de Productores y Comercializadores de El Rodeo,true,Medio,1151,3988,Diario,Mercado Nacional
GT1215,Cultivo de Maíz en Malacatán,Cooperativa Integral de Producción Agrícola de Malacatán R.L.,false,Medio,594,310,Mayo-Noviembre,Autoconsumo
GT1215,Cultivo de Frijol en Malacatán,,false,Bajo,637,160,Mayo-Septiembre,Autoconsumo
GT1215,Cultivo de Café en Malacatán,Cooperativa Integral de Producción Agrícola de Malacatán R.L.,true,Alto,822,2533,Noviembre-Marzo,Autoconsumo
GT1215,Apicultura en Malacatán,Asociación de Productores y Comercializadores de Malacatán,true,Alto,612,3813,Diario,Autoconsumo
GT1216,Cultivo de Maíz en Catarina,Cooperativa Integral de Producción Agrícola de Catarina R.L.,false,Medio,1371,184,Mayo-Noviembre,Autoconsumo
GT1216,Cultivo de Frijol en Catarina,,false,Bajo,293,292,Mayo-Septiembre,Autoconsumo
GT1216,Cultivo de Café en Catarina,Cooperativa Integral de Producción Agrícola de Catarina R.L.,true,Medio,474,1381,Noviembre-Marzo,Mixto
GT1216,Apicultura en Catarina,Asociación de Productores y Comercializadores de Catarina,true,Medio,1184,1395,Diario,Mixto
GT1217,Cultivo de Maíz en Ayutla,Cooperativa Integral de Producción Agrícola de Ayutla R.L.,false,Medio,1163,565,Mayo-Noviembre,Autoconsumo
GT1217,Cultivo de Frijol en Ayutla,,false,Bajo,333,222,Mayo-Septiembre,Autoconsumo
GT1217,Cultivo de Café en Ayutla,Cooperativa Integral de Producción Agrícola de Ayutla R.L.,true,Alto,422,3402,Noviembre-Marzo,Exportación
GT1217,Apicultura en Ayutla,Asociación de Productores y Comercializadores de Ayutla,true,Alto,1450,3300,Diario,Exportación
GT1218,Cultivo de Maíz en Ocós,Cooperativa Integral de Producción Agrícola de Ocós R.L.,false,Medio,1075,493,Mayo-Noviembre,Autoconsumo
GT1218,Cultivo de Frijol en Ocós,,false,Bajo,325,185,Mayo-Septiembre,Autoconsumo
GT1218,Cultivo de Café en Ocós,Cooperativa Integral de Producción Agrícola de Ocós R.L.,true,Medio,1024,4578,Noviembre-Marzo,Mercado Nacional
GT1218,Apicultura en Ocós,Asociación de Productores y Comercializadores de Ocós,true,Medio,1166,4555,Diario,Mercado Nacional
GT1219,Cultivo de Maíz en San Pablo,Cooperativa Integral de Producción Agrícola de San Pablo R.L.,false,Medio,505,297,Mayo-Noviembre,Autoconsumo
GT1219,Cultivo de Frijol en San Pablo,,false,Bajo,519,170,Mayo-Septiembre,Autoconsumo
GT1219,Cultivo de Café en San Pablo,Cooperativa Integral de Producción Agrícola de San Pablo R.L.,true,Alto,512,3367,Noviembre-Marzo,Autoconsumo
GT1219,Apicultura en San Pablo,Asociación de Productores y Comercializadores de San Pablo,true,Alto,1339,1871,Diario,Autoconsumo
GT1220,Cultivo de Maíz en El Quetzal,Cooperativa Integral de Producción Agrícola de El Quetzal R.L.,false,Medio,716,486,Mayo-Noviembre,Autoconsumo
GT1220,Cultivo de Frijol en El Quetzal,,false,Bajo,693,137,Mayo-Septiembre,Autoconsumo
GT1220,Cultivo de Café en El Quetzal,Cooperativa Integral de Producción Agrícola de El Quetzal R.L.,true,Medio,521,2434,Noviembre-Marzo,Mixto
GT1220,Apicultura en El Quetzal,Asociación de Productores y Comercializadores de El Quetzal,true,Medio,1439,2505,Diario,Mixto
GT1221,Cultivo de Maíz en La Reforma,Cooperativa Integral de Producción Agrícola de La Reforma R.L.,false,Medio,635,540,Mayo-Noviembre,Autoconsumo
GT1221,Cultivo de Frijol en La Reforma,,false,Bajo,485,226,Mayo-Septiembre,Autoconsumo
GT1221,Cultivo de Café en La Reforma,Cooperativa Integral de Producción Agrícola de La Reforma R.L.,true,Alto,763,4306,Noviembre-Marzo,Exportación
GT1221,Apicultura en La Reforma,Asociación de Productores y Comercializadores de La Reforma,true,Alto,1178,4461,Diario,Exportación
GT1222,Cultivo de Maíz en Pajapita,Cooperativa Integral de Producción Agrícola de Pajapita R.L.,false,Medio,453,461,Mayo-Noviembre,Autoconsumo
GT1222,Cultivo de Frijol en Pajapita,,false,Bajo,473,87,Mayo-Septiembre,Autoconsumo
GT1222,Cultivo de Café en Pajapita,Cooperativa Integral de Producción Agrícola de Pajapita R.L.,true,Medio,669,2119,Noviembre-Marzo,Mercado Nacional
GT1222,Apicultura en Pajapita,Asociación de Productores y Comercializadores de Pajapita,true,Medio,932,4774,Diario,Mercado Nacional
GT1223,Cultivo de Maíz en Ixchiguán,Cooperativa Integral de Producción Agrícola de Ixchiguán R.L.,false,Medio,1095,329,Mayo-Noviembre,Autoconsumo
GT1223,Cultivo de Frijol en Ixchiguán,,false,Bajo,206,126,Mayo-Septiembre,Autoconsumo
GT1223,Cultivo de Café en Ixchiguán,Cooperativa Integral de Producción Agrícola de Ixchiguán R.L.,true,Alto,593,3319,Noviembre-Marzo,Autoconsumo
GT1223,Apicultura en Ixchiguán,Asociación de Productores y Comercializadores de Ixchiguán,true,Alto,1120,1285,Diario,Autoconsumo
GT1224,Cultivo de Maíz en San José Ojetenam,Cooperativa Integral de Producción Agrícola de San José Ojetenam R.L.,false,Medio,690,529,Mayo-Noviembre,Autoconsumo
GT1224,Cultivo de Frijol en San José Ojetenam,,false,Bajo,231,103,Mayo-Septiembre,Autoconsumo
GT1224,Cultivo de Café en San José Ojetenam,Cooperativa Integral de Producción Agrícola de San José Ojetenam R.L.,true,Medio,1386,1881,Noviembre-Marzo,Mixto
GT1224,Apicultura en San José Ojetenam,Asociación de Productores y Comercializadores de San José Ojetenam,true,Medio,1070,2719,Diario,Mixto
GT1225,Cultivo de Maíz en San Cristóbal Cucho,Cooperativa Integral de Producción Agrícola de San Cristóbal Cucho R.L.,false,Medio,1329,324,Mayo-Noviembre,Autoconsumo
GT1225,Cultivo de Frijol en San Cristóbal Cucho,,false,Bajo,361,174,Mayo-Septiembre,Autoconsumo
GT1225,Cultivo de Café en San Cristóbal Cucho,Cooperativa Integral de Producción Agrícola de San Cristóbal Cucho R.L.,true,Alto,938,3955,Noviembre-Marzo,Exportación
GT1225,Apicultura en San Cristóbal Cucho,Asociación de Productores y Comercializadores de San Cristóbal Cucho,true,Alto,964,4181,Diario,Exportación
GT1226,Cultivo de Maíz en Sipacapa,Cooperativa Integral de Producción Agrícola de Sipacapa R.L.,false,Medio,573,176,Mayo-Noviembre,Autoconsumo
GT1226,Cultivo de Frijol en Sipacapa,,false,Bajo,359,120,Mayo-Septiembre,Autoconsumo
GT1226,Cultivo de Café en Sipacapa,Cooperativa Integral de Producción Agrícola de Sipacapa R.L.,true,Medio,401,3760,Noviembre-Marzo,Mercado Nacional
GT1226,Apicultura en Sipacapa,Asociación de Productores y Comercializadores de Sipacapa,true,Medio,467,2114,Diario,Mercado Nacional
GT1227,Cultivo de Maíz en Esquipulas Palo Gordo,Cooperativa Integral de Producción Agrícola de Esquipulas Palo Gordo R.L.,false,Medio,1307,488,Mayo-Noviembre,Autoconsumo
GT1227,Cultivo de Frijol en Esquipulas Palo Gordo,,false,Bajo,634,204,Mayo-Septiembre,Autoconsumo
GT1227,Cultivo de Café en Esquipulas Palo Gordo,Cooperativa Integral de Producción Agrícola de Esquipulas Palo Gordo R.L.,true,Alto,1205,2696,Noviembre-Marzo,Autoconsumo
GT1227,Apicultura en Esquipulas Palo Gordo,Asociación de Productores y Comercializadores de Esquipulas Palo Gordo,true,Alto,859,1882,Diario,Autoconsumo
GT1228,Cultivo de Maíz en Río Blanco,Cooperativa Integral de Producción Agrícola de Río Blanco R.L.,false,Medio,1449,208,Mayo-Noviembre,Autoconsumo
GT1228,Cultivo de Frijol en Río Blanco,,false,Bajo,553,190,Mayo-Septiembre,Autoconsumo
GT1228,Cultivo de Café en Río Blanco,Cooperativa Integral de Producción Agrícola de Río Blanco R.L.,true,Medio,527,2160,Noviembre-Marzo,Mixto
GT1228,Apicultura en Río Blanco,Asociación de Productores y Comercializadores de Río Blanco,true,Medio,1296,3158,Diario,Mixto
GT1229,Cultivo de Maíz en San Lorenzo,Cooperativa Integral de Producción Agrícola de San Lorenzo R.L.,false,Medio,1031,173,Mayo-Noviembre,Autoconsumo
GT1229,Cultivo de Frijol en San Lorenzo,,false,Bajo,425,181,Mayo-Septiembre,Autoconsumo
GT1229,Cultivo de Café en San Lorenzo,Cooperativa Integral de Producción Agrícola de San Lorenzo R.L.,true,Alto,412,1031,Noviembre-Marzo,Exportación
GT1229,Apicultura en San Lorenzo,Asociación de Productores y Comercializadores de San Lorenzo,true,Alto,718,2234,Diario,Exportación
GT1230,Cultivo de Maíz en La Blanca,Cooperativa Integral de Producción Agrícola de La Blanca R.L.,false,Medio,832,542,Mayo-Noviembre,Autoconsumo
GT1230,Cultivo de Frijol en La Blanca,,false,Bajo,340,275,Mayo-Septiembre,Autoconsumo
GT1230,Cultivo de Café en La Blanca,Cooperativa Integral de Producción Agrícola de La Blanca R.L.,true,Medio,823,2185,Noviembre-Marzo,Mercado Nacional
GT1230,Apicultura en La Blanca,Asociación de Productores y Comercializadores de La Blanca,true,Medio,971,1491,Diario,Mercado Nacional
GT1301,Cultivo de Maíz en Huehuetenango,Cooperativa Integral de Producción Agrícola de Huehuetenango R.L.,false,Medio,415,404,Mayo-Noviembre,Autoconsumo
GT1301,Cultivo de Frijol en Huehuetenango,,false,Bajo,640,124,Mayo-Septiembre,Autoconsumo
GT1301,Cultivo de Café en Huehuetenango,Cooperativa Integral de Producción Agrícola de Huehuetenango R.L.,true,Alto,564,2557,Noviembre-Marzo,Autoconsumo
GT1301,Apicultura en Huehuetenango,Asociación de Productores y Comercializadores de Huehuetenango,true,Alto,1390,3882,Diario,Autoconsumo
GT1302,Cultivo de Maíz en Chiantla,Cooperativa Integral de Producción Agrícola de Chiantla R.L.,false,Medio,871,406,Mayo-Noviembre,Autoconsumo
GT1302,Cultivo de Frijol en Chiantla,,false,Bajo,772,293,Mayo-Septiembre,Autoconsumo
GT1302,Cultivo de Café en Chiantla,Cooperativa Integral de Producción Agrícola de Chiantla R.L.,true,Medio,1025,1295,Noviembre-Marzo,Mixto
GT1302,Apicultura en Chiantla,Asociación de Productores y Comercializadores de Chiantla,true,Medio,1113,4529,Diario,Mixto
GT1303,Cultivo de Maíz en Malacatancito,Cooperativa Integral de Producción Agrícola de Malacatancito R.L.,false,Medio,486,373,Mayo-Noviembre,Autoconsumo
GT1303,Cultivo de Frijol en Malacatancito,,false,Bajo,219,197,Mayo-Septiembre,Autoconsumo
GT1303,Cultivo de Café en Malacatancito,Cooperativa Integral de Producción Agrícola de Malacatancito R.L.,true,Alto,459,4531,Noviembre-Marzo,Exportación
GT1303,Apicultura en Malacatancito,Asociación de Productores y Comercializadores de Malacatancito,true,Alto,941,3358,Diario,Exportación
GT1304,Cultivo de Maíz en Cuilco,Cooperativa Integral de Producción Agrícola de Cuilco R.L.,false,Medio,1279,443,Mayo-Noviembre,Autoconsumo
GT1304,Cultivo de Frijol en Cuilco,,false,Bajo,614,261,Mayo-Septiembre,Autoconsumo
GT1304,Cultivo de Café en Cuilco,Cooperativa Integral de Producción Agrícola de Cuilco R.L.,true,Medio,1155,2185,Noviembre-Marzo,Mercado Nacional
GT1304,Apicultura en Cuilco,Asociación de Productores y Comercializadores de Cuilco,true,Medio,535,2659,Diario,Mercado Nacional
GT1305,Cultivo de Maíz en Nentón,Cooperativa Integral de Producción Agrícola de Nentón R.L.,false,Medio,442,316,Mayo-Noviembre,Autoconsumo
GT1305,Cultivo de Frijol en Nentón,,false,Bajo,375,285,Mayo-Septiembre,Autoconsumo
GT1305,Cultivo de Café en Nentón,Cooperativa Integral de Producción Agrícola de Nentón R.L.,true,Alto,1242,4407,Noviembre-Marzo,Autoconsumo
GT1305,Apicultura en Nentón,Asociación de Productores y Comercializadores de Nentón,true,Alto,1041,1360,Diario,Autoconsumo
GT1306,Cultivo de Maíz en San Pedro Necta,Cooperativa Integral de Producción Agrícola de San Pedro Necta R.L.,false,Medio,1294,582,Mayo-Noviembre,Autoconsumo
GT1306,Cultivo de Frijol en San Pedro Necta,,false,Bajo,308,142,Mayo-Septiembre,Autoconsumo
GT1306,Cultivo de Café en San Pedro Necta,Cooperativa Integral de Producción Agrícola de San Pedro Necta R.L.,true,Medio,1192,3412,Noviembre-Marzo,Mixto
GT1306,Apicultura en San Pedro Necta,Asociación de Productores y Comercializadores de San Pedro Necta,true,Medio,1120,3146,Diario,Mixto
GT1307,Cultivo de Maíz en Jacaltenango,Cooperativa Integral de Producción Agrícola de Jacaltenango R.L.,false,Medio,561,352,Mayo-Noviembre,Autoconsumo
GT1307,Cultivo de Frijol en Jacaltenango,,false,Bajo,517,270,Mayo-Septiembre,Autoconsumo
GT1307,Cultivo de Café en Jacaltenango,Cooperativa Integral de Producción Agrícola de Jacaltenango R.L.,true,Alto,995,1907,Noviembre-Marzo,Exportación
GT1307,Apicultura en Jacaltenango,Asociación de Productores y Comercializadores de Jacaltenango,true,Alto,982,4191,Diario,Exportación
GT1308,Cultivo de Maíz en Soloma,Cooperativa Integral de Producción Agrícola de Soloma R.L.,false,Medio,744,189,Mayo-Noviembre,Autoconsumo
