nombre,categoria,descripcion
Cultivo de Maíz en San Sebastián,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Sebastián, departamento de Retalhuleu."
Cultivo de Frijol en San Sebastián,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Sebastián, departamento de Retalhuleu."
Cultivo de Caña de Azúcar en San Sebastián,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de San Sebastián, Retalhuleu."
Cultivo de Banano en San Sebastián,Agrícola,"Producción de banano y plátano para exportación en San Sebastián, Retalhuleu."
Producción Ganadera en San Sebastián,Pecuaria,"Crianza de ganado vacuno de doble propósito en San Sebastián, Retalhuleu."
Cultivo de Maíz en Santa Cruz Muluá,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Cruz Muluá, departamento de Retalhuleu."
Cultivo de Frijol en Santa Cruz Muluá,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Cruz Muluá, departamento de Retalhuleu."
Cultivo de Caña de Azúcar en Santa Cruz Muluá,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de Santa Cruz Muluá, Retalhuleu."
Cultivo de Banano en Santa Cruz Muluá,Agrícola,"Producción de banano y plátano para exportación en Santa Cruz Muluá, Retalhuleu."
Producción Ganadera en Santa Cruz Muluá,Pecuaria,"Crianza de ganado vacuno de doble propósito en Santa Cruz Muluá, Retalhuleu."
Cultivo de Maíz en San Martín Zapotitlán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Martín Zapotitlán, departamento de Retalhuleu."
Cultivo de Frijol en San Martín Zapotitlán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Martín Zapotitlán, departamento de Retalhuleu."
Cultivo de Caña de Azúcar en San Martín Zapotitlán,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de San Martín Zapotitlán, Retalhuleu."
Cultivo de Banano en San Martín Zapotitlán,Agrícola,"Producción de banano y plátano para exportación en San Martín Zapotitlán, Retalhuleu."
Producción Ganadera en San Martín Zapotitlán,Pecuaria,"Crianza de ganado vacuno de doble propósito en San Martín Zapotitlán, Retalhuleu."
Cultivo de Maíz en San Felipe,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Felipe, departamento de Retalhuleu."
Cultivo de Frijol en San Felipe,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Felipe, departamento de Retalhuleu."
Cultivo de Caña de Azúcar en San Felipe,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de San Felipe, Retalhuleu."
Cultivo de Banano en San Felipe,Agrícola,"Producción de banano y plátano para exportación en San Felipe, Retalhuleu."
Producción Ganadera en San Felipe,Pecuaria,"Crianza de ganado vacuno de doble propósito en San Felipe, Retalhuleu."
Cultivo de Maíz en San Andrés Villa Seca,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Andrés Villa Seca, departamento de Retalhuleu."
Cultivo de Frijol en San Andrés Villa Seca,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Andrés Villa Seca, departamento de Retalhuleu."
Cultivo de Caña de Azúcar en San Andrés Villa Seca,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de San Andrés Villa Seca, Retalhuleu."
Cultivo de Banano en San Andrés Villa Seca,Agrícola,"Producción de banano y plátano para exportación en San Andrés Villa Seca, Retalhuleu."
Producción Ganadera en San Andrés Villa Seca,Pecuaria,"Crianza de ganado vacuno de doble propósito en San Andrés Villa Seca, Retalhuleu."
Cultivo de Maíz en Champerico,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Champerico, departamento de Retalhuleu."
Cultivo de Frijol en Champerico,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Champerico, departamento de Retalhuleu."
Cultivo de Caña de Azúcar en Champerico,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de Champerico, Retalhuleu."
Cultivo de Banano en Champerico,Agrícola,"Producción de banano y plátano para exportación en Champerico, Retalhuleu."
Producción Ganadera en Champerico,Pecuaria,"Crianza de ganado vacuno de doble propósito en Champerico, Retalhuleu."
Cultivo de Maíz en Nuevo San Carlos,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Nuevo San Carlos, departamento de Retalhuleu."
Cultivo de Frijol en Nuevo San Carlos,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Nuevo San Carlos, departamento de Retalhuleu."
Cultivo de Caña de Azúcar en Nuevo San Carlos,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de Nuevo San Carlos, Retalhuleu."
Cultivo de Banano en Nuevo San Carlos,Agrícola,"Producción de banano y plátano para exportación en Nuevo San Carlos, Retalhuleu."
Producción Ganadera en Nuevo San Carlos,Pecuaria,"Crianza de ganado vacuno de doble propósito en Nuevo San Carlos, Retalhuleu."
Cultivo de Maíz en El Asintal,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de El Asintal, departamento de Retalhuleu."
Cultivo de Frijol en El Asintal,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de El Asintal, departamento de Retalhuleu."
Cultivo de Caña de Azúcar en El Asintal,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de El Asintal, Retalhuleu."
Cultivo de Banano en El Asintal,Agrícola,"Producción de banano y plátano para exportación en El Asintal, Retalhuleu."
Producción Ganadera en El Asintal,Pecuaria,"Crianza de ganado vacuno de doble propósito en El Asintal, Retalhuleu."
Cultivo de Maíz en San Marcos,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Marcos, departamento de San Marcos."
Cultivo de Frijol en San Marcos,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Marcos, departamento de San Marcos."
Cultivo de Café en San Marcos,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Marcos, San Marcos."
Apicultura en San Marcos,Agrícola,"Producción de miel de abeja y cera en San Marcos, San Marcos."
Cultivo de Maíz en San Pedro Sacatepéquez,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Pedro Sacatepéquez, departamento de San Marcos."
Cultivo de Frijol en San Pedro Sacatepéquez,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Pedro Sacatepéquez, departamento de San Marcos."
Cultivo de Café en San Pedro Sacatepéquez,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Pedro Sacatepéquez, San Marcos."
Apicultura en San Pedro Sacatepéquez,Agrícola,"Producción de miel de abeja y cera en San Pedro Sacatepéquez, San Marcos."
Cultivo de Maíz en San Antonio Sacatepéquez,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Antonio Sacatepéquez, departamento de San Marcos."
Cultivo de Frijol en San Antonio Sacatepéquez,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Antonio Sacatepéquez, departamento de San Marcos."
Cultivo de Café en San Antonio Sacatepéquez,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Antonio Sacatepéquez, San Marcos."
Apicultura en San Antonio Sacatepéquez,Agrícola,"Producción de miel de abeja y cera en San Antonio Sacatepéquez, San Marcos."
Cultivo de Maíz en Comitancillo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Comitancillo, departamento de San Marcos."
Cultivo de Frijol en Comitancillo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Comitancillo, departamento de San Marcos."
Cultivo de Café en Comitancillo,Agrícola,"Producción de café especial de altura en el municipio montañoso de Comitancillo, San Marcos."
Apicultura en Comitancillo,Agrícola,"Producción de miel de abeja y cera en Comitancillo, San Marcos."
Cultivo de Maíz en San Miguel Ixtahuacán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Miguel Ixtahuacán, departamento de San Marcos."
Cultivo de Frijol en San Miguel Ixtahuacán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Miguel Ixtahuacán, departamento de San Marcos."
Cultivo de Café en San Miguel Ixtahuacán,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Miguel Ixtahuacán, San Marcos."
Apicultura en San Miguel Ixtahuacán,Agrícola,"Producción de miel de abeja y cera en San Miguel Ixtahuacán, San Marcos."
Cultivo de Maíz en Concepción Tutuapa,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Concepción Tutuapa, departamento de San Marcos."
Cultivo de Frijol en Concepción Tutuapa,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Concepción Tutuapa, departamento de San Marcos."
Cultivo de Café en Concepción Tutuapa,Agrícola,"Producción de café especial de altura en el municipio montañoso de Concepción Tutuapa, San Marcos."
Apicultura en Concepción Tutuapa,Agrícola,"Producción de miel de abeja y cera en Concepción Tutuapa, San Marcos."
Cultivo de Maíz en Tacaná,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Tacaná, departamento de San Marcos."
Cultivo de Frijol en Tacaná,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Tacaná, departamento de San Marcos."
Cultivo de Café en Tacaná,Agrícola,"Producción de café especial de altura en el municipio montañoso de Tacaná, San Marcos."
Apicultura en Tacaná,Agrícola,"Producción de miel de abeja y cera en Tacaná, San Marcos."
Cultivo de Maíz en Sibinal,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Sibinal, departamento de San Marcos."
Cultivo de Frijol en Sibinal,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Sibinal, departamento de San Marcos."
Cultivo de Café en Sibinal,Agrícola,"Producción de café especial de altura en el municipio montañoso de Sibinal, San Marcos."
Apicultura en Sibinal,Agrícola,"Producción de miel de abeja y cera en Sibinal, San Marcos."
Cultivo de Maíz en Tajumulco,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Tajumulco, departamento de San Marcos."
Cultivo de Frijol en Tajumulco,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Tajumulco, departamento de San Marcos."
Cultivo de Café en Tajumulco,Agrícola,"Producción de café especial de altura en el municipio montañoso de Tajumulco, San Marcos."
Apicultura en Tajumulco,Agrícola,"Producción de miel de abeja y cera en Tajumulco, San Marcos."
Cultivo de Maíz en Tejutla,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Tejutla, departamento de San Marcos."
Cultivo de Frijol en Tejutla,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Tejutla, departamento de San Marcos."
Cultivo de Café en Tejutla,Agrícola,"Producción de café especial de altura en el municipio montañoso de Tejutla, San Marcos."
Apicultura en Tejutla,Agrícola,"Producción de miel de abeja y cera en Tejutla, San Marcos."
Cultivo de Maíz en San Rafael Pie de la Cuesta,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Rafael Pie de la Cuesta, departamento de San Marcos."
Cultivo de Frijol en San Rafael Pie de la Cuesta,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Rafael Pie de la Cuesta, departamento de San Marcos."
Cultivo de Café en San Rafael Pie de la Cuesta,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Rafael Pie de la Cuesta, San Marcos."
Apicultura en San Rafael Pie de la Cuesta,Agrícola,"Producción de miel de abeja y cera en San Rafael Pie de la Cuesta, San Marcos."
Cultivo de Maíz en Nuevo Progreso,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Nuevo Progreso, departamento de San Marcos."
Cultivo de Frijol en Nuevo Progreso,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Nuevo Progreso, departamento de San Marcos."
Cultivo de Café en Nuevo Progreso,Agrícola,"Producción de café especial de altura en el municipio montañoso de Nuevo Progreso, San Marcos."
Apicultura en Nuevo Progreso,Agrícola,"Producción de miel de abeja y cera en Nuevo Progreso, San Marcos."
Cultivo de Maíz en El Tumbador,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de El Tumbador, departamento de San Marcos."
Cultivo de Frijol en El Tumbador,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de El Tumbador, departamento de San Marcos."
Cultivo de Café en El Tumbador,Agrícola,"Producción de café especial de altura en el municipio montañoso de El Tumbador, San Marcos."
Apicultura en El Tumbador,Agrícola,"Producción de miel de abeja y cera en El Tumbador, San Marcos."
Cultivo de Maíz en El Rodeo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de El Rodeo, departamento de San Marcos."
Cultivo de Frijol en El Rodeo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de El Rodeo, departamento de San Marcos."
Cultivo de Café en El Rodeo,Agrícola,"Producción de café especial de altura en el municipio montañoso de El Rodeo, San Marcos."
Apicultura en El Rodeo,Agrícola,"Producción de miel de abeja y cera en El Rodeo, San Marcos."
Cultivo de Maíz en Malacatán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Malacatán, departamento de San Marcos."
Cultivo de Frijol en Malacatán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Malacatán, departamento de San Marcos."
Cultivo de Café en Malacatán,Agrícola,"Producción de café especial de altura en el municipio montañoso de Malacatán, San Marcos."
Apicultura en Malacatán,Agrícola,"Producción de miel de abeja y cera en Malacatán, San Marcos."
Cultivo de Maíz en Catarina,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Catarina, departamento de San Marcos."
Cultivo de Frijol en Catarina,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Catarina, departamento de San Marcos."
Cultivo de Café en Catarina,Agrícola,"Producción de café especial de altura en el municipio montañoso de Catarina, San Marcos."
Apicultura en Catarina,Agrícola,"Producción de miel de abeja y cera en Catarina, San Marcos."
Cultivo de Maíz en Ayutla,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Ayutla, departamento de San Marcos."
Cultivo de Frijol en Ayutla,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Ayutla, departamento de San Marcos."
Cultivo de Café en Ayutla,Agrícola,"Producción de café especial de altura en el municipio montañoso de Ayutla, San Marcos."
Apicultura en Ayutla,Agrícola,"Producción de miel de abeja y cera en Ayutla, San Marcos."
Cultivo de Maíz en Ocós,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Ocós, departamento de San Marcos."
Cultivo de Frijol en Ocós,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Ocós, departamento de San Marcos."
Cultivo de Café en Ocós,Agrícola,"Producción de café especial de altura en el municipio montañoso de Ocós, San Marcos."
Apicultura en Ocós,Agrícola,"Producción de miel de abeja y cera en Ocós, San Marcos."
Cultivo de Maíz en San Pablo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Pablo, departamento de San Marcos."
Cultivo de Frijol en San Pablo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Pablo, departamento de San Marcos."
Cultivo de Café en San Pablo,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Pablo, San Marcos."
Apicultura en San Pablo,Agrícola,"Producción de miel de abeja y cera en San Pablo, San Marcos."
Cultivo de Maíz en El Quetzal,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de El Quetzal, departamento de San Marcos."
Cultivo de Frijol en El Quetzal,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de El Quetzal, departamento de San Marcos."
Cultivo de Café en El Quetzal,Agrícola,"Producción de café especial de altura en el municipio montañoso de El Quetzal, San Marcos."
Apicultura en El Quetzal,Agrícola,"Producción de miel de abeja y cera en El Quetzal, San Marcos."
Cultivo de Maíz en La Reforma,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de La Reforma, departamento de San Marcos."
Cultivo de Frijol en La Reforma,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de La Reforma, departamento de San Marcos."
Cultivo de Café en La Reforma,Agrícola,"Producción de café especial de altura en el municipio montañoso de La Reforma, San Marcos."
Apicultura en La Reforma,Agrícola,"Producción de miel de abeja y cera en La Reforma, San Marcos."
Cultivo de Maíz en Pajapita,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Pajapita, departamento de San Marcos."
Cultivo de Frijol en Pajapita,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Pajapita, departamento de San Marcos."
Cultivo de Café en Pajapita,Agrícola,"Producción de café especial de altura en el municipio montañoso de Pajapita, San Marcos."
Apicultura en Pajapita,Agrícola,"Producción de miel de abeja y cera en Pajapita, San Marcos."
Cultivo de Maíz en Ixchiguán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Ixchiguán, departamento de San Marcos."
Cultivo de Frijol en Ixchiguán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Ixchiguán, departamento de San Marcos."
Cultivo de Café en Ixchiguán,Agrícola,"Producción de café especial de altura en el municipio montañoso de Ixchiguán, San Marcos."
Apicultura en Ixchiguán,Agrícola,"Producción de miel de abeja y cera en Ixchiguán, San Marcos."
Cultivo de Maíz en San José Ojetenam,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San José Ojetenam, departamento de San Marcos."
Cultivo de Frijol en San José Ojetenam,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San José Ojetenam, departamento de San Marcos."
Cultivo de Café en San José Ojetenam,Agrícola,"Producción de café especial de altura en el municipio montañoso de San José Ojetenam, San Marcos."
Apicultura en San José Ojetenam,Agrícola,"Producción de miel de abeja y cera en San José Ojetenam, San Marcos."
Cultivo de Maíz en San Cristóbal Cucho,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Cristóbal Cucho, departamento de San Marcos."
Cultivo de Frijol en San Cristóbal Cucho,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Cristóbal Cucho, departamento de San Marcos."
Cultivo de Café en San Cristóbal Cucho,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Cristóbal Cucho, San Marcos."
Apicultura en San Cristóbal Cucho,Agrícola,"Producción de miel de abeja y cera en San Cristóbal Cucho, San Marcos."
Cultivo de Maíz en Sipacapa,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Sipacapa, departamento de San Marcos."
Cultivo de Frijol en Sipacapa,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Sipacapa, departamento de San Marcos."
Cultivo de Café en Sipacapa,Agrícola,"Producción de café especial de altura en el municipio montañoso de Sipacapa, San Marcos."
Apicultura en Sipacapa,Agrícola,"Producción de miel de abeja y cera en Sipacapa, San Marcos."
Cultivo de Maíz en Esquipulas Palo Gordo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Esquipulas Palo Gordo, departamento de San Marcos."
Cultivo de Frijol en Esquipulas Palo Gordo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Esquipulas Palo Gordo, departamento de San Marcos."
Cultivo de Café en Esquipulas Palo Gordo,Agrícola,"Producción de café especial de altura en el municipio montañoso de Esquipulas Palo Gordo, San Marcos."
Apicultura en Esquipulas Palo Gordo,Agrícola,"Producción de miel de abeja y cera en Esquipulas Palo Gordo, San Marcos."
Cultivo de Maíz en Río Blanco,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Río Blanco, departamento de San Marcos."
Cultivo de Frijol en Río Blanco,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Río Blanco, departamento de San Marcos."
Cultivo de Café en Río Blanco,Agrícola,"Producción de café especial de altura en el municipio montañoso de Río Blanco, San Marcos."
Apicultura en Río Blanco,Agrícola,"Producción de miel de abeja y cera en Río Blanco, San Marcos."
Cultivo de Maíz en San Lorenzo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Lorenzo, departamento de San Marcos."
Cultivo de Frijol en San Lorenzo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Lorenzo, departamento de San Marcos."
Cultivo de Café en San Lorenzo,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Lorenzo, San Marcos."
Apicultura en San Lorenzo,Agrícola,"Producción de miel de abeja y cera en San Lorenzo, San Marcos."
Cultivo de Maíz en La Blanca,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de La Blanca, departamento de San Marcos."
Cultivo de Frijol en La Blanca,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de La Blanca, departamento de San Marcos."
Cultivo de Café en La Blanca,Agrícola,"Producción de café especial de altura en el municipio montañoso de La Blanca, San Marcos."
Apicultura en La Blanca,Agrícola,"Producción de miel de abeja y cera en La Blanca, San Marcos."
Cultivo de Maíz en Huehuetenango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Huehuetenango, departamento de Huehuetenango."
Cultivo de Frijol en Huehuetenango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Huehuetenango, departamento de Huehuetenango."
Cultivo de Café en Huehuetenango,Agrícola,"Producción de café especial de altura en el municipio montañoso de Huehuetenango, Huehuetenango."
Apicultura en Huehuetenango,Agrícola,"Producción de miel de abeja y cera en Huehuetenango, Huehuetenango."
Cultivo de Maíz en Chiantla,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Chiantla, departamento de Huehuetenango."
Cultivo de Frijol en Chiantla,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Chiantla, departamento de Huehuetenango."
Cultivo de Café en Chiantla,Agrícola,"Producción de café especial de altura en el municipio montañoso de Chiantla, Huehuetenango."
Apicultura en Chiantla,Agrícola,"Producción de miel de abeja y cera en Chiantla, Huehuetenango."
Cultivo de Maíz en Malacatancito,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Malacatancito, departamento de Huehuetenango."
Cultivo de Frijol en Malacatancito,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Malacatancito, departamento de Huehuetenango."
Cultivo de Café en Malacatancito,Agrícola,"Producción de café especial de altura en el municipio montañoso de Malacatancito, Huehuetenango."
Apicultura en Malacatancito,Agrícola,"Producción de miel de abeja y cera en Malacatancito, Huehuetenango."
Cultivo de Maíz en Cuilco,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Cuilco, departamento de Huehuetenango."
Cultivo de Frijol en Cuilco,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Cuilco, departamento de Huehuetenango."
Cultivo de Café en Cuilco,Agrícola,"Producción de café especial de altura en el municipio montañoso de Cuilco, Huehuetenango."
Apicultura en Cuilco,Agrícola,"Producción de miel de abeja y cera en Cuilco, Huehuetenango."
Cultivo de Maíz en Nentón,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Nentón, departamento de Huehuetenango."
Cultivo de Frijol en Nentón,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Nentón, departamento de Huehuetenango."
Cultivo de Café en Nentón,Agrícola,"Producción de café especial de altura en el municipio montañoso de Nentón, Huehuetenango."
Apicultura en Nentón,Agrícola,"Producción de miel de abeja y cera en Nentón, Huehuetenango."
Cultivo de Maíz en San Pedro Necta,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Pedro Necta, departamento de Huehuetenango."
Cultivo de Frijol en San Pedro Necta,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Pedro Necta, departamento de Huehuetenango."
Cultivo de Café en San Pedro Necta,Agrícola,"Producción de café especial de altura en el municipio montañoso de San Pedro Necta, Huehuetenango."
Apicultura en San Pedro Necta,Agrícola,"Producción de miel de abeja y cera en San Pedro Necta, Huehuetenango."
Cultivo de Maíz en Jacaltenango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Jacaltenango, departamento de Huehuetenango."
Cultivo de Frijol en Jacaltenango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Jacaltenango, departamento de Huehuetenango."
Cultivo de Café en Jacaltenango,Agrícola,"Producción de café especial de altura en el municipio montañoso de Jacaltenango, Huehuetenango."
Apicultura en Jacaltenango,Agrícola,"Producción de miel de abeja y cera en Jacaltenango, Huehuetenango."
Cultivo de Maíz en Soloma,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Soloma, departamento de Huehuetenango."
Cultivo de Frijol en Soloma,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Soloma, departamento de Huehuetenango."
Cultivo de Café en Soloma,Agrícola,"Producción de café especial de altura en el municipio montañoso de Soloma, Huehuetenango."
Apicultura en Soloma,Agrícola,"Producción de miel de abeja y cera en Soloma, Huehuetenango."
Cultivo de Maíz en Ixtahuacán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Ixtahuacán, departamento de Huehuetenango."
Cultivo de Frijol en Ixtahuacán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Ixtahuacán, departamento de Huehuetenango."
Cultivo de Café en Ixtahuacán,Agrícola,"Producción de café especial de altura en el municipio montañoso de Ixtahuacán, Huehuetenango."
Apicultura en Ixtahuacán,Agrícola,"Producción de miel de abeja y cera en Ixtahuacán, Huehuetenango."
Cultivo de Maíz en Santa Bárbara,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Bárbara, departamento de Huehuetenango."
Cultivo de Frijol en Santa Bárbara,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Bárbara, departamento de Huehuetenango."
Cultivo de Café en Santa Bárbara,Agrícola,"Producción de café especial de altura en el municipio montañoso de Santa Bárbara, Huehuetenango."
Apicultura en Santa Bárbara,Agrícola,"Producción de miel de abeja y cera en Santa Bárbara, Huehuetenango."
Cultivo de Maíz en La Libertad,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de La Libertad, departamento de Huehuetenango."
Cultivo de Frijol en La Libertad,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de La Libertad, departamento de Huehuetenango."
Cultivo de Café en La Libertad,Agrícola,"Producción de café especial de altura en el municipio montañoso de La Libertad, Huehuetenango."
Apicultura en La Libertad,Agrícola,"Producción de miel de abeja y cera en La Libertad, Huehuetenango."
Cultivo de Maíz en La Democracia,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de La Democracia, departamento de Huehuetenango."
Cultivo de Frijol en La Democracia,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de La Democracia, departamento de Huehuetenango."
Cultivo de Café en La Democracia,Agrícola,"Producción de café especial de altura en el municipio montañoso de La Democracia, Huehuetenango."
Apicultura en La Democracia,Agrícola,"Producción de miel de abeja y cera en La Democracia, Huehuetenango."
Cultivo de Maíz en San Miguel Acatán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Miguel Acatán, departamento de Huehuetenango."
Cultivo de Frijol en San Miguel Acatán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Miguel Acatán, departamento de Huehuetenango."
