nombre,municipio_pcode,dias_plaza,tipo_mercado,cantidad_vendedores_est,latitud,longitud,descripcion
Mercado Municipal Central de Santa María Chiquimula,GT0806,Diario,Cantonal/Municipal,1295,14.683400,-90.568300,Mercado municipal de abastos y comercio cotidiano de Santa María Chiquimula.
Mercado Cantonal de Santa María Chiquimula,GT0806,Jueves y Domingos,Mixto,437,14.686400,-90.571300,Plaza y mercado cantonal de comercio vecinal en Santa María Chiquimula.
Mercado de Productores y Artesanos de Santa María Chiquimula,GT0806,Sábados,Mayorista,529,14.680400,-90.565300,Mercado de productores locales para venta al por mayor en Santa María Chiquimula.
Mercado Municipal Central de Santa Lucía La Reforma,GT0807,Diario,Cantonal/Municipal,555,14.688400,-90.573300,Mercado municipal de abastos y comercio cotidiano de Santa Lucía La Reforma.
Mercado Cantonal de Santa Lucía La Reforma,GT0807,Jueves y Domingos,Artesanal,548,14.691400,-90.576300,Plaza y mercado cantonal de comercio vecinal en Santa Lucía La Reforma.
Mercado de Productores y Artesanos de Santa Lucía La Reforma,GT0807,Sábados,Artesanal,409,14.685400,-90.570300,Mercado de productores locales para venta al por mayor en Santa Lucía La Reforma.
Mercado Municipal Central de San Bartolo,GT0808,Diario,Cantonal/Municipal,1212,14.693400,-90.578300,Mercado municipal de abastos y comercio cotidiano de San Bartolo.
Mercado Cantonal de San Bartolo,GT0808,Jueves y Domingos,Mayorista,534,14.696400,-90.581300,Plaza y mercado cantonal de comercio vecinal en San Bartolo.
Mercado de Productores y Artesanos de San Bartolo,GT0808,Sábados,Mayorista,115,14.690400,-90.575300,Mercado de productores locales para venta al por mayor en San Bartolo.
Mercado Municipal Central de Quetzaltenango,GT0901,Diario,Cantonal/Municipal,959,14.904700,-91.588100,Mercado municipal de abastos y comercio cotidiano de Quetzaltenango.
Mercado Cantonal de Quetzaltenango,GT0901,Jueves y Domingos,Cantonal/Municipal,661,14.907700,-91.591100,Plaza y mercado cantonal de comercio vecinal en Quetzaltenango.
Mercado de Productores y Artesanos de Quetzaltenango,GT0901,Sábados,Artesanal,351,14.901700,-91.585100,Mercado de productores locales para venta al por mayor en Quetzaltenango.
Mercado Municipal Central de Salcajá,GT0902,Diario,Cantonal/Municipal,867,14.703400,-90.588300,Mercado municipal de abastos y comercio cotidiano de Salcajá.
Mercado Cantonal de Salcajá,GT0902,Jueves y Domingos,Mixto,564,14.706400,-90.591300,Plaza y mercado cantonal de comercio vecinal en Salcajá.
Mercado de Productores y Artesanos de Salcajá,GT0902,Sábados,Mayorista,383,14.700400,-90.585300,Mercado de productores locales para venta al por mayor en Salcajá.
Mercado Municipal Central de Olintepeque,GT0903,Diario,Cantonal/Municipal,1168,14.708400,-90.593300,Mercado municipal de abastos y comercio cotidiano de Olintepeque.
Mercado Cantonal de Olintepeque,GT0903,Jueves y Domingos,Artesanal,642,14.711400,-90.596300,Plaza y mercado cantonal de comercio vecinal en Olintepeque.
Mercado de Productores y Artesanos de Olintepeque,GT0903,Sábados,Artesanal,195,14.705400,-90.590300,Mercado de productores locales para venta al por mayor en Olintepeque.
Mercado Municipal Central de San Carlos Sija,GT0904,Diario,Cantonal/Municipal,1178,14.713400,-90.598300,Mercado municipal de abastos y comercio cotidiano de San Carlos Sija.
Mercado Cantonal de San Carlos Sija,GT0904,Jueves y Domingos,Mayorista,287,14.716400,-90.601300,Plaza y mercado cantonal de comercio vecinal en San Carlos Sija.
Mercado de Productores y Artesanos de San Carlos Sija,GT0904,Sábados,Mayorista,495,14.710400,-90.595300,Mercado de productores locales para venta al por mayor en San Carlos Sija.
Mercado Municipal Central de Sibilia,GT0905,Diario,Cantonal/Municipal,1004,14.718400,-90.603300,Mercado municipal de abastos y comercio cotidiano de Sibilia.
Mercado Cantonal de Sibilia,GT0905,Jueves y Domingos,Cantonal/Municipal,452,14.721400,-90.606300,Plaza y mercado cantonal de comercio vecinal en Sibilia.
Mercado de Productores y Artesanos de Sibilia,GT0905,Sábados,Artesanal,465,14.715400,-90.600300,Mercado de productores locales para venta al por mayor en Sibilia.
Mercado Municipal Central de Cabricán,GT0906,Diario,Cantonal/Municipal,550,14.723400,-90.608300,Mercado municipal de abastos y comercio cotidiano de Cabricán.
Mercado Cantonal de Cabricán,GT0906,Jueves y Domingos,Mixto,284,14.726400,-90.611300,Plaza y mercado cantonal de comercio vecinal en Cabricán.
Mercado de Productores y Artesanos de Cabricán,GT0906,Sábados,Mayorista,237,14.720400,-90.605300,Mercado de productores locales para venta al por mayor en Cabricán.
Mercado Municipal Central de Cajolá,GT0907,Diario,Cantonal/Municipal,715,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de Cajolá.
Mercado Cantonal de Cajolá,GT0907,Jueves y Domingos,Artesanal,589,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en Cajolá.
Mercado de Productores y Artesanos de Cajolá,GT0907,Sábados,Artesanal,464,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en Cajolá.
Mercado Municipal Central de San Miguel Sigüila,GT0908,Diario,Cantonal/Municipal,715,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de San Miguel Sigüila.
Mercado Cantonal de San Miguel Sigüila,GT0908,Jueves y Domingos,Mayorista,598,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en San Miguel Sigüila.
Mercado de Productores y Artesanos de San Miguel Sigüila,GT0908,Sábados,Mayorista,262,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en San Miguel Sigüila.
Mercado Municipal Central de Ostuncalco,GT0909,Diario,Cantonal/Municipal,1138,14.638400,-90.523300,Mercado municipal de abastos y comercio cotidiano de Ostuncalco.
Mercado Cantonal de Ostuncalco,GT0909,Jueves y Domingos,Cantonal/Municipal,309,14.641400,-90.526300,Plaza y mercado cantonal de comercio vecinal en Ostuncalco.
Mercado de Productores y Artesanos de Ostuncalco,GT0909,Sábados,Artesanal,146,14.635400,-90.520300,Mercado de productores locales para venta al por mayor en Ostuncalco.
Mercado Municipal Central de San Mateo,GT0910,Diario,Cantonal/Municipal,410,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de San Mateo.
Mercado Cantonal de San Mateo,GT0910,Jueves y Domingos,Mixto,515,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en San Mateo.
Mercado de Productores y Artesanos de San Mateo,GT0910,Sábados,Mayorista,327,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en San Mateo.
Mercado Municipal Central de Concepción Chiquirichapa,GT0911,Diario,Cantonal/Municipal,1137,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de Concepción Chiquirichapa.
Mercado Cantonal de Concepción Chiquirichapa,GT0911,Jueves y Domingos,Artesanal,476,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en Concepción Chiquirichapa.
Mercado de Productores y Artesanos de Concepción Chiquirichapa,GT0911,Sábados,Artesanal,152,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en Concepción Chiquirichapa.
Mercado Municipal Central de San Martín Sacatepéquez,GT0912,Diario,Cantonal/Municipal,671,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de San Martín Sacatepéquez.
Mercado Cantonal de San Martín Sacatepéquez,GT0912,Jueves y Domingos,Mayorista,289,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en San Martín Sacatepéquez.
Mercado de Productores y Artesanos de San Martín Sacatepéquez,GT0912,Sábados,Mayorista,195,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en San Martín Sacatepéquez.
Mercado Municipal Central de Almolonga,GT0913,Diario,Cantonal/Municipal,1282,14.658400,-90.543300,Mercado municipal de abastos y comercio cotidiano de Almolonga.
Mercado Cantonal de Almolonga,GT0913,Jueves y Domingos,Cantonal/Municipal,659,14.661400,-90.546300,Plaza y mercado cantonal de comercio vecinal en Almolonga.
Mercado de Productores y Artesanos de Almolonga,GT0913,Sábados,Artesanal,385,14.655400,-90.540300,Mercado de productores locales para venta al por mayor en Almolonga.
Mercado Municipal Central de Cantel,GT0914,Diario,Cantonal/Municipal,1449,14.663400,-90.548300,Mercado municipal de abastos y comercio cotidiano de Cantel.
Mercado Cantonal de Cantel,GT0914,Jueves y Domingos,Mixto,617,14.666400,-90.551300,Plaza y mercado cantonal de comercio vecinal en Cantel.
Mercado de Productores y Artesanos de Cantel,GT0914,Sábados,Mayorista,152,14.660400,-90.545300,Mercado de productores locales para venta al por mayor en Cantel.
Mercado Municipal Central de Huitán,GT0915,Diario,Cantonal/Municipal,453,14.668400,-90.553300,Mercado municipal de abastos y comercio cotidiano de Huitán.
Mercado Cantonal de Huitán,GT0915,Jueves y Domingos,Artesanal,291,14.671400,-90.556300,Plaza y mercado cantonal de comercio vecinal en Huitán.
Mercado de Productores y Artesanos de Huitán,GT0915,Sábados,Artesanal,281,14.665400,-90.550300,Mercado de productores locales para venta al por mayor en Huitán.
Mercado Municipal Central de Zunil,GT0916,Diario,Cantonal/Municipal,590,14.673400,-90.558300,Mercado municipal de abastos y comercio cotidiano de Zunil.
Mercado Cantonal de Zunil,GT0916,Jueves y Domingos,Mayorista,532,14.676400,-90.561300,Plaza y mercado cantonal de comercio vecinal en Zunil.
Mercado de Productores y Artesanos de Zunil,GT0916,Sábados,Mayorista,542,14.670400,-90.555300,Mercado de productores locales para venta al por mayor en Zunil.
Mercado Municipal Central de Colomba,GT0917,Diario,Cantonal/Municipal,1188,14.678400,-90.563300,Mercado municipal de abastos y comercio cotidiano de Colomba.
Mercado Cantonal de Colomba,GT0917,Jueves y Domingos,Cantonal/Municipal,212,14.681400,-90.566300,Plaza y mercado cantonal de comercio vecinal en Colomba.
Mercado de Productores y Artesanos de Colomba,GT0917,Sábados,Artesanal,249,14.675400,-90.560300,Mercado de productores locales para venta al por mayor en Colomba.
Mercado Municipal Central de San Francisco La Unión,GT0918,Diario,Cantonal/Municipal,1247,14.683400,-90.568300,Mercado municipal de abastos y comercio cotidiano de San Francisco La Unión.
Mercado Cantonal de San Francisco La Unión,GT0918,Jueves y Domingos,Mixto,597,14.686400,-90.571300,Plaza y mercado cantonal de comercio vecinal en San Francisco La Unión.
Mercado de Productores y Artesanos de San Francisco La Unión,GT0918,Sábados,Mayorista,498,14.680400,-90.565300,Mercado de productores locales para venta al por mayor en San Francisco La Unión.
Mercado Municipal Central de El Palmar,GT0919,Diario,Cantonal/Municipal,573,14.688400,-90.573300,Mercado municipal de abastos y comercio cotidiano de El Palmar.
Mercado Cantonal de El Palmar,GT0919,Jueves y Domingos,Artesanal,772,14.691400,-90.576300,Plaza y mercado cantonal de comercio vecinal en El Palmar.
Mercado de Productores y Artesanos de El Palmar,GT0919,Sábados,Artesanal,563,14.685400,-90.570300,Mercado de productores locales para venta al por mayor en El Palmar.
Mercado Municipal Central de Coatepeque,GT0920,Diario,Cantonal/Municipal,897,14.693400,-90.578300,Mercado municipal de abastos y comercio cotidiano de Coatepeque.
Mercado Cantonal de Coatepeque,GT0920,Jueves y Domingos,Mayorista,785,14.696400,-90.581300,Plaza y mercado cantonal de comercio vecinal en Coatepeque.
Mercado de Productores y Artesanos de Coatepeque,GT0920,Sábados,Mayorista,366,14.690400,-90.575300,Mercado de productores locales para venta al por mayor en Coatepeque.
Mercado Municipal Central de Génova,GT0921,Diario,Cantonal/Municipal,747,14.698400,-90.583300,Mercado municipal de abastos y comercio cotidiano de Génova.
Mercado Cantonal de Génova,GT0921,Jueves y Domingos,Cantonal/Municipal,589,14.701400,-90.586300,Plaza y mercado cantonal de comercio vecinal en Génova.
Mercado de Productores y Artesanos de Génova,GT0921,Sábados,Artesanal,186,14.695400,-90.580300,Mercado de productores locales para venta al por mayor en Génova.
Mercado Municipal Central de Flores Costa Cuca,GT0922,Diario,Cantonal/Municipal,684,14.703400,-90.588300,Mercado municipal de abastos y comercio cotidiano de Flores Costa Cuca.
Mercado Cantonal de Flores Costa Cuca,GT0922,Jueves y Domingos,Mixto,475,14.706400,-90.591300,Plaza y mercado cantonal de comercio vecinal en Flores Costa Cuca.
Mercado de Productores y Artesanos de Flores Costa Cuca,GT0922,Sábados,Mayorista,254,14.700400,-90.585300,Mercado de productores locales para venta al por mayor en Flores Costa Cuca.
Mercado Municipal Central de La Esperanza,GT0923,Diario,Cantonal/Municipal,949,14.708400,-90.593300,Mercado municipal de abastos y comercio cotidiano de La Esperanza.
Mercado Cantonal de La Esperanza,GT0923,Jueves y Domingos,Artesanal,704,14.711400,-90.596300,Plaza y mercado cantonal de comercio vecinal en La Esperanza.
Mercado de Productores y Artesanos de La Esperanza,GT0923,Sábados,Artesanal,174,14.705400,-90.590300,Mercado de productores locales para venta al por mayor en La Esperanza.
Mercado Municipal Central de Palestina de Los Altos,GT0924,Diario,Cantonal/Municipal,529,14.713400,-90.598300,Mercado municipal de abastos y comercio cotidiano de Palestina de Los Altos.
Mercado Cantonal de Palestina de Los Altos,GT0924,Jueves y Domingos,Mayorista,371,14.716400,-90.601300,Plaza y mercado cantonal de comercio vecinal en Palestina de Los Altos.
Mercado de Productores y Artesanos de Palestina de Los Altos,GT0924,Sábados,Mayorista,322,14.710400,-90.595300,Mercado de productores locales para venta al por mayor en Palestina de Los Altos.
Mercado Municipal Central de Mazatenango,GT1001,Diario,Cantonal/Municipal,965,14.626700,-91.593300,Mercado municipal de abastos y comercio cotidiano de Mazatenango.
Mercado Cantonal de Mazatenango,GT1001,Jueves y Domingos,Cantonal/Municipal,631,14.629700,-91.596300,Plaza y mercado cantonal de comercio vecinal en Mazatenango.
Mercado de Productores y Artesanos de Mazatenango,GT1001,Sábados,Artesanal,253,14.623700,-91.590300,Mercado de productores locales para venta al por mayor en Mazatenango.
Mercado Municipal Central de Cuyotenango,GT1002,Diario,Cantonal/Municipal,1391,14.723400,-90.608300,Mercado municipal de abastos y comercio cotidiano de Cuyotenango.
Mercado Cantonal de Cuyotenango,GT1002,Jueves y Domingos,Mixto,278,14.726400,-90.611300,Plaza y mercado cantonal de comercio vecinal en Cuyotenango.
Mercado de Productores y Artesanos de Cuyotenango,GT1002,Sábados,Mayorista,284,14.720400,-90.605300,Mercado de productores locales para venta al por mayor en Cuyotenango.
Mercado Municipal Central de San Francisco Zapotitlán,GT1003,Diario,Cantonal/Municipal,915,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de San Francisco Zapotitlán.
Mercado Cantonal de San Francisco Zapotitlán,GT1003,Jueves y Domingos,Artesanal,452,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en San Francisco Zapotitlán.
Mercado de Productores y Artesanos de San Francisco Zapotitlán,GT1003,Sábados,Artesanal,469,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en San Francisco Zapotitlán.
Mercado Municipal Central de San Bernardino,GT1004,Diario,Cantonal/Municipal,1415,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de San Bernardino.
Mercado Cantonal de San Bernardino,GT1004,Jueves y Domingos,Mayorista,400,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en San Bernardino.
Mercado de Productores y Artesanos de San Bernardino,GT1004,Sábados,Mayorista,334,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en San Bernardino.
Mercado Municipal Central de San José El Ídolo,GT1005,Diario,Cantonal/Municipal,619,14.638400,-90.523300,Mercado municipal de abastos y comercio cotidiano de San José El Ídolo.
Mercado Cantonal de San José El Ídolo,GT1005,Jueves y Domingos,Cantonal/Municipal,338,14.641400,-90.526300,Plaza y mercado cantonal de comercio vecinal en San José El Ídolo.
Mercado de Productores y Artesanos de San José El Ídolo,GT1005,Sábados,Artesanal,255,14.635400,-90.520300,Mercado de productores locales para venta al por mayor en San José El Ídolo.
Mercado Municipal Central de Santo Domingo Suchitepéquez,GT1006,Diario,Cantonal/Municipal,413,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de Santo Domingo Suchitepéquez.
Mercado Cantonal de Santo Domingo Suchitepéquez,GT1006,Jueves y Domingos,Mixto,605,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en Santo Domingo Suchitepéquez.
Mercado de Productores y Artesanos de Santo Domingo Suchitepéquez,GT1006,Sábados,Mayorista,270,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en Santo Domingo Suchitepéquez.
Mercado Municipal Central de San Lorenzo,GT1007,Diario,Cantonal/Municipal,1178,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de San Lorenzo.
Mercado Cantonal de San Lorenzo,GT1007,Jueves y Domingos,Artesanal,537,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en San Lorenzo.
Mercado de Productores y Artesanos de San Lorenzo,GT1007,Sábados,Artesanal,325,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en San Lorenzo.
Mercado Municipal Central de Samayac,GT1008,Diario,Cantonal/Municipal,1085,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de Samayac.
Mercado Cantonal de Samayac,GT1008,Jueves y Domingos,Mayorista,640,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en Samayac.
Mercado de Productores y Artesanos de Samayac,GT1008,Sábados,Mayorista,517,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en Samayac.
Mercado Municipal Central de San Pablo Jocopilas,GT1009,Diario,Cantonal/Municipal,678,14.658400,-90.543300,Mercado municipal de abastos y comercio cotidiano de San Pablo Jocopilas.
Mercado Cantonal de San Pablo Jocopilas,GT1009,Jueves y Domingos,Cantonal/Municipal,507,14.661400,-90.546300,Plaza y mercado cantonal de comercio vecinal en San Pablo Jocopilas.
Mercado de Productores y Artesanos de San Pablo Jocopilas,GT1009,Sábados,Artesanal,264,14.655400,-90.540300,Mercado de productores locales para venta al por mayor en San Pablo Jocopilas.
Mercado Municipal Central de San Antonio Suchitepéquez,GT1010,Diario,Cantonal/Municipal,811,14.663400,-90.548300,Mercado municipal de abastos y comercio cotidiano de San Antonio Suchitepéquez.
Mercado Cantonal de San Antonio Suchitepéquez,GT1010,Jueves y Domingos,Mixto,690,14.666400,-90.551300,Plaza y mercado cantonal de comercio vecinal en San Antonio Suchitepéquez.
Mercado de Productores y Artesanos de San Antonio Suchitepéquez,GT1010,Sábados,Mayorista,260,14.660400,-90.545300,Mercado de productores locales para venta al por mayor en San Antonio Suchitepéquez.
Mercado Municipal Central de San Miguel Panán,GT1011,Diario,Cantonal/Municipal,763,14.668400,-90.553300,Mercado municipal de abastos y comercio cotidiano de San Miguel Panán.
Mercado Cantonal de San Miguel Panán,GT1011,Jueves y Domingos,Artesanal,607,14.671400,-90.556300,Plaza y mercado cantonal de comercio vecinal en San Miguel Panán.
Mercado de Productores y Artesanos de San Miguel Panán,GT1011,Sábados,Artesanal,595,14.665400,-90.550300,Mercado de productores locales para venta al por mayor en San Miguel Panán.
Mercado Municipal Central de San Gabriel,GT1012,Diario,Cantonal/Municipal,1053,14.673400,-90.558300,Mercado municipal de abastos y comercio cotidiano de San Gabriel.
Mercado Cantonal de San Gabriel,GT1012,Jueves y Domingos,Mayorista,498,14.676400,-90.561300,Plaza y mercado cantonal de comercio vecinal en San Gabriel.
Mercado de Productores y Artesanos de San Gabriel,GT1012,Sábados,Mayorista,476,14.670400,-90.555300,Mercado de productores locales para venta al por mayor en San Gabriel.
Mercado Municipal Central de Chicacao,GT1013,Diario,Cantonal/Municipal,1405,14.678400,-90.563300,Mercado municipal de abastos y comercio cotidiano de Chicacao.
Mercado Cantonal de Chicacao,GT1013,Jueves y Domingos,Cantonal/Municipal,789,14.681400,-90.566300,Plaza y mercado cantonal de comercio vecinal en Chicacao.
Mercado de Productores y Artesanos de Chicacao,GT1013,Sábados,Artesanal,500,14.675400,-90.560300,Mercado de productores locales para venta al por mayor en Chicacao.
Mercado Municipal Central de Patulul,GT1014,Diario,Cantonal/Municipal,896,14.683400,-90.568300,Mercado municipal de abastos y comercio cotidiano de Patulul.
Mercado Cantonal de Patulul,GT1014,Jueves y Domingos,Mixto,533,14.686400,-90.571300,Plaza y mercado cantonal de comercio vecinal en Patulul.
Mercado de Productores y Artesanos de Patulul,GT1014,Sábados,Mayorista,292,14.680400,-90.565300,Mercado de productores locales para venta al por mayor en Patulul.
Mercado Municipal Central de Santa Bárbara,GT1015,Diario,Cantonal/Municipal,974,14.688400,-90.573300,Mercado municipal de abastos y comercio cotidiano de Santa Bárbara.
Mercado Cantonal de Santa Bárbara,GT1015,Jueves y Domingos,Artesanal,602,14.691400,-90.576300,Plaza y mercado cantonal de comercio vecinal en Santa Bárbara.
Mercado de Productores y Artesanos de Santa Bárbara,GT1015,Sábados,Artesanal,286,14.685400,-90.570300,Mercado de productores locales para venta al por mayor en Santa Bárbara.
Mercado Municipal Central de San Juan Bautista,GT1016,Diario,Cantonal/Municipal,633,14.693400,-90.578300,Mercado municipal de abastos y comercio cotidiano de San Juan Bautista.
Mercado Cantonal de San Juan Bautista,GT1016,Jueves y Domingos,Mayorista,777,14.696400,-90.581300,Plaza y mercado cantonal de comercio vecinal en San Juan Bautista.
Mercado de Productores y Artesanos de San Juan Bautista,GT1016,Sábados,Mayorista,202,14.690400,-90.575300,Mercado de productores locales para venta al por mayor en San Juan Bautista.
Mercado Municipal Central de Santo Tomás La Unión,GT1017,Diario,Cantonal/Municipal,768,14.698400,-90.583300,Mercado municipal de abastos y comercio cotidiano de Santo Tomás La Unión.
Mercado Cantonal de Santo Tomás La Unión,GT1017,Jueves y Domingos,Cantonal/Municipal,763,14.701400,-90.586300,Plaza y mercado cantonal de comercio vecinal en Santo Tomás La Unión.
Mercado de Productores y Artesanos de Santo Tomás La Unión,GT1017,Sábados,Artesanal,113,14.695400,-90.580300,Mercado de productores locales para venta al por mayor en Santo Tomás La Unión.
Mercado Municipal Central de Zunilito,GT1018,Diario,Cantonal/Municipal,1345,14.703400,-90.588300,Mercado municipal de abastos y comercio cotidiano de Zunilito.
Mercado Cantonal de Zunilito,GT1018,Jueves y Domingos,Mixto,414,14.706400,-90.591300,Plaza y mercado cantonal de comercio vecinal en Zunilito.
Mercado de Productores y Artesanos de Zunilito,GT1018,Sábados,Mayorista,324,14.700400,-90.585300,Mercado de productores locales para venta al por mayor en Zunilito.
Mercado Municipal Central de Pueblo Nuevo,GT1019,Diario,Cantonal/Municipal,996,14.708400,-90.593300,Mercado municipal de abastos y comercio cotidiano de Pueblo Nuevo.
Mercado Cantonal de Pueblo Nuevo,GT1019,Jueves y Domingos,Artesanal,270,14.711400,-90.596300,Plaza y mercado cantonal de comercio vecinal en Pueblo Nuevo.
Mercado de Productores y Artesanos de Pueblo Nuevo,GT1019,Sábados,Artesanal,519,14.705400,-90.590300,Mercado de productores locales para venta al por mayor en Pueblo Nuevo.
Mercado Municipal Central de Río Bravo,GT1020,Diario,Cantonal/Municipal,1237,14.713400,-90.598300,Mercado municipal de abastos y comercio cotidiano de Río Bravo.
Mercado Cantonal de Río Bravo,GT1020,Jueves y Domingos,Mayorista,711,14.716400,-90.601300,Plaza y mercado cantonal de comercio vecinal en Río Bravo.
Mercado de Productores y Artesanos de Río Bravo,GT1020,Sábados,Mayorista,171,14.710400,-90.595300,Mercado de productores locales para venta al por mayor en Río Bravo.
Mercado Municipal Central de San José La Máquina,GT1021,Diario,Cantonal/Municipal,1020,14.718400,-90.603300,Mercado municipal de abastos y comercio cotidiano de San José La Máquina.
Mercado Cantonal de San José La Máquina,GT1021,Jueves y Domingos,Cantonal/Municipal,447,14.721400,-90.606300,Plaza y mercado cantonal de comercio vecinal en San José La Máquina.
Mercado de Productores y Artesanos de San José La Máquina,GT1021,Sábados,Artesanal,229,14.715400,-90.600300,Mercado de productores locales para venta al por mayor en San José La Máquina.
Mercado Municipal Central de Retalhuleu,GT1101,Diario,Cantonal/Municipal,715,14.630600,-91.772800,Mercado municipal de abastos y comercio cotidiano de Retalhuleu.
Mercado Cantonal de Retalhuleu,GT1101,Jueves y Domingos,Mixto,633,14.633600,-91.775800,Plaza y mercado cantonal de comercio vecinal en Retalhuleu.
Mercado de Productores y Artesanos de Retalhuleu,GT1101,Sábados,Mayorista,504,14.627600,-91.769800,Mercado de productores locales para venta al por mayor en Retalhuleu.
Mercado Municipal Central de San Sebastián,GT1102,Diario,Cantonal/Municipal,1172,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de San Sebastián.
Mercado Cantonal de San Sebastián,GT1102,Jueves y Domingos,Artesanal,275,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en San Sebastián.
Mercado de Productores y Artesanos de San Sebastián,GT1102,Sábados,Artesanal,329,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en San Sebastián.
Mercado Municipal Central de Santa Cruz Muluá,GT1103,Diario,Cantonal/Municipal,1381,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de Santa Cruz Muluá.
Mercado Cantonal de Santa Cruz Muluá,GT1103,Jueves y Domingos,Mayorista,796,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en Santa Cruz Muluá.
Mercado de Productores y Artesanos de Santa Cruz Muluá,GT1103,Sábados,Mayorista,305,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en Santa Cruz Muluá.
Mercado Municipal Central de San Martín Zapotitlán,GT1104,Diario,Cantonal/Municipal,1494,14.638400,-90.523300,Mercado municipal de abastos y comercio cotidiano de San Martín Zapotitlán.
Mercado Cantonal de San Martín Zapotitlán,GT1104,Jueves y Domingos,Cantonal/Municipal,718,14.641400,-90.526300,Plaza y mercado cantonal de comercio vecinal en San Martín Zapotitlán.
Mercado de Productores y Artesanos de San Martín Zapotitlán,GT1104,Sábados,Artesanal,572,14.635400,-90.520300,Mercado de productores locales para venta al por mayor en San Martín Zapotitlán.
Mercado Municipal Central de San Felipe,GT1105,Diario,Cantonal/Municipal,1256,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de San Felipe.
Mercado Cantonal de San Felipe,GT1105,Jueves y Domingos,Mixto,756,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en San Felipe.
Mercado de Productores y Artesanos de San Felipe,GT1105,Sábados,Mayorista,118,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en San Felipe.
Mercado Municipal Central de San Andrés Villa Seca,GT1106,Diario,Cantonal/Municipal,1136,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de San Andrés Villa Seca.
Mercado Cantonal de San Andrés Villa Seca,GT1106,Jueves y Domingos,Artesanal,749,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en San Andrés Villa Seca.
Mercado de Productores y Artesanos de San Andrés Villa Seca,GT1106,Sábados,Artesanal,404,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en San Andrés Villa Seca.
Mercado Municipal Central de Champerico,GT1107,Diario,Cantonal/Municipal,574,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de Champerico.
Mercado Cantonal de Champerico,GT1107,Jueves y Domingos,Mayorista,311,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en Champerico.
Mercado de Productores y Artesanos de Champerico,GT1107,Sábados,Mayorista,493,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en Champerico.
Mercado Municipal Central de Nuevo San Carlos,GT1108,Diario,Cantonal/Municipal,908,14.658400,-90.543300,Mercado municipal de abastos y comercio cotidiano de Nuevo San Carlos.
Mercado Cantonal de Nuevo San Carlos,GT1108,Jueves y Domingos,Cantonal/Municipal,563,14.661400,-90.546300,Plaza y mercado cantonal de comercio vecinal en Nuevo San Carlos.
Mercado de Productores y Artesanos de Nuevo San Carlos,GT1108,Sábados,Artesanal,185,14.655400,-90.540300,Mercado de productores locales para venta al por mayor en Nuevo San Carlos.
Mercado Municipal Central de El Asintal,GT1109,Diario,Cantonal/Municipal,490,14.663400,-90.548300,Mercado municipal de abastos y comercio cotidiano de El Asintal.
