nombre,tipo,municipio_pcode,capacidad_estimada
Planta Procesadora Agroindustrial de Catarina,Aserradero,GT1216,470 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Ayutla,Centro de Acopio,GT1217,1284 quintales por día
Taller Textil y Artesanal Municipal de Ayutla,Taller Artesanal,GT1217,348 prendas tejidas por semana
Planta Procesadora Agroindustrial de Ayutla,Procesadora,GT1217,785 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Ocós,Centro de Acopio,GT1218,1747 quintales por día
Taller Textil y Artesanal Municipal de Ocós,Taller Artesanal,GT1218,342 prendas tejidas por semana
Planta Procesadora Agroindustrial de Ocós,Beneficio de Café,GT1218,238 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pablo,Centro de Acopio,GT1219,852 quintales por día
Taller Textil y Artesanal Municipal de San Pablo,Taller Artesanal,GT1219,241 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pablo,Taller Artesanal,GT1219,612 toneladas métricas por año
Centro de Acopio Agrícola Municipal de El Quetzal,Centro de Acopio,GT1220,794 quintales por día
Taller Textil y Artesanal Municipal de El Quetzal,Taller Artesanal,GT1220,305 prendas tejidas por semana
Planta Procesadora Agroindustrial de El Quetzal,Centro de Acopio,GT1220,239 toneladas métricas por año
Centro de Acopio Agrícola Municipal de La Reforma,Centro de Acopio,GT1221,1310 quintales por día
Taller Textil y Artesanal Municipal de La Reforma,Taller Artesanal,GT1221,269 prendas tejidas por semana
Planta Procesadora Agroindustrial de La Reforma,Aserradero,GT1221,907 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Pajapita,Centro de Acopio,GT1222,986 quintales por día
Taller Textil y Artesanal Municipal de Pajapita,Taller Artesanal,GT1222,125 prendas tejidas por semana
Planta Procesadora Agroindustrial de Pajapita,Procesadora,GT1222,963 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Ixchiguán,Centro de Acopio,GT1223,1473 quintales por día
Taller Textil y Artesanal Municipal de Ixchiguán,Taller Artesanal,GT1223,237 prendas tejidas por semana
Planta Procesadora Agroindustrial de Ixchiguán,Beneficio de Café,GT1223,581 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San José Ojetenam,Centro de Acopio,GT1224,541 quintales por día
Taller Textil y Artesanal Municipal de San José Ojetenam,Taller Artesanal,GT1224,272 prendas tejidas por semana
Planta Procesadora Agroindustrial de San José Ojetenam,Taller Artesanal,GT1224,510 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Cristóbal Cucho,Centro de Acopio,GT1225,1136 quintales por día
Taller Textil y Artesanal Municipal de San Cristóbal Cucho,Taller Artesanal,GT1225,243 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Cristóbal Cucho,Centro de Acopio,GT1225,703 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sipacapa,Centro de Acopio,GT1226,1925 quintales por día
Taller Textil y Artesanal Municipal de Sipacapa,Taller Artesanal,GT1226,150 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sipacapa,Aserradero,GT1226,433 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Esquipulas Palo Gordo,Centro de Acopio,GT1227,775 quintales por día
Taller Textil y Artesanal Municipal de Esquipulas Palo Gordo,Taller Artesanal,GT1227,253 prendas tejidas por semana
Planta Procesadora Agroindustrial de Esquipulas Palo Gordo,Procesadora,GT1227,961 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Río Blanco,Centro de Acopio,GT1228,1407 quintales por día
Taller Textil y Artesanal Municipal de Río Blanco,Taller Artesanal,GT1228,264 prendas tejidas por semana
Planta Procesadora Agroindustrial de Río Blanco,Beneficio de Café,GT1228,475 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Lorenzo,Centro de Acopio,GT1229,1992 quintales por día
Taller Textil y Artesanal Municipal de San Lorenzo,Taller Artesanal,GT1229,313 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Lorenzo,Taller Artesanal,GT1229,819 toneladas métricas por año
Centro de Acopio Agrícola Municipal de La Blanca,Centro de Acopio,GT1230,1822 quintales por día
Taller Textil y Artesanal Municipal de La Blanca,Taller Artesanal,GT1230,145 prendas tejidas por semana
Planta Procesadora Agroindustrial de La Blanca,Centro de Acopio,GT1230,392 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Huehuetenango,Centro de Acopio,GT1301,1404 quintales por día
Taller Textil y Artesanal Municipal de Huehuetenango,Taller Artesanal,GT1301,208 prendas tejidas por semana
Planta Procesadora Agroindustrial de Huehuetenango,Aserradero,GT1301,616 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chiantla,Centro de Acopio,GT1302,1492 quintales por día
Taller Textil y Artesanal Municipal de Chiantla,Taller Artesanal,GT1302,364 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chiantla,Procesadora,GT1302,582 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Malacatancito,Centro de Acopio,GT1303,615 quintales por día
Taller Textil y Artesanal Municipal de Malacatancito,Taller Artesanal,GT1303,363 prendas tejidas por semana
Planta Procesadora Agroindustrial de Malacatancito,Beneficio de Café,GT1303,362 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cuilco,Centro de Acopio,GT1304,634 quintales por día
Taller Textil y Artesanal Municipal de Cuilco,Taller Artesanal,GT1304,259 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cuilco,Taller Artesanal,GT1304,926 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Nentón,Centro de Acopio,GT1305,1537 quintales por día
Taller Textil y Artesanal Municipal de Nentón,Taller Artesanal,GT1305,306 prendas tejidas por semana
Planta Procesadora Agroindustrial de Nentón,Centro de Acopio,GT1305,338 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pedro Necta,Centro de Acopio,GT1306,1573 quintales por día
Taller Textil y Artesanal Municipal de San Pedro Necta,Taller Artesanal,GT1306,391 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pedro Necta,Aserradero,GT1306,229 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Jacaltenango,Centro de Acopio,GT1307,855 quintales por día
Taller Textil y Artesanal Municipal de Jacaltenango,Taller Artesanal,GT1307,198 prendas tejidas por semana
Planta Procesadora Agroindustrial de Jacaltenango,Procesadora,GT1307,405 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Soloma,Centro de Acopio,GT1308,618 quintales por día
Taller Textil y Artesanal Municipal de Soloma,Taller Artesanal,GT1308,227 prendas tejidas por semana
Planta Procesadora Agroindustrial de Soloma,Beneficio de Café,GT1308,233 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Ixtahuacán,Centro de Acopio,GT1309,1434 quintales por día
Taller Textil y Artesanal Municipal de Ixtahuacán,Taller Artesanal,GT1309,125 prendas tejidas por semana
Planta Procesadora Agroindustrial de Ixtahuacán,Taller Artesanal,GT1309,569 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Bárbara,Centro de Acopio,GT1310,1943 quintales por día
Taller Textil y Artesanal Municipal de Santa Bárbara,Taller Artesanal,GT1310,201 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Bárbara,Centro de Acopio,GT1310,480 toneladas métricas por año
Centro de Acopio Agrícola Municipal de La Libertad,Centro de Acopio,GT1311,1254 quintales por día
Taller Textil y Artesanal Municipal de La Libertad,Taller Artesanal,GT1311,337 prendas tejidas por semana
Planta Procesadora Agroindustrial de La Libertad,Aserradero,GT1311,717 toneladas métricas por año
Centro de Acopio Agrícola Municipal de La Democracia,Centro de Acopio,GT1312,1312 quintales por día
Taller Textil y Artesanal Municipal de La Democracia,Taller Artesanal,GT1312,163 prendas tejidas por semana
Planta Procesadora Agroindustrial de La Democracia,Procesadora,GT1312,897 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Miguel Acatán,Centro de Acopio,GT1313,562 quintales por día
Taller Textil y Artesanal Municipal de San Miguel Acatán,Taller Artesanal,GT1313,223 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Miguel Acatán,Beneficio de Café,GT1313,581 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Rafael La Independencia,Centro de Acopio,GT1314,1501 quintales por día
Taller Textil y Artesanal Municipal de San Rafael La Independencia,Taller Artesanal,GT1314,328 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Rafael La Independencia,Taller Artesanal,GT1314,381 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Todos Santos Cuchumatán,Centro de Acopio,GT1315,1471 quintales por día
Taller Textil y Artesanal Municipal de Todos Santos Cuchumatán,Taller Artesanal,GT1315,400 prendas tejidas por semana
Planta Procesadora Agroindustrial de Todos Santos Cuchumatán,Centro de Acopio,GT1315,764 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Juan Atitán,Centro de Acopio,GT1316,1216 quintales por día
Taller Textil y Artesanal Municipal de San Juan Atitán,Taller Artesanal,GT1316,276 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Juan Atitán,Aserradero,GT1316,367 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Eulalia,Centro de Acopio,GT1317,1029 quintales por día
Taller Textil y Artesanal Municipal de Santa Eulalia,Taller Artesanal,GT1317,146 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Eulalia,Procesadora,GT1317,491 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Mateo Ixtatán,Centro de Acopio,GT1318,556 quintales por día
Taller Textil y Artesanal Municipal de San Mateo Ixtatán,Taller Artesanal,GT1318,297 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Mateo Ixtatán,Beneficio de Café,GT1318,250 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Colotenango,Centro de Acopio,GT1319,833 quintales por día
Taller Textil y Artesanal Municipal de Colotenango,Taller Artesanal,GT1319,392 prendas tejidas por semana
Planta Procesadora Agroindustrial de Colotenango,Taller Artesanal,GT1319,998 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Sebastián Huehuetenango,Centro de Acopio,GT1320,938 quintales por día
Taller Textil y Artesanal Municipal de San Sebastián Huehuetenango,Taller Artesanal,GT1320,213 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Sebastián Huehuetenango,Centro de Acopio,GT1320,862 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tectitán,Centro de Acopio,GT1321,961 quintales por día
Taller Textil y Artesanal Municipal de Tectitán,Taller Artesanal,GT1321,205 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tectitán,Aserradero,GT1321,475 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Concepción Huista,Centro de Acopio,GT1322,1834 quintales por día
Taller Textil y Artesanal Municipal de Concepción Huista,Taller Artesanal,GT1322,309 prendas tejidas por semana
Planta Procesadora Agroindustrial de Concepción Huista,Procesadora,GT1322,725 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Juan Ixcoy,Centro de Acopio,GT1323,541 quintales por día
Taller Textil y Artesanal Municipal de San Juan Ixcoy,Taller Artesanal,GT1323,104 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Juan Ixcoy,Beneficio de Café,GT1323,685 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Antonio Huista,Centro de Acopio,GT1324,770 quintales por día
Taller Textil y Artesanal Municipal de San Antonio Huista,Taller Artesanal,GT1324,188 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Antonio Huista,Taller Artesanal,GT1324,815 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Sebastián Coatán,Centro de Acopio,GT1325,517 quintales por día
Taller Textil y Artesanal Municipal de San Sebastián Coatán,Taller Artesanal,GT1325,214 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Sebastián Coatán,Centro de Acopio,GT1325,458 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Barillas,Centro de Acopio,GT1326,1745 quintales por día
Taller Textil y Artesanal Municipal de Barillas,Taller Artesanal,GT1326,256 prendas tejidas por semana
Planta Procesadora Agroindustrial de Barillas,Aserradero,GT1326,929 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Aguacatán,Centro de Acopio,GT1327,1952 quintales por día
Taller Textil y Artesanal Municipal de Aguacatán,Taller Artesanal,GT1327,240 prendas tejidas por semana
Planta Procesadora Agroindustrial de Aguacatán,Procesadora,GT1327,633 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Rafael Petzal,Centro de Acopio,GT1328,1271 quintales por día
Taller Textil y Artesanal Municipal de San Rafael Petzal,Taller Artesanal,GT1328,278 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Rafael Petzal,Beneficio de Café,GT1328,670 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Gaspar Ixchil,Centro de Acopio,GT1329,1016 quintales por día
Taller Textil y Artesanal Municipal de San Gaspar Ixchil,Taller Artesanal,GT1329,211 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Gaspar Ixchil,Taller Artesanal,GT1329,677 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santiago Chimaltenango,Centro de Acopio,GT1330,1118 quintales por día
Taller Textil y Artesanal Municipal de Santiago Chimaltenango,Taller Artesanal,GT1330,366 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santiago Chimaltenango,Centro de Acopio,GT1330,838 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Ana Huista,Centro de Acopio,GT1331,1313 quintales por día
Taller Textil y Artesanal Municipal de Santa Ana Huista,Taller Artesanal,GT1331,399 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Ana Huista,Aserradero,GT1331,304 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Unión Cantinil,Centro de Acopio,GT1332,515 quintales por día
Taller Textil y Artesanal Municipal de Unión Cantinil,Taller Artesanal,GT1332,361 prendas tejidas por semana
Planta Procesadora Agroindustrial de Unión Cantinil,Procesadora,GT1332,878 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Petatán,Centro de Acopio,GT1333,1266 quintales por día
Taller Textil y Artesanal Municipal de Petatán,Taller Artesanal,GT1333,387 prendas tejidas por semana
Planta Procesadora Agroindustrial de Petatán,Beneficio de Café,GT1333,862 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Cruz del Quiché,Centro de Acopio,GT1401,1716 quintales por día
Taller Textil y Artesanal Municipal de Santa Cruz del Quiché,Taller Artesanal,GT1401,244 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Cruz del Quiché,Taller Artesanal,GT1401,505 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chiché,Centro de Acopio,GT1402,1901 quintales por día
Taller Textil y Artesanal Municipal de Chiché,Taller Artesanal,GT1402,155 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chiché,Centro de Acopio,GT1402,693 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chinique,Centro de Acopio,GT1403,630 quintales por día
Taller Textil y Artesanal Municipal de Chinique,Taller Artesanal,GT1403,272 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chinique,Aserradero,GT1403,483 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Zacualpa,Centro de Acopio,GT1404,1811 quintales por día
Taller Textil y Artesanal Municipal de Zacualpa,Taller Artesanal,GT1404,266 prendas tejidas por semana
Planta Procesadora Agroindustrial de Zacualpa,Procesadora,GT1404,483 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chajul,Centro de Acopio,GT1405,1034 quintales por día
Taller Textil y Artesanal Municipal de Chajul,Taller Artesanal,GT1405,252 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chajul,Beneficio de Café,GT1405,392 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chichicastenango,Centro de Acopio,GT1406,807 quintales por día
Taller Textil y Artesanal Municipal de Chichicastenango,Taller Artesanal,GT1406,364 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chichicastenango,Taller Artesanal,GT1406,983 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Patzité,Centro de Acopio,GT1407,992 quintales por día
Taller Textil y Artesanal Municipal de Patzité,Taller Artesanal,GT1407,129 prendas tejidas por semana
Planta Procesadora Agroindustrial de Patzité,Centro de Acopio,GT1407,814 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Antonio Ilotenango,Centro de Acopio,GT1408,1327 quintales por día
Taller Textil y Artesanal Municipal de San Antonio Ilotenango,Taller Artesanal,GT1408,263 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Antonio Ilotenango,Aserradero,GT1408,897 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pedro Jocopilas,Centro de Acopio,GT1409,786 quintales por día
Taller Textil y Artesanal Municipal de San Pedro Jocopilas,Taller Artesanal,GT1409,113 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pedro Jocopilas,Procesadora,GT1409,871 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cunén,Centro de Acopio,GT1410,1518 quintales por día
Taller Textil y Artesanal Municipal de Cunén,Taller Artesanal,GT1410,251 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cunén,Beneficio de Café,GT1410,465 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Juan Cotzal,Centro de Acopio,GT1411,1357 quintales por día
Taller Textil y Artesanal Municipal de San Juan Cotzal,Taller Artesanal,GT1411,307 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Juan Cotzal,Taller Artesanal,GT1411,597 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Joyabaj,Centro de Acopio,GT1412,572 quintales por día
Taller Textil y Artesanal Municipal de Joyabaj,Taller Artesanal,GT1412,398 prendas tejidas por semana
Planta Procesadora Agroindustrial de Joyabaj,Centro de Acopio,GT1412,925 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Nebaj,Centro de Acopio,GT1413,1671 quintales por día
Taller Textil y Artesanal Municipal de Nebaj,Taller Artesanal,GT1413,197 prendas tejidas por semana
Planta Procesadora Agroindustrial de Nebaj,Aserradero,GT1413,551 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Andrés Sajcabajá,Centro de Acopio,GT1414,1987 quintales por día
Taller Textil y Artesanal Municipal de San Andrés Sajcabajá,Taller Artesanal,GT1414,213 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Andrés Sajcabajá,Procesadora,GT1414,902 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Uspantán,Centro de Acopio,GT1415,1594 quintales por día
Taller Textil y Artesanal Municipal de Uspantán,Taller Artesanal,GT1415,343 prendas tejidas por semana
Planta Procesadora Agroindustrial de Uspantán,Beneficio de Café,GT1415,887 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sacapulas,Centro de Acopio,GT1416,1234 quintales por día
Taller Textil y Artesanal Municipal de Sacapulas,Taller Artesanal,GT1416,359 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sacapulas,Taller Artesanal,GT1416,507 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Bartolomé Jocotenango,Centro de Acopio,GT1417,848 quintales por día
Taller Textil y Artesanal Municipal de San Bartolomé Jocotenango,Taller Artesanal,GT1417,385 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Bartolomé Jocotenango,Centro de Acopio,GT1417,385 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Canillá,Centro de Acopio,GT1418,1101 quintales por día
Taller Textil y Artesanal Municipal de Canillá,Taller Artesanal,GT1418,149 prendas tejidas por semana
Planta Procesadora Agroindustrial de Canillá,Aserradero,GT1418,682 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chicamán,Centro de Acopio,GT1419,762 quintales por día
Taller Textil y Artesanal Municipal de Chicamán,Taller Artesanal,GT1419,232 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chicamán,Procesadora,GT1419,942 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Ixcán,Centro de Acopio,GT1420,1644 quintales por día
Taller Textil y Artesanal Municipal de Ixcán,Taller Artesanal,GT1420,193 prendas tejidas por semana
Planta Procesadora Agroindustrial de Ixcán,Beneficio de Café,GT1420,896 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Pachalum,Centro de Acopio,GT1421,1187 quintales por día
Taller Textil y Artesanal Municipal de Pachalum,Taller Artesanal,GT1421,145 prendas tejidas por semana
Planta Procesadora Agroindustrial de Pachalum,Taller Artesanal,GT1421,427 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Salamá,Centro de Acopio,GT1501,1227 quintales por día
Taller Textil y Artesanal Municipal de Salamá,Taller Artesanal,GT1501,214 prendas tejidas por semana
Planta Procesadora Agroindustrial de Salamá,Centro de Acopio,GT1501,962 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Miguel Chicaj,Centro de Acopio,GT1502,1128 quintales por día
Taller Textil y Artesanal Municipal de San Miguel Chicaj,Taller Artesanal,GT1502,315 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Miguel Chicaj,Aserradero,GT1502,539 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Rabinal,Centro de Acopio,GT1503,1261 quintales por día
Taller Textil y Artesanal Municipal de Rabinal,Taller Artesanal,GT1503,233 prendas tejidas por semana
Planta Procesadora Agroindustrial de Rabinal,Procesadora,GT1503,799 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cubulco,Centro de Acopio,GT1504,1102 quintales por día
Taller Textil y Artesanal Municipal de Cubulco,Taller Artesanal,GT1504,337 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cubulco,Beneficio de Café,GT1504,320 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Granados,Centro de Acopio,GT1505,1463 quintales por día
Taller Textil y Artesanal Municipal de Granados,Taller Artesanal,GT1505,127 prendas tejidas por semana
Planta Procesadora Agroindustrial de Granados,Taller Artesanal,GT1505,849 toneladas métricas por año
Centro de Acopio Agrícola Municipal de El Chol,Centro de Acopio,GT1506,1695 quintales por día
Taller Textil y Artesanal Municipal de El Chol,Taller Artesanal,GT1506,397 prendas tejidas por semana
Planta Procesadora Agroindustrial de El Chol,Centro de Acopio,GT1506,835 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Jerónimo,Centro de Acopio,GT1507,645 quintales por día
Taller Textil y Artesanal Municipal de San Jerónimo,Taller Artesanal,GT1507,341 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Jerónimo,Aserradero,GT1507,399 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Purulhá,Centro de Acopio,GT1508,1524 quintales por día
Taller Textil y Artesanal Municipal de Purulhá,Taller Artesanal,GT1508,161 prendas tejidas por semana
Planta Procesadora Agroindustrial de Purulhá,Procesadora,GT1508,897 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cobán,Centro de Acopio,GT1601,1281 quintales por día
Taller Textil y Artesanal Municipal de Cobán,Taller Artesanal,GT1601,371 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cobán,Beneficio de Café,GT1601,505 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Cruz Verapaz,Centro de Acopio,GT1602,1346 quintales por día
Taller Textil y Artesanal Municipal de Santa Cruz Verapaz,Taller Artesanal,GT1602,127 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Cruz Verapaz,Taller Artesanal,GT1602,354 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Cristóbal Verapaz,Centro de Acopio,GT1603,781 quintales por día
Taller Textil y Artesanal Municipal de San Cristóbal Verapaz,Taller Artesanal,GT1603,202 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Cristóbal Verapaz,Centro de Acopio,GT1603,550 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tactic,Centro de Acopio,GT1604,1338 quintales por día
Taller Textil y Artesanal Municipal de Tactic,Taller Artesanal,GT1604,391 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tactic,Aserradero,GT1604,668 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tamahú,Centro de Acopio,GT1605,793 quintales por día
Taller Textil y Artesanal Municipal de Tamahú,Taller Artesanal,GT1605,261 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tamahú,Procesadora,GT1605,932 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tucurú,Centro de Acopio,GT1606,869 quintales por día
Taller Textil y Artesanal Municipal de Tucurú,Taller Artesanal,GT1606,141 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tucurú,Beneficio de Café,GT1606,699 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Panzós,Centro de Acopio,GT1607,1181 quintales por día
Taller Textil y Artesanal Municipal de Panzós,Taller Artesanal,GT1607,190 prendas tejidas por semana
Planta Procesadora Agroindustrial de Panzós,Taller Artesanal,GT1607,520 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Senahú,Centro de Acopio,GT1608,1799 quintales por día
Taller Textil y Artesanal Municipal de Senahú,Taller Artesanal,GT1608,129 prendas tejidas por semana
Planta Procesadora Agroindustrial de Senahú,Centro de Acopio,GT1608,204 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pedro Carchá,Centro de Acopio,GT1609,1425 quintales por día
Taller Textil y Artesanal Municipal de San Pedro Carchá,Taller Artesanal,GT1609,240 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pedro Carchá,Aserradero,GT1609,414 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Juan Chamelco,Centro de Acopio,GT1610,845 quintales por día
Taller Textil y Artesanal Municipal de San Juan Chamelco,Taller Artesanal,GT1610,395 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Juan Chamelco,Procesadora,GT1610,982 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Lanquín,Centro de Acopio,GT1611,824 quintales por día
Taller Textil y Artesanal Municipal de Lanquín,Taller Artesanal,GT1611,350 prendas tejidas por semana
Planta Procesadora Agroindustrial de Lanquín,Beneficio de Café,GT1611,981 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cahabón,Centro de Acopio,GT1612,680 quintales por día
Taller Textil y Artesanal Municipal de Cahabón,Taller Artesanal,GT1612,166 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cahabón,Taller Artesanal,GT1612,829 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chisec,Centro de Acopio,GT1613,1388 quintales por día
Taller Textil y Artesanal Municipal de Chisec,Taller Artesanal,GT1613,319 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chisec,Centro de Acopio,GT1613,613 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chahal,Centro de Acopio,GT1614,1378 quintales por día
Taller Textil y Artesanal Municipal de Chahal,Taller Artesanal,GT1614,344 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chahal,Aserradero,GT1614,592 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Fray Bartolomé de Las Casas,Centro de Acopio,GT1615,509 quintales por día
Taller Textil y Artesanal Municipal de Fray Bartolomé de Las Casas,Taller Artesanal,GT1615,119 prendas tejidas por semana
Planta Procesadora Agroindustrial de Fray Bartolomé de Las Casas,Procesadora,GT1615,746 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Catalina La Tinta,Centro de Acopio,GT1616,908 quintales por día
Taller Textil y Artesanal Municipal de Santa Catalina La Tinta,Taller Artesanal,GT1616,291 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Catalina La Tinta,Beneficio de Café,GT1616,214 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Raxruhá,Centro de Acopio,GT1617,1159 quintales por día
Taller Textil y Artesanal Municipal de Raxruhá,Taller Artesanal,GT1617,371 prendas tejidas por semana
Planta Procesadora Agroindustrial de Raxruhá,Taller Artesanal,GT1617,395 toneladas métricas por año
